nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
PAR,"MF,FW",21-078,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0,ENG-Premier League,2024,defense
JPN,"FW,MF",27-326,1997,27.4,41,24,13,13,15,17,44,38.6,27,45,3,42,13,54,9,0,ENG-Premier League,2024,defense
ENG,DF,33-141,1991,19.1,16,9,8,6,2,10,15,66.7,5,20,14,6,11,27,60,0,ENG-Premier League,2024,defense
NED,MF,25-146,1999,5.7,24,12,6,15,3,10,18,55.6,8,11,1,10,8,32,13,2,ENG-Premier League,2024,defense
DEN,MF,24-141,2000,6.0,15,9,4,8,3,4,11,36.4,7,6,3,3,11,26,5,1,ENG-Premier League,2024,defense
ECU,DF,27-080,1998,20.7,47,31,26,15,6,23,35,65.7,12,12,2,10,25,72,46,1,ENG-Premier League,2024,defense
CIV,"FW,MF",23-100,2002,8.3,14,7,7,5,2,6,18,33.3,12,7,0,7,7,21,4,1,ENG-Premier League,2024,defense
ENG,"MF,FW",30-265,1994,0.7,6,3,2,2,2,5,6,83.3,1,3,0,3,1,7,0,0,ENG-Premier League,2024,defense
GHA,DF,24-193,2000,8.5,14,10,8,6,0,7,22,31.8,15,12,5,7,6,20,21,1,ENG-Premier League,2024,defense
GAM,"FW,MF",20-263,2004,14.9,38,28,21,10,7,16,43,37.2,27,16,0,16,10,48,25,0,ENG-Premier League,2024,defense
SWE,MF,21-187,2003,17.1,48,26,13,25,10,19,44,43.2,25,20,6,14,17,65,20,0,ENG-Premier League,2024,defense
FRA,DF,27-031,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1,ENG-Premier League,2024,defense
FRA,DF,24-016,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2,ENG-Premier League,2024,defense
FRA,FW,27-148,1997,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0,ENG-Premier League,2024,defense
ENG,MF,22-340,2002,28.5,24,15,11,7,6,8,21,38.1,13,14,1,13,7,31,15,1,ENG-Premier League,2024,defense
ARG,MF,24-084,2001,25.8,55,28,14,26,15,26,70,37.1,44,30,5,25,11,66,19,4,ENG-Premier League,2024,defense
DEN,GK,22-360,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,ENG-Premier League,2024,defense
ENG,FW,25-017,2000,17.6,10,6,3,2,5,5,12,41.7,7,9,0,9,2,12,6,2,ENG-Premier League,2024,defense
ENG,DF,18-341,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,ENG-Premier League,2024,defense
POR,"FW,MF",25-152,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0,ENG-Premier League,2024,defense
ENG,"MF,FW",26-217,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1,ENG-Premier League,2024,defense
ENG,DF,22-044,2003,28.0,34,23,17,15,2,15,24,62.5,9,30,22,8,28,62,93,4,ENG-Premier League,2024,defense
FRA,DF,21-327,2003,19.2,43,28,26,15,2,24,45,53.3,21,28,8,20,22,65,45,5,ENG-Premier League,2024,defense
ESP,DF,26-263,1998,26.2,52,35,27,20,5,24,46,52.2,22,38,11,27,20,72,67,3,ENG-Premier League,2024,defense
ESP,FW,19-097,2006,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,ENG-Premier League,2024,defense
FRA,MF,19-083,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
ECU,MF,23-160,2001,30.2,91,57,35,43,13,44,70,62.9,26,41,9,32,42,133,43,0,ENG-Premier League,2024,defense
UKR,FW,24-096,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0,ENG-Premier League,2024,defense
SEN,FW,23-295,2001,20.7,17,10,4,5,8,2,7,28.6,5,12,2,10,2,19,15,0,ENG-Premier League,2024,defense
ENG,FW,23-032,2002,17.0,17,12,7,9,1,11,31,35.5,20,12,0,12,8,25,10,0,ENG-Premier League,2024,defense
