nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
SEN,DF,31,1991,20.0,7,1,1,22,9,0,4,29,31,0,0,0,126,33,28,54.1,ENG-Premier League,2022,misc
ESP,GK,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7,ENG-Premier League,2022,misc
ENG,DF,17,2004,7.3,1,0,0,3,11,1,34,11,12,0,0,0,48,7,5,58.3,ENG-Premier League,2022,misc
ESP,DF,24,1998,18.6,4,0,0,16,21,1,44,16,33,0,0,0,120,16,13,55.2,ENG-Premier League,2022,misc
ENG,"MF,FW",23,1999,18.3,4,0,0,28,27,1,64,8,19,0,0,0,85,9,14,39.1,ENG-Premier League,2022,misc
CRO,MF,28,1994,19.0,8,0,0,18,12,0,6,19,24,0,0,0,121,10,10,50.0,ENG-Premier League,2022,misc
UKR,"FW,MF",21,2001,7.3,1,0,0,8,12,1,25,0,9,0,0,0,35,5,8,38.5,ENG-Premier League,2022,misc
FRA,MF,31,1991,5.8,1,0,0,5,2,1,11,6,10,0,0,0,55,2,4,33.3,ENG-Premier League,2022,misc
ENG,FW,20,2002,7.1,0,0,0,4,15,2,19,4,8,0,0,0,30,2,5,28.6,ENG-Premier League,2022,misc
ENG,FW,18,2003,0.3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,,ENG-Premier League,2022,misc
GAB,FW,33,1989,6.2,1,0,0,5,1,0,3,2,0,0,0,0,11,3,11,21.4,ENG-Premier League,2022,misc
ENG,"FW,MF",27,1994,21.0,4,0,0,21,32,11,46,2,10,0,0,0,66,5,13,27.8,ENG-Premier League,2022,misc
ENG,"DF,MF",22,1999,13.8,4,0,0,9,18,4,91,12,20,1,0,0,89,23,16,59.0,ENG-Premier League,2022,misc
ENG,"MF,DF",26,1996,17.1,1,0,0,10,34,1,19,12,14,0,0,1,101,22,26,45.8,ENG-Premier League,2022,misc
BRA,DF,37,1984,26.1,2,0,0,10,13,0,2,34,27,0,0,0,148,61,23,72.6,ENG-Premier League,2022,misc
ENG,DF,23,1999,17.9,4,0,0,11,8,0,13,24,20,0,0,1,86,31,32,49.2,ENG-Premier League,2022,misc
FRA,DF,21,2000,13.1,3,0,0,11,22,0,3,20,18,0,1,0,67,30,17,63.8,ENG-Premier League,2022,misc
BEL,MF,22,1999,6.0,2,0,0,7,12,0,0,7,10,0,0,0,34,5,11,31.3,ENG-Premier League,2022,misc
MLI,MF,22,2000,30.8,10,1,1,38,13,0,6,56,46,0,0,0,220,30,29,50.8,ENG-Premier League,2022,misc
USA,DF,22,2000,5.0,0,0,0,2,1,1,0,8,6,0,0,0,15,14,4,77.8,ENG-Premier League,2022,misc
ENG,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
ENG,"MF,FW",24,1998,29.3,3,0,0,27,57,4,78,13,24,1,0,0,180,19,32,37.3,ENG-Premier League,2022,misc
SCO,MF,34,1987,0.6,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,,ENG-Premier League,2022,misc
ENG,DF,33,1989,3.8,3,1,1,3,1,1,0,5,2,0,0,0,21,6,6,50.0,ENG-Premier League,2022,misc
