league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ENG-Premier League,2021,Southampton,Shane Long,IRL,FW,33,1987,2.3,32,57,56.1,346,115,26,35,74.3,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,passing
ENG-Premier League,2021,Southampton,Stuart Armstrong,SCO,MF,28,1992,30.7,1021,1298,78.7,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,5,2.6,1.8,2.4,35,80,40,7,144,passing
ENG-Premier League,2021,Southampton,Takumi Minamino,JPN,MF,25,1995,7.9,183,261,70.1,2416,504,110,132,83.3,47,67,70.1,10,22,45.5,0,0.5,0.2,-0.5,5,9,5,0,15,passing
ENG-Premier League,2021,Southampton,Theo Walcott,ENG,"MF,FW",31,1989,18.0,304,432,70.4,3913,874,187,229,81.7,82,122,67.2,10,22,45.5,3,1.0,1.3,2.0,17,13,13,2,37,passing
ENG-Premier League,2021,Southampton,William Smallbone,IRL,MF,20,2000,1.9,61,78,78.2,920,189,35,35,100.0,21,28,75.0,4,10,40.0,0,0.0,0.0,0.0,0,5,1,0,7,passing
ENG-Premier League,2021,Southampton,Yan Valery,TUN,"DF,MF",21,1999,1.1,54,64,84.4,831,266,27,28,96.4,24,28,85.7,1,3,33.3,0,0.1,0.1,-0.1,1,1,3,2,3,passing
ENG-Premier League,2021,Tottenham,Ben Davies,WAL,DF,27,1993,15.0,627,817,76.7,10059,4000,317,356,89.0,252,302,83.4,41,110,37.3,1,0.6,0.6,0.4,8,46,8,4,51,passing
ENG-Premier League,2021,Tottenham,Carlos Vinícius,BRA,FW,25,1995,3.4,24,48,50.0,300,52,15,25,60.0,6,12,50.0,1,3,33.3,0,0.1,0.1,-0.1,2,2,0,0,2,passing
ENG-Premier League,2021,Tottenham,Dane Scarlett,ENG,FW,16,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Tottenham,Davinson Sánchez,COL,DF,24,1996,16.5,868,1027,84.5,16505,5026,292,327,89.3,497,543,91.5,65,123,52.8,0,0.0,0.1,0.0,1,18,1,0,36,passing
ENG-Premier League,2021,Tottenham,Dele Alli,ENG,MF,24,1996,6.9,275,345,79.7,3878,882,151,177,85.3,99,109,90.8,9,20,45.0,1,1.2,0.9,-0.2,9,15,7,1,26,passing
ENG-Premier League,2021,Tottenham,Eric Dier,ENG,DF,26,1994,28.0,1493,1802,82.9,29242,11463,507,569,89.1,783,863,90.7,179,323,55.4,0,0.3,0.4,-0.3,6,66,6,0,65,passing
ENG-Premier League,2021,Tottenham,Gareth Bale,WAL,FW,31,1989,10.2,285,416,68.5,5015,1496,142,173,82.1,87,126,69.0,41,72,56.9,2,1.8,1.2,0.2,21,24,17,3,43,passing
ENG-Premier League,2021,Tottenham,Giovani Lo Celso,ARG,MF,24,1996,10.5,469,604,77.6,6897,2082,269,302,89.1,143,180,79.4,28,58,48.3,1,1.0,1.0,0.0,15,52,12,0,71,passing
ENG-Premier League,2021,Tottenham,Harry Kane,ENG,FW,27,1993,34.2,652,965,67.6,10806,3448,312,423,73.8,196,273,71.8,86,140,61.4,14,7.1,3.6,6.9,49,100,38,5,132,passing
ENG-Premier League,2021,Tottenham,Harry Winks,ENG,MF,24,1996,9.6,579,683,84.8,9590,2897,272,305,89.2,234,256,91.4,49,81,60.5,0,0.2,0.4,-0.2,4,64,6,1,62,passing
ENG-Premier League,2021,Tottenham,Hugo Lloris,FRA,GK,33,1986,38.0,801,1079,74.2,19746,14204,262,265,98.9,300,305,98.4,229,498,46.0,0,0.0,0.0,0.0,0,7,0,0,0,passing
ENG-Premier League,2021,Tottenham,Japhet Tanganga,ENG,DF,21,1999,5.4,195,239,81.6,2640,997,121,136,89.0,59,67,88.1,6,18,33.3,0,0.6,0.4,-0.6,1,5,3,1,14,passing
