league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2023,Darmstadt 98,Matthias Bader,GER,"DF,MF",26.0,1997.0,20.0,1,17,1,5.9,0.85,0.05,0.06,1.0,22.3,0,0,0,0.7,0.7,0.04,0.3,0.3,shooting
GER-Bundesliga,2023,Darmstadt 98,Oscar Vilhelmsson,SWE,"FW,MF",19.0,2003.0,15.3,4,28,10,35.7,1.83,0.66,0.14,0.4,14.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Sebastian Polter,GER,FW,32.0,1991.0,5.0,0,10,3,30.0,2.02,0.61,0.0,0.0,11.9,0,0,0,1.0,1.0,0.1,-1.0,-1.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Thomas Isherwood,SWE,DF,25.0,1998.0,7.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Tim Skarke,GER,"FW,DF",26.0,1996.0,26.7,8,69,20,29.0,2.58,0.75,0.12,0.4,21.9,1,0,0,3.6,3.6,0.05,4.4,4.4,shooting
GER-Bundesliga,2023,Darmstadt 98,Tobias Kempe,GER,MF,34.0,1989.0,15.0,3,18,1,5.6,1.2,0.07,0.0,0.0,23.0,3,3,3,3.6,1.2,0.07,-0.6,-1.2,shooting
GER-Bundesliga,2023,Dortmund,Alexander Meyer,GER,GK,32.0,1991.0,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Antonios Papadopoulos,GER,DF,23.0,1999.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Donyell Malen,NED,"FW,MF",24.0,1999.0,19.8,13,72,36,50.0,3.64,1.82,0.18,0.36,16.5,2,0,0,9.5,9.5,0.14,3.5,3.5,shooting
GER-Bundesliga,2023,Dortmund,Emre Can,GER,"MF,DF",29.0,1994.0,21.7,2,15,1,6.7,0.69,0.05,0.0,0.0,27.4,0,2,2,2.2,0.6,0.04,-0.2,-0.6,shooting
GER-Bundesliga,2023,Dortmund,Felix Nmecha,GER,MF,22.0,2000.0,11.3,1,23,3,13.0,2.03,0.26,0.04,0.33,17.8,0,0,0,1.7,1.7,0.07,-0.7,-0.7,shooting
GER-Bundesliga,2023,Dortmund,Gio Reyna,USA,"MF,FW",20.0,2002.0,3.1,0,8,2,25.0,2.57,0.64,0.0,0.0,17.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8,shooting
GER-Bundesliga,2023,Dortmund,Gregor Kobel,SUI,GK,25.0,1997.0,26.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Hendry Blank,GER,DF,18.0,2004.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Ian Maatsen,NED,DF,21.0,2002.0,14.0,2,11,4,36.4,0.78,0.28,0.18,0.5,19.5,0,0,0,0.9,0.9,0.08,1.1,1.1,shooting
GER-Bundesliga,2023,Dortmund,Jadon Sancho,ENG,"FW,MF",23.0,2000.0,10.5,2,9,4,44.4,0.86,0.38,0.22,0.5,13.3,0,0,0,0.7,0.7,0.08,1.3,1.3,shooting
GER-Bundesliga,2023,Dortmund,Jamie Gittens,ENG,"FW,MF",18.0,2004.0,11.8,1,43,11,25.6,3.66,0.94,0.02,0.09,19.3,0,0,0,2.2,2.2,0.05,-1.2,-1.2,shooting
GER-Bundesliga,2023,Dortmund,Julian Brandt,GER,"MF,FW",27.0,1996.0,24.7,7,33,16,48.5,1.34,0.65,0.21,0.44,19.1,2,0,0,4.4,4.4,0.13,2.6,2.6,shooting
GER-Bundesliga,2023,Dortmund,Julian Ryerson,NOR,DF,25.0,1997.0,19.6,4,18,8,44.4,0.92,0.41,0.22,0.5,19.5,0,0,0,1.8,1.8,0.1,2.2,2.2,shooting
GER-Bundesliga,2023,Dortmund,Julien Duranville,BEL,"FW,MF",17.0,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Karim Adeyemi,GER,"FW,MF",21.0,2002.0,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,shooting
GER-Bundesliga,2023,Dortmund,Kjell-Arik Wätjen,GER,"MF,FW",17.0,2006.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Dortmund,Marcel Sabitzer,AUT,MF,29.0,1994.0,21.8,4,46,19,41.3,2.11,0.87,0.07,0.16,22.6,5,1,1,3.6,2.8,0.06,0.4,0.2,shooting
GER-Bundesliga,2023,Dortmund,Marco Reus,GER,"MF,FW",34.0,1989.0,17.8,6,42,20,47.6,2.36,1.12,0.14,0.3,14.2,8,0,0,6.5,6.5,0.16,-0.5,-0.5,shooting
