league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2022,Napoli,Victor Osimhen,NGA,FW,23,1998,32,30,2566,28.5,26,4,30,24,2,3,4,0,21.3,18.9,2.8,21.8,43,28,196,0.91,0.14,1.05,0.84,0.98,0.75,0.1,0.85,0.66,0.76,standard,NGA,FW,23,1998,28.5,26,132,52,4.63,1.82,1,2,3,21.3,18.9,4.7,5.1,shooting,NGA,FW,23,1998,4,0,0,40,38,32,19,6,6,2,1,0,58,65,54,misc,NGA,FW,23,1998,789,31,45,224,537,232,786,75,25,36,469,2589,836,43,23,27,96,49,594,196,possession,NGA,FW,23,1998,28.5,276,400,69.0,3890,582,158,199,79.4,71,108,65.7,21,29,4,2.8,1.7,1.2,34,20,10,2,28,passing,NGA,FW,23,1998,10,6,1,2,7,0,7,7,6,1,5,6,16,29,0,defense
ITA-Serie A,2022,Spezia,Viktor Kovalenko,UKR,MF,26,1996,18,7,548,6.1,0,0,0,0,0,0,1,0,1.6,1.6,0.6,2.2,4,22,28,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.36,0.26,0.36,standard,UKR,MF,26,1996,6.1,0,11,1,1.81,0.16,1,0,0,1.6,1.6,-1.6,-1.6,shooting,UKR,MF,26,1996,1,0,0,9,12,1,15,4,5,1,0,0,31,6,14,misc,UKR,MF,26,1996,309,10,56,150,105,19,309,5,4,1,158,684,254,4,3,2,9,2,191,28,possession,UKR,MF,26,1996,6.1,189,241,78.4,2975,643,102,113,90.3,72,88,81.8,13,25,0,0.6,0.5,-0.6,6,7,4,1,22,passing,UKR,MF,26,1996,9,5,1,6,2,5,8,3,11,2,9,4,13,7,0,defense
ITA-Serie A,2022,Salernitana,Vincenzo Fiorillo,ITA,GK,32,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,32,1990,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,32,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misc,ITA,GK,32,1990,25,20,25,0,0,0,25,0,0,0,16,86,66,0,0,0,0,0,13,0,possession,ITA,GK,32,1990,1.0,16,24,66.7,535,491,1,1,100.0,6,6,100.0,8,16,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,32,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Udinese,Vivaldo Semedo,POR,"FW,MF",17,2005,5,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,standard,POR,"FW,MF",17,2005,0.4,0,1,0,2.5,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,POR,"FW,MF",17,2005,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,misc,POR,"FW,MF",17,2005,11,1,1,4,7,2,11,0,0,0,10,27,9,0,1,0,2,1,10,3,possession,POR,"FW,MF",17,2005,0.4,6,7,85.7,66,22,5,6,83.3,1,1,100.0,0,0,0,0.0,0.0,0.0,0,1,1,0,1,passing,POR,"FW,MF",17,2005,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,defense
ITA-Serie A,2022,Cremonese,Vlad Chiricheș,ROU,DF,32,1989,16,14,983,10.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ROU,DF,32,1989,10.9,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ROU,DF,32,1989,2,0,0,16,8,0,0,22,20,0,0,1,67,18,22,misc,ROU,DF,32,1989,554,120,358,194,6,2,554,4,3,0,250,1290,664,2,2,0,2,4,280,1,possession,ROU,DF,32,1989,10.9,344,410,83.9,6776,3146,119,128,93.0,178,203,87.7,41,68,0,0.0,0.0,0.0,1,17,0,0,18,passing,ROU,DF,32,1989,35,20,27,7,1,16,24,8,36,23,13,22,57,44,0,defense
ITA-Serie A,2022,Udinese,Walace,BRA,MF,27,1995,37,37,3190,35.4,0,1,1,0,0,0,6,0,1.1,1.1,1.7,2.8,47,170,36,0.0,0.03,0.03,0.0,0.03,0.03,0.05,0.08,0.03,0.08,standard,BRA,MF,27,1995,35.4,0,32,6,0.9,0.17,0,0,0,1.1,1.1,-1.1,-1.1,shooting,BRA,MF,27,1995,6,0,0,40,39,0,21,51,39,0,1,0,297,23,29,misc,BRA,MF,27,1995,2151,121,649,1266,260,15,2151,28,11,13,1222,6377,2966,47,32,0,39,29,1297,36,possession,BRA,MF,27,1995,35.4,1482,1771,83.7,27539,8344,586,670,87.5,667,745,89.5,189,257,1,1.7,1.0,-0.7,17,153,12,3,170,passing,BRA,MF,27,1995,82,39,42,31,9,41,90,49,47,12,35,51,133,51,1,defense
ITA-Serie A,2022,Monza,Warren Bondo,FRA,MF,18,2003,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,standard,FRA,MF,18,2003,0.7,0,1,0,1.5,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,FRA,MF,18,2003,1,0,0,2,3,0,0,0,0,0,0,0,4,1,0,misc,FRA,MF,18,2003,60,0,8,40,13,0,60,4,3,1,45,315,147,3,3,0,1,1,51,2,possession,FRA,MF,18,2003,0.7,45,51,88.2,720,106,24,26,92.3,20,22,90.9,1,1,0,0.0,0.0,0.0,0,2,0,0,5,passing,FRA,MF,18,2003,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,defense
ITA-Serie A,2022,Juventus,Weston McKennie,USA,"MF,DF",23,1998,15,13,1052,11.7,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,19,39,54,0.09,0.09,0.17,0.09,0.17,0.08,0.06,0.14,0.08,0.14,standard,USA,"MF,DF",23,1998,11.7,1,8,4,0.68,0.34,0,0,0,0.9,0.9,0.1,0.1,shooting,USA,"MF,DF",23,1998,0,0,0,13,7,3,15,11,5,0,0,0,43,12,16,misc,USA,"MF,DF",23,1998,526,25,115,249,164,22,526,9,7,2,231,1171,678,19,11,2,20,12,349,54,possession,USA,"MF,DF",23,1998,11.7,336,418,80.4,5385,1516,175,207,84.5,125,147,85.0,28,38,1,0.7,0.9,0.3,8,23,6,4,39,passing,USA,"MF,DF",23,1998,14,5,3,9,2,5,8,3,15,4,11,11,25,15,1,defense
ITA-Serie A,2022,Torino,Wilfried Singo,CIV,DF,21,2000,31,24,2046,22.7,2,1,3,2,0,0,8,0,2.7,2.7,1.9,4.6,54,67,93,0.09,0.04,0.13,0.09,0.13,0.12,0.08,0.2,0.12,0.2,standard,CIV,DF,21,2000,22.7,2,34,10,1.5,0.44,0,0,0,2.7,2.7,-0.7,-0.7,shooting,CIV,DF,21,2000,8,0,0,42,35,1,56,12,17,0,0,0,116,53,23,misc,CIV,DF,21,2000,1354,46,299,649,420,59,1354,54,30,13,708,3749,1789,54,34,9,33,17,849,93,possession,CIV,DF,21,2000,22.7,853,1138,75.0,14659,4321,393,458,85.8,376,492,76.4,67,131,1,1.9,1.7,-0.9,23,46,24,10,67,passing,CIV,DF,21,2000,27,17,14,10,3,12,19,7,15,2,13,12,39,33,1,defense
ITA-Serie A,2022,Salernitana,William Troost-Ekong,NGA,DF,28,1993,9,4,444,4.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,1,6,0,0.2,0.0,0.2,0.2,0.2,0.14,0.0,0.14,0.14,0.14,standard,NGA,DF,28,1993,4.9,1,2,1,0.41,0.2,0,0,0,0.7,0.7,0.3,0.3,shooting,NGA,DF,28,1993,1,0,0,7,1,0,1,6,3,0,0,0,13,18,9,misc,NGA,DF,28,1993,226,27,128,94,5,3,226,0,0,0,127,606,200,1,1,0,2,0,130,0,possession,NGA,DF,28,1993,4.9,148,179,82.7,3117,1047,31,36,86.1,102,112,91.1,13,24,0,0.0,0.0,0.0,0,1,1,1,6,passing,NGA,DF,28,1993,11,3,7,4,0,6,7,1,7,4,3,6,17,10,0,defense
ITA-Serie A,2022,Lecce,Wladimiro Falcone,ITA,GK,27,1995,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard,ITA,GK,27,1995,38.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,27,1995,2,0,0,1,5,0,0,2,0,0,1,0,45,12,2,misc,ITA,GK,27,1995,1272,1056,1267,5,0,0,1272,0,0,0,660,4252,2301,0,0,0,1,0,432,0,possession,ITA,GK,27,1995,38.0,597,1167,51.2,19884,15815,88,88,100.0,221,230,96.1,285,836,0,0.2,0.1,-0.2,3,16,2,0,0,passing,ITA,GK,27,1995,2,0,2,0,0,2,2,0,0,0,0,2,4,21,3,defense
ITA-Serie A,2022,Juventus,Wojciech Szczęsny,POL,GK,32,1990,28,28,2472,27.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POL,GK,32,1990,27.5,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,POL,GK,32,1990,0,0,0,0,1,0,0,0,0,0,0,0,35,10,0,misc,POL,GK,32,1990,837,731,833,4,0,0,837,1,1,0,498,2576,1593,0,0,0,1,0,406,0,possession,POL,GK,32,1990,27.5,625,789,79.2,18108,12812,99,99,100.0,287,290,99.0,238,395,0,0.0,0.0,0.0,0,4,1,0,0,passing,POL,GK,32,1990,1,0,1,0,0,0,1,1,0,0,0,0,1,7,0,defense
ITA-Serie A,2022,Milan,Yacine Adli,FRA,"MF,FW",22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22,standard,FRA,"MF,FW",22,2000,1.6,0,2,2,1.25,1.25,0,0,0,0.1,0.1,-0.1,-0.1,shooting,FRA,"MF,FW",22,2000,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,misc,FRA,"MF,FW",22,2000,97,1,14,45,42,2,97,6,4,2,55,349,171,7,5,0,3,5,67,8,possession,FRA,"MF,FW",22,2000,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,0,0.3,0.2,-0.3,2,6,2,0,10,passing,FRA,"MF,FW",22,2000,6,3,2,4,0,2,2,0,2,0,2,1,7,1,0,defense
ITA-Serie A,2022,Fiorentina,Aleksa Terzić,SRB,DF,22,1999,22,8,935,10.4,1,1,2,1,0,0,2,0,0.4,0.4,1.9,2.3,49,40,61,0.1,0.1,0.19,0.1,0.19,0.04,0.18,0.22,0.04,0.22,standard,SRB,DF,22,1999,10.4,1,10,2,0.96,0.19,0,0,0,0.4,0.4,0.6,0.6,shooting,SRB,DF,22,1999,2,0,0,4,12,3,79,5,9,0,0,0,59,7,9,misc,SRB,DF,22,1999,824,26,220,341,272,9,824,27,16,8,484,3453,1961,49,28,4,14,7,511,61,possession,SRB,DF,22,1999,10.4,582,724,80.4,10551,3203,258,282,91.5,239,292,81.8,73,112,1,1.9,1.9,-0.9,25,34,26,23,40,passing,SRB,DF,22,1999,16,9,9,4,3,11,21,10,13,4,9,5,21,16,0,defense
ITA-Serie A,2022,Torino,Aleksei Miranchuk,RUS,MF,26,1995,29,24,2089,23.2,4,5,9,4,0,0,0,0,2.9,2.9,4.2,7.1,47,99,105,0.17,0.22,0.39,0.17,0.39,0.12,0.18,0.3,0.12,0.3,standard,RUS,MF,26,1995,23.2,4,40,15,1.72,0.65,1,0,0,2.9,2.9,1.1,1.1,shooting,RUS,MF,26,1995,0,0,0,9,22,1,30,2,5,1,0,0,92,10,21,misc,RUS,MF,26,1995,1010,10,66,527,424,42,1010,46,15,25,667,3642,1633,47,44,8,47,27,802,105,possession,RUS,MF,26,1995,23.2,653,821,79.5,10323,2484,345,398,86.7,219,263,83.3,54,100,5,4.2,3.3,0.8,43,73,32,7,99,passing,RUS,MF,26,1995,11,5,3,4,4,3,11,8,11,0,11,2,13,5,0,defense
ITA-Serie A,2022,Inter,Alessandro Bastoni,ITA,DF,23,1999,29,26,2157,24.0,0,2,2,0,0,0,3,0,1.0,1.0,2.7,3.7,47,141,44,0.0,0.08,0.08,0.0,0.08,0.04,0.11,0.15,0.04,0.15,standard,ITA,DF,23,1999,24.0,0,12,3,0.5,0.13,0,0,0,1.0,1.0,-1.0,-1.0,shooting,ITA,DF,23,1999,3,0,0,19,15,1,49,24,20,0,0,0,117,39,23,misc,ITA,DF,23,1999,1857,201,796,821,250,30,1857,15,8,6,1137,5797,3688,47,31,3,13,6,1310,44,possession,ITA,DF,23,1999,24.0,1384,1671,82.8,27841,9878,486,539,90.2,677,751,90.1,207,324,2,2.7,2.9,-0.7,15,130,29,11,141,passing,ITA,DF,23,1999,41,20,20,14,7,11,27,16,27,13,14,24,65,45,0,defense
ITA-Serie A,2022,Fiorentina,Alessandro Bianco,ITA,MF,19,2002,7,2,153,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,9,2,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,standard,ITA,MF,19,2002,1.7,0,2,1,1.18,0.59,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,MF,19,2002,1,0,0,7,4,0,1,0,2,0,0,0,8,2,2,misc,ITA,MF,19,2002,91,2,18,59,14,1,91,2,0,0,49,240,144,4,1,0,2,5,68,2,possession,ITA,MF,19,2002,1.7,67,78,85.9,1237,231,29,34,85.3,28,34,82.4,9,9,0,0.0,0.0,0.0,1,11,1,0,9,passing,ITA,MF,19,2002,5,2,2,3,0,2,3,1,1,0,1,0,5,0,0,defense
ITA-Serie A,2022,Torino,Alessandro Buongiorno,ITA,DF,23,1999,34,30,2721,30.2,1,2,3,1,0,0,8,0,2.2,2.2,1.3,3.6,13,81,19,0.03,0.07,0.1,0.03,0.1,0.07,0.04,0.12,0.07,0.12,standard,ITA,DF,23,1999,30.2,1,20,1,0.66,0.03,0,0,0,2.2,2.2,-1.2,-1.2,shooting,ITA,DF,23,1999,8,0,0,64,38,0,8,60,25,0,0,0,167,99,52,misc,ITA,DF,23,1999,1938,161,860,976,110,33,1938,16,6,7,986,4659,2324,13,16,2,33,6,1180,19,possession,ITA,DF,23,1999,30.2,1332,1573,84.7,22243,6857,578,643,89.9,671,750,89.5,57,113,2,1.3,1.0,0.7,8,70,5,3,81,passing,ITA,DF,23,1999,38,25,22,16,0,16,31,15,38,19,19,60,98,105,2,defense
ITA-Serie A,2022,Hellas Verona,Alessandro Cortinovis,ITA,MF,21,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,21,2001,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,MF,21,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,misc,ITA,MF,21,2001,8,0,3,0,5,0,8,0,0,0,5,10,4,0,0,0,0,0,5,2,possession,ITA,MF,21,2001,0.1,5,6,83.3,77,35,3,3,100.0,2,2,100.0,0,1,0,0.0,0.0,0.0,0,0,2,1,2,passing,ITA,MF,21,2001,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,defense
ITA-Serie A,2022,Milan,Alessandro Florenzi,ITA,DF,31,1991,6,2,203,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.2,1,10,19,0.0,0.0,0.0,0.0,0.0,0.34,0.21,0.54,0.34,0.54,standard,ITA,DF,31,1991,2.3,0,5,1,2.22,0.44,1,0,0,0.8,0.8,-0.8,-0.8,shooting,ITA,DF,31,1991,1,0,0,2,1,0,22,4,4,0,0,0,14,1,0,misc,ITA,DF,31,1991,195,3,42,82,71,10,195,1,0,1,103,340,129,1,1,0,3,0,113,19,possession,ITA,DF,31,1991,2.3,130,172,75.6,2370,661,52,57,91.2,64,78,82.1,12,34,0,0.5,1.1,-0.5,6,8,6,5,10,passing,ITA,DF,31,1991,6,4,3,2,1,4,7,3,1,0,1,4,10,2,0,defense
ITA-Serie A,2022,Sassuolo,Alessandro Russo,ITA,GK,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,21,2001,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,21,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,misc,ITA,GK,21,2001,55,47,55,0,0,0,55,0,0,0,33,125,68,0,0,0,0,0,33,0,possession,ITA,GK,21,2001,1.0,37,50,74.0,750,387,16,16,100.0,15,15,100.0,6,19,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,21,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,defense
ITA-Serie A,2022,Lecce,Alessandro Tuia,ITA,DF,32,1990,7,6,509,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,20,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,standard,ITA,DF,32,1990,5.7,0,2,1,0.35,0.18,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,DF,32,1990,1,0,0,9,2,0,1,15,6,0,0,0,34,10,14,misc,ITA,DF,32,1990,267,26,136,127,7,2,267,4,2,1,106,510,264,1,1,0,1,0,123,0,possession,ITA,DF,32,1990,5.7,142,204,69.6,3226,1193,31,42,73.8,82,100,82.0,26,58,0,0.0,0.1,0.0,1,15,1,1,20,passing,ITA,DF,32,1990,10,6,6,4,0,3,9,6,3,1,2,15,25,29,0,defense
ITA-Serie A,2022,Napoli,Alessandro Zanoli,ITA,DF,21,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,standard,ITA,DF,21,2000,0.1,0,1,1,7.5,7.5,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,DF,21,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,misc,ITA,DF,21,2000,14,0,5,6,3,1,14,0,0,0,7,55,45,1,1,1,0,0,11,2,possession,ITA,DF,21,2000,0.1,9,11,81.8,125,20,4,5,80.0,5,5,100.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,DF,21,2000,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,defense
ITA-Serie A,2022,Sampdoria,Alessandro Zanoli,ITA,DF,21,2000,22,16,1540,17.1,2,3,5,2,0,0,3,0,2.6,2.6,1.2,3.8,50,36,60,0.12,0.18,0.29,0.12,0.29,0.15,0.07,0.22,0.15,0.22,standard,ITA,DF,21,2000,17.1,2,15,7,0.88,0.41,0,0,0,2.6,2.6,-0.6,-0.6,shooting,ITA,DF,21,2000,3,0,0,4,10,0,33,12,14,0,0,0,79,10,19,misc,ITA,DF,21,2000,862,74,326,339,213,22,862,45,27,12,455,2781,1661,50,23,10,15,9,522,60,possession,ITA,DF,21,2000,17.1,535,700,76.4,8772,2740,265,295,89.8,219,279,78.5,39,80,3,1.2,0.9,1.8,14,19,13,7,36,passing,ITA,DF,21,2000,22,14,14,6,2,8,17,9,19,15,4,12,34,39,0,defense
ITA-Serie A,2022,Monza,Alessio Cragno,ITA,GK,28,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,28,1994,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,28,1994,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,misc,ITA,GK,28,1994,32,26,32,0,0,0,32,0,0,0,19,101,61,0,0,0,0,0,17,0,possession,ITA,GK,28,1994,1.0,29,31,93.5,621,431,7,7,100.0,18,18,100.0,4,6,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,28,1994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Lazio,Alessio Romagnoli,ITA,DF,27,1995,34,33,2922,32.5,2,0,2,2,0,0,6,0,1.4,1.4,0.1,1.6,3,62,3,0.06,0.0,0.06,0.06,0.06,0.04,0.0,0.05,0.04,0.05,standard,ITA,DF,27,1995,32.5,2,13,5,0.4,0.15,0,0,0,1.4,1.4,0.6,0.6,shooting,ITA,DF,27,1995,6,0,0,35,19,1,0,38,15,0,0,0,139,78,45,misc,ITA,DF,27,1995,2107,306,1089,988,34,17,2107,1,1,0,1087,4470,2054,3,7,2,10,3,1386,3,possession,ITA,DF,27,1995,32.5,1673,1849,90.5,28906,11821,753,789,95.4,717,764,93.8,153,223,0,0.1,0.4,-0.1,2,91,4,0,62,passing,ITA,DF,27,1995,33,15,19,14,0,11,22,11,33,26,7,38,71,108,0,defense
ITA-Serie A,2022,Napoli,Alessio Zerbin,ITA,FW,23,1999,10,2,198,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,6,20,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,standard,ITA,FW,23,1999,2.2,0,5,3,2.27,1.36,0,0,0,0.3,0.3,-0.3,-0.3,shooting,ITA,FW,23,1999,1,0,0,9,6,1,1,2,5,0,0,0,8,0,1,misc,ITA,FW,23,1999,115,5,16,63,36,9,115,5,2,3,71,322,124,5,0,3,5,5,84,20,possession,ITA,FW,23,1999,2.2,56,78,71.8,721,132,31,39,79.5,16,24,66.7,3,4,0,0.0,0.1,0.0,0,3,1,0,6,passing,ITA,FW,23,1999,10,5,4,5,1,4,8,4,2,0,2,2,12,2,0,defense
ITA-Serie A,2022,Inter,Alex Cordaz,ITA,GK,39,1983,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,39,1983,0.3,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,39,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misc,ITA,GK,39,1983,21,19,21,0,0,0,21,0,0,0,13,42,14,0,0,0,0,0,11,0,possession,ITA,GK,39,1983,0.3,11,20,55.0,274,200,4,4,100.0,3,4,75.0,4,11,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,39,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Cremonese,Alex Ferrari,ITA,DF,28,1994,16,13,1007,11.2,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,2,27,5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard,ITA,DF,28,1994,11.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,DF,28,1994,3,0,0,8,13,0,6,25,23,0,0,0,70,15,6,misc,ITA,DF,28,1994,604,54,301,268,41,1,604,8,4,4,286,1217,493,2,3,0,8,1,274,5,possession,ITA,DF,28,1994,11.2,339,458,74.0,6421,2306,129,161,80.1,169,203,83.3,38,78,0,0.1,0.2,-0.1,3,27,5,1,27,passing,ITA,DF,28,1994,40,23,32,7,1,28,42,14,19,4,15,25,65,45,1,defense
ITA-Serie A,2022,Sampdoria,Alex Ferrari,ITA,DF,28,1994,12,10,868,9.6,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.5,7,25,3,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,standard,ITA,DF,28,1994,9.6,0,5,0,0.52,0.0,0,0,0,0.2,0.2,-0.2,-0.2,shooting,ITA,DF,28,1994,3,0,0,12,7,0,4,19,5,0,1,0,62,21,15,misc,ITA,DF,28,1994,560,51,276,265,25,5,560,6,3,3,304,1591,849,7,1,0,10,3,308,3,possession,ITA,DF,28,1994,9.6,384,456,84.2,7605,2387,114,126,90.5,220,242,90.9,41,67,0,0.4,0.6,-0.4,3,17,1,0,25,passing,ITA,DF,28,1994,9,5,7,2,0,4,8,4,21,10,11,19,28,25,0,defense
ITA-Serie A,2022,Napoli,Alex Meret,ITA,GK,25,1997,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,25,1997,34.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,25,1997,0,0,0,0,0,0,0,0,0,0,0,0,66,4,0,misc,ITA,GK,25,1997,974,828,972,2,0,0,974,0,0,0,544,2256,1190,0,0,0,0,0,476,0,possession,ITA,GK,25,1997,34.0,818,931,87.9,18824,11619,189,189,100.0,438,441,99.3,188,298,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,GK,25,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,defense
