league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
FRA-Ligue 1,2023,Lens,Massadio Haïdara,MLI,DF,30,1992,8.2,1,0,0,11,7,2,22,11,8,0,1,0,33,14,8,63.6,misc
FRA-Ligue 1,2023,Lens,Morgan Guilavogui,GUI,"FW,MF",25,1998,6.3,1,0,0,14,7,7,5,4,10,0,0,0,21,16,11,59.3,misc
FRA-Ligue 1,2023,Lens,Nampalys Mendy,SEN,MF,31,1992,11.7,2,0,0,16,25,0,7,14,18,0,0,0,91,10,5,66.7,misc
FRA-Ligue 1,2023,Lens,Neil El Aynaoui,FRA,MF,22,2001,17.4,1,0,0,21,40,1,7,32,20,1,0,0,94,15,16,48.4,misc
FRA-Ligue 1,2023,Lens,Oscar Cortés,COL,"FW,MF",19,2003,0.5,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,33.3,misc
FRA-Ligue 1,2023,Lens,Przemysław Frankowski,POL,DF,28,1995,24.4,4,0,0,33,12,0,118,25,39,0,0,0,96,17,26,39.5,misc
FRA-Ligue 1,2023,Lens,Ruben Aguilar,FRA,DF,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1,misc
FRA-Ligue 1,2023,Lens,Salis Abdul Samed,GHA,MF,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,misc
FRA-Ligue 1,2023,Lens,Stijn Spierings,NED,MF,27,1996,1.3,2,0,0,5,2,0,1,2,0,0,0,0,5,0,0,,misc
FRA-Ligue 1,2023,Lens,Wesley Saïd,FRA,"FW,MF",28,1995,11.3,1,0,0,33,15,8,15,4,4,1,0,0,33,8,23,25.8,misc
FRA-Ligue 1,2023,Lille,Aaron Malouda,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2023,Lille,Adam Ounas,ALG,FW,26,1996,4.6,0,0,0,3,12,1,22,6,3,1,0,0,27,6,6,50.0,misc
FRA-Ligue 1,2023,Lille,Alan Virginius,FRA,FW,20,2003,0.8,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0.0,misc
FRA-Ligue 1,2023,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,24.7,6,1,0,27,37,1,2,35,22,0,0,1,124,39,17,69.6,misc
FRA-Ligue 1,2023,Lille,Andrej Ilic,SRB,FW,23,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2023,Lille,Angel Gomes,ENG,MF,22,2000,28.6,5,0,0,31,36,0,45,18,13,0,0,0,125,7,13,35.0,misc
FRA-Ligue 1,2023,Lille,Ayyoub Bouaddi,FRA,MF,15,2007,1.5,3,1,1,8,0,0,2,1,2,0,0,0,17,1,2,33.3,misc
