league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2024,Le Havre,Fodé Ballo-Touré,SEN,DF,28-098,1997.0,2.3,2,2,0,2,0,2,4,50.0,2,2,0,2,1,3,10,0,defense
FRA-Ligue 1,2024,Le Havre,Gautier Lloris,FRA,DF,29-267,1995.0,27.0,58,37,43,15,0,34,49,69.4,15,32,20,12,22,80,173,0,defense
FRA-Ligue 1,2024,Le Havre,Ilyes Housni,FRA,"FW,MF",19-332,2005.0,2.5,7,5,2,3,2,2,4,50.0,2,2,0,2,1,8,2,0,defense
FRA-Ligue 1,2024,Le Havre,Issa Soumaré,SEN,"MF,FW",24-183,2000.0,15.3,15,9,4,8,3,8,30,26.7,22,13,4,9,8,23,22,0,defense
FRA-Ligue 1,2024,Le Havre,Josué Casimir,FRA,"FW,MF",23-199,2001.0,16.2,30,20,14,12,4,9,17,52.9,8,9,0,9,4,34,30,1,defense
FRA-Ligue 1,2024,Le Havre,Junior Mwanga,FRA,MF,21-335,2003.0,5.6,17,9,5,11,1,9,13,69.2,4,8,2,6,5,22,9,1,defense
FRA-Ligue 1,2024,Le Havre,Kandet Diawara,GUI,FW,25-060,2000.0,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,defense
FRA-Ligue 1,2024,Le Havre,Koka,EGY,FW,32-037,1993.0,7.0,4,1,1,3,0,0,4,0.0,4,1,0,1,2,6,6,1,defense
FRA-Ligue 1,2024,Le Havre,Loïc Nego,HUN,"DF,FW",34-086,1991.0,21.3,43,27,27,12,4,31,46,67.4,15,14,2,12,23,66,67,0,defense
FRA-Ligue 1,2024,Le Havre,Mahamadou Diawara,FRA,MF,20-053,2005.0,5.2,17,10,9,7,1,7,11,63.6,4,12,5,7,10,27,10,1,defense
FRA-Ligue 1,2024,Le Havre,Mathieu Gorgelin,FRA,GK,34-249,1990.0,10.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,4,0,defense
FRA-Ligue 1,2024,Le Havre,Mathéo Bodmer,FRA,MF,20-340,2004.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2024,Le Havre,Oussama Targhalline,MAR,MF,22-326,2002.0,11.0,19,14,12,3,4,5,12,41.7,7,14,7,7,19,38,14,2,defense
FRA-Ligue 1,2024,Le Havre,Rassoul Ndiaye,SEN,MF,23-121,2001.0,11.4,28,19,17,9,2,8,20,40.0,12,15,4,11,11,39,24,0,defense
FRA-Ligue 1,2024,Le Havre,Samuel Grandsir,FRA,"MF,FW",28-240,1996.0,0.9,5,5,0,3,2,2,3,66.7,1,2,0,2,0,5,0,0,defense
FRA-Ligue 1,2024,Le Havre,Steve Ngoura,FRA,FW,20-048,2005.0,3.2,4,2,1,1,2,3,3,100.0,0,2,1,1,0,4,2,0,defense
FRA-Ligue 1,2024,Le Havre,Timothee Pembele,FRA,DF,22-214,2002.0,10.7,28,22,17,9,2,14,22,63.6,8,15,5,10,9,37,39,0,defense
FRA-Ligue 1,2024,Le Havre,Yanis Zouaoui,ALG,"DF,FW",30-275,1994.0,10.3,17,8,9,6,2,10,14,71.4,4,14,2,12,8,25,43,0,defense
FRA-Ligue 1,2024,Le Havre,Yassine Kechta,MAR,"MF,FW",23-045,2002.0,18.3,47,27,24,17,6,26,61,42.6,35,22,2,20,20,67,24,1,defense
FRA-Ligue 1,2024,Le Havre,Yoann Salmier,GUF,DF,32-141,1992.0,8.9,14,7,9,4,1,10,13,76.9,3,12,8,4,10,24,59,0,defense
