nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ESP,"MF,FW",20,1999,3.2,1,4,2,50.0,1.23,0.62,0.25,0.5,18.9,0,0,0,0.6,0.6,0.16,0.4,0.4,ESP-La Liga,2020,shooting
URU,DF,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,11.7,0,0,0,1.8,1.8,0.15,0.2,0.2,ESP-La Liga,2020,shooting
FRA,DF,26,1993,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,ESP-La Liga,2020,shooting
ESP,"DF,FW",28,1992,10.5,1,5,1,20.0,0.48,0.1,0.2,1.0,17.7,0,0,0,0.3,0.3,0.06,0.7,0.7,ESP-La Liga,2020,shooting
ESP,MF,32,1988,28.0,0,3,1,33.3,0.11,0.04,0.0,0.0,16.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,ESP-La Liga,2020,shooting
USA,"DF,FW",19,2000,21.2,2,14,5,35.7,0.66,0.24,0.14,0.4,15.3,0,0,0,1.7,1.7,0.12,0.3,0.3,ESP-La Liga,2020,shooting
ESP,DF,21,1999,21.1,2,12,6,50.0,0.57,0.28,0.17,0.33,17.1,0,0,0,1.0,1.0,0.08,1.0,1.0,ESP-La Liga,2020,shooting
ESP,"FW,MF",24,1996,17.7,2,33,14,42.4,1.86,0.79,0.06,0.14,17.9,0,0,0,2.9,2.9,0.09,-0.9,-0.9,ESP-La Liga,2020,shooting
MEX,MF,33,1986,14.6,1,11,5,45.5,0.75,0.34,0.09,0.2,24.3,0,0,0,0.3,0.3,0.03,0.7,0.7,ESP-La Liga,2020,shooting
PAR,FW,24,1996,10.4,3,25,12,48.0,2.41,1.16,0.12,0.25,11.7,0,0,0,5.0,5.0,0.2,-2.0,-2.0,ESP-La Liga,2020,shooting
ALG,DF,28,1991,26.6,3,8,7,87.5,0.3,0.26,0.38,0.43,6.3,0,0,0,2.1,2.1,0.26,0.9,0.9,ESP-La Liga,2020,shooting
ESP,FW,27,1993,15.7,11,33,10,30.3,2.1,0.64,0.18,0.6,17.2,0,5,5,8.4,4.4,0.14,2.6,1.6,ESP-La Liga,2020,shooting
CHI,GK,37,1983,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"FW,MF",28,1991,14.3,5,35,14,40.0,2.46,0.98,0.14,0.36,20.5,1,0,0,2.7,2.7,0.08,2.3,2.3,ESP-La Liga,2020,shooting
MEX,"FW,MF",20,2000,9.6,0,13,4,30.8,1.36,0.42,0.0,0.0,18.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,ESP-La Liga,2020,shooting
BRA,DF,21,1999,33.2,1,11,3,27.3,0.33,0.09,0.09,0.33,16.6,0,0,0,1.5,1.5,0.14,-0.5,-0.5,ESP-La Liga,2020,shooting
ARG,MF,26,1994,31.8,1,30,9,30.0,0.94,0.28,0.03,0.11,19.8,0,0,0,2.3,2.3,0.08,-1.3,-1.3,ESP-La Liga,2020,shooting
ESP,"FW,MF",39,1981,14.3,2,10,5,50.0,0.7,0.35,0.2,0.4,15.9,0,0,0,0.6,0.6,0.06,1.4,1.4,ESP-La Liga,2020,shooting
ESP,GK,30,1990,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,DF,20,2000,18.4,1,10,3,30.0,0.54,0.16,0.1,0.33,25.3,1,0,0,0.7,0.7,0.07,0.3,0.3,ESP-La Liga,2020,shooting
ESP,"FW,MF",27,1993,6.7,2,14,5,35.7,2.09,0.75,0.14,0.4,11.3,0,0,0,2.4,2.4,0.17,-0.4,-0.4,ESP-La Liga,2020,shooting
ESP,FW,26,1993,11.0,1,24,3,12.5,2.18,0.27,0.04,0.33,18.1,0,0,0,2.8,2.8,0.12,-1.8,-1.8,ESP-La Liga,2020,shooting
ESP,DF,29,1991,18.8,0,10,4,40.0,0.53,0.21,0.0,0.0,18.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,ESP-La Liga,2020,shooting
ESP,DF,29,1991,2.7,0,2,0,0.0,0.75,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ESP-La Liga,2020,shooting
