league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
GER-Bundesliga,2024,Bayern Munich,Joshua Kimmich,GER,MF,30-062,1995,27,26,2307,25.6,1,6,7,1,0,0,4,0,1.4,1.4,6.2,7.6,43,294,63,0.04,0.23,0.27,0.04,0.27,0.05,0.24,0.29,0.05,0.29,standard
GER-Bundesliga,2024,Bayern Munich,Josip Stanišić,CRO,DF,25-009,2000,8,3,365,4.1,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,12,33,24,0.0,0.25,0.25,0.0,0.25,0.0,0.2,0.2,0.0,0.2,standard
GER-Bundesliga,2024,Bayern Munich,João Palhinha,POR,MF,29-276,1995,14,6,656,7.3,0,0,0,0,0,0,2,1,0.7,0.7,0.2,0.9,3,31,7,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,standard
GER-Bundesliga,2024,Bayern Munich,Kim Min-jae,KOR,DF,28-147,1996,25,25,2185,24.3,2,0,2,2,0,0,2,0,1.6,1.6,0.3,1.9,16,178,5,0.08,0.0,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,standard
GER-Bundesliga,2024,Bayern Munich,Kingsley Coman,FRA,FW,28-302,1996,22,11,1039,11.5,4,4,8,4,0,0,0,0,3.8,3.8,3.2,6.9,55,41,179,0.35,0.35,0.69,0.35,0.69,0.32,0.27,0.6,0.32,0.6,standard
GER-Bundesliga,2024,Bayern Munich,Konrad Laimer,AUT,DF,27-319,1997,23,13,1228,13.6,1,1,2,1,0,0,7,0,1.3,1.3,2.2,3.5,56,91,82,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26,standard
GER-Bundesliga,2024,Bayern Munich,Leon Goretzka,GER,MF,30-064,1995,21,11,1112,12.4,4,1,5,4,0,0,2,0,2.5,2.5,1.4,3.9,30,104,24,0.32,0.08,0.4,0.32,0.4,0.2,0.11,0.31,0.2,0.31,standard
GER-Bundesliga,2024,Bayern Munich,Leroy Sané,GER,FW,29-090,1996,24,14,1315,14.6,9,4,13,9,0,0,2,0,8.7,8.7,4.4,13.2,54,45,215,0.62,0.27,0.89,0.62,0.89,0.6,0.3,0.9,0.6,0.9,standard
GER-Bundesliga,2024,Bayern Munich,Manuel Neuer,GER,GK,39-015,1986,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,standard
GER-Bundesliga,2024,Bayern Munich,Mathys Tel,FRA,"FW,MF",19-349,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,6,9,34,0.0,0.35,0.35,0.0,0.35,0.26,0.1,0.36,0.26,0.36,standard
GER-Bundesliga,2024,Bayern Munich,Michael Olise,FRA,"FW,MF",23-120,2001,28,22,1811,20.1,8,10,18,8,0,0,2,0,7.1,7.1,9.3,16.4,88,152,286,0.4,0.5,0.89,0.4,0.89,0.35,0.46,0.81,0.35,0.81,standard
GER-Bundesliga,2024,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",31-110,1993,19,16,1303,14.5,3,2,5,3,0,0,1,0,2.2,2.2,2.5,4.7,32,67,102,0.21,0.14,0.35,0.21,0.35,0.15,0.17,0.32,0.15,0.32,standard
GER-Bundesliga,2024,Bayern Munich,Sacha Boey,FRA,DF,24-210,2000,9,5,419,4.7,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.0,16,28,51,0.0,0.21,0.21,0.0,0.21,0.02,0.21,0.22,0.02,0.22,standard
