league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Bayern Munich,Thomas Müller,GER,"MF,FW",35-210,1989,10.1,370,490,75.5,5390,1225,226,265,85.3,104,142,73.2,23,35,65.7,3,2.3,3.4,0.7,25,21,22,11,45,passing
GER-Bundesliga,2024,Bochum,Aliou Badara Baldé,GUI,"MF,FW",22-120,2002,1.0,11,20,55.0,187,62,6,9,66.7,5,8,62.5,0,0,,0,0.2,0.2,-0.2,2,1,2,1,1,passing
GER-Bundesliga,2024,Bochum,Anthony Losilla,FRA,MF,39-032,1986,12.0,294,386,76.2,4704,1771,131,160,81.9,127,161,78.9,18,37,48.6,0,0.4,0.6,-0.4,7,18,8,3,42,passing
GER-Bundesliga,2024,Bochum,Bernardo,BRA,DF,29-332,1995,13.8,494,656,75.3,10526,5113,145,175,82.9,261,305,85.6,84,143,58.7,0,0.7,1.5,-0.7,4,65,11,1,72,passing
GER-Bundesliga,2024,Bochum,Cristian Gamboa,CRC,DF,35-169,1989,1.8,61,98,62.2,1163,488,32,33,97.0,18,33,54.5,11,30,36.7,0,0.2,0.3,-0.2,3,3,2,1,5,passing
GER-Bundesliga,2024,Bochum,Dani de Wit,NED,"MF,FW",27-073,1998,11.8,264,369,71.5,3660,918,158,205,77.1,72,99,72.7,14,21,66.7,0,0.4,0.5,-0.4,8,21,5,2,26,passing
GER-Bundesliga,2024,Bochum,Erhan Mašović,SRB,DF,26-140,1998,10.0,347,417,83.2,7403,2939,87,96,90.6,211,237,89.0,49,76,64.5,1,0.9,0.5,0.1,3,28,0,0,34,passing
GER-Bundesliga,2024,Bochum,Felix Passlack,GER,"DF,MF",26-317,1998,21.7,567,856,66.2,10367,3626,241,294,82.0,248,331,74.9,72,163,44.2,4,2.5,3.0,1.5,20,56,23,9,59,passing
GER-Bundesliga,2024,Bochum,Gerrit Holtmann,PHI,"DF,FW",30-017,1995,10.9,232,351,66.1,4034,1432,117,138,84.8,85,118,72.0,25,56,44.6,1,2.3,2.6,-1.3,14,13,22,15,27,passing
GER-Bundesliga,2024,Bochum,Giorgos Masouras,GRE,"FW,MF",31-100,1994,6.8,108,155,69.7,1461,349,71,89,79.8,27,40,67.5,6,11,54.5,1,0.9,0.8,0.1,7,6,5,3,11,passing
GER-Bundesliga,2024,Bochum,Ibrahima Sissoko,MLI,MF,27-166,1997,24.7,665,879,75.7,11222,3593,298,353,84.4,308,371,83.0,48,96,50.0,1,0.9,2.2,0.1,20,66,12,4,92,passing
GER-Bundesliga,2024,Bochum,Ivan Ordets,UKR,DF,32-277,1992,17.7,609,764,79.7,13034,4786,140,185,75.7,384,431,89.1,83,132,62.9,0,0.1,0.5,-0.1,3,26,0,0,42,passing
GER-Bundesliga,2024,Bochum,Jakov Medić,CRO,DF,26-216,1998,14.9,502,583,86.1,10449,3315,127,144,88.2,308,340,90.6,65,90,72.2,0,0.2,0.5,-0.2,3,23,3,1,18,passing
GER-Bundesliga,2024,Bochum,Koji Miyoshi,JPN,"FW,MF",28-016,1997,5.0,74,127,58.3,1145,387,36,45,80.0,30,44,68.2,3,13,23.1,0,0.8,0.6,-0.8,5,8,4,0,14,passing
GER-Bundesliga,2024,Bochum,Lukas Daschner,GER,"MF,FW",26-192,1998,4.6,93,144,64.6,1531,522,51,63,81.0,21,38,55.3,13,27,48.1,1,0.7,0.3,0.3,6,9,1,0,11,passing
GER-Bundesliga,2024,Bochum,Mats Pannewig,GER,MF,20-165,2004,1.5,49,70,70.0,781,210,25,29,86.2,20,27,74.1,2,6,33.3,0,0.1,0.0,-0.1,1,4,0,0,8,passing
GER-Bundesliga,2024,Bochum,Matúš Bero,SVK,MF,29-217,1995,24.0,722,1062,68.0,12807,4972,329,384,85.7,293,425,68.9,80,181,44.2,2,3.2,3.0,-1.2,47,87,27,3,115,passing
GER-Bundesliga,2024,Bochum,Maximilian Wittek,GER,DF,29-233,1995,24.1,833,1210,68.8,15754,7328,329,400,82.3,390,507,76.9,100,235,42.6,0,3.6,5.1,-3.6,38,84,31,15,107,passing
GER-Bundesliga,2024,Bochum,Moritz Broschinski,GER,"FW,MF",24-200,2000,14.2,168,262,64.1,2504,520,92,122,75.4,57,78,73.1,9,18,50.0,3,1.7,1.4,1.3,11,8,8,4,19,passing
GER-Bundesliga,2024,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26-348,1998,1.9,62,78,79.5,933,228,30,33,90.9,21,24,87.5,6,7,85.7,0,0.2,0.2,-0.2,4,7,6,0,12,passing
GER-Bundesliga,2024,Bochum,Myron Boadu,NED,FW,24-087,2001,7.5,82,112,73.2,1335,168,33,45,73.3,43,55,78.2,3,3,100.0,1,0.6,1.3,0.4,6,3,4,1,10,passing
GER-Bundesliga,2024,Bochum,Patrick Drewes,GER,GK,32-066,1993,21.0,565,860,65.7,19116,15776,69,69,100.0,229,234,97.9,267,553,48.3,0,0.0,0.0,0.0,0,7,0,0,0,passing
GER-Bundesliga,2024,Bochum,Philipp Hofmann,GER,FW,32-012,1993,22.7,392,616,63.6,5854,1276,212,296,71.6,139,226,61.5,20,39,51.3,3,3.3,2.5,-0.3,25,35,8,0,47,passing
GER-Bundesliga,2024,Bochum,Samuel Bamba,GER,"FW,DF",21-057,2004,0.2,12,15,80.0,196,40,5,5,100.0,7,7,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,1,1,1,passing
GER-Bundesliga,2024,Bochum,Tim Oermann,GER,DF,21-187,2003,18.9,541,661,81.8,10306,2933,179,203,88.2,300,340,88.2,55,92,59.8,2,0.6,0.5,1.4,6,29,5,2,42,passing
GER-Bundesliga,2024,Bochum,Timo Horn,GER,GK,31-334,1993,7.0,167,280,59.6,6569,5726,13,13,100.0,54,54,100.0,100,213,46.9,0,0.0,0.0,0.0,0,17,0,0,1,passing
GER-Bundesliga,2024,Bochum,Tom Krauß,GER,MF,23-293,2001,7.5,290,371,78.2,5546,1743,111,131,84.7,143,165,86.7,36,55,65.5,0,0.6,0.6,-0.6,9,47,5,0,49,passing
GER-Bundesliga,2024,Dortmund,Alexander Meyer,GER,GK,33-363,1991,2.0,54,83,65.1,1541,1064,7,7,100.0,28,29,96.6,19,47,40.4,0,0.1,0.0,-0.1,1,2,0,0,0,passing
GER-Bundesliga,2024,Dortmund,Almugera Kabar,GER,DF,18-309,2006,1.5,89,98,90.8,1317,221,53,57,93.0,33,35,94.3,2,5,40.0,0,0.5,0.4,-0.5,3,7,2,1,6,passing
GER-Bundesliga,2024,Dortmund,Ayman Azhil,MAR,MF,24-001,2001,0.3,3,4,75.0,32,17,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,passing
GER-Bundesliga,2024,Dortmund,Carney Chukwuemeka,ENG,MF,21-173,2003,1.5,45,53,84.9,533,188,30,34,88.2,9,10,90.0,1,1,100.0,0,0.4,1.2,-0.4,3,6,4,0,11,passing
GER-Bundesliga,2024,Dortmund,Cole Campbell,USA,"MF,FW",19-050,2006,0.2,13,15,86.7,176,46,8,9,88.9,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,passing
GER-Bundesliga,2024,Dortmund,Daniel Svensson,SWE,"DF,FW",23-058,2002,2.7,114,150,76.0,1838,675,62,66,93.9,40,51,78.4,9,21,42.9,0,0.1,0.2,-0.1,2,10,5,1,17,passing
GER-Bundesliga,2024,Dortmund,Donyell Malen,NED,"FW,MF",26-092,1999,6.8,136,190,71.6,1735,423,98,119,82.4,33,46,71.7,3,9,33.3,0,0.2,0.5,-0.2,1,6,6,1,17,passing
GER-Bundesliga,2024,Dortmund,Emre Can,GER,"DF,MF",31-089,1994,20.7,1584,1758,90.1,29101,9724,617,656,94.1,828,871,95.1,130,201,64.7,0,0.4,1.1,-0.4,6,104,3,0,107,passing
