nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FRA,MF,23-162,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
SEN,"MF,FW",,,0.9,1,5,2,40.0,5.77,2.31,0.2,0.5,11.5,0,0,0,1.0,1.0,0.2,0.0,0.0,FRA-Ligue 1,2024,shooting
GUI,DF,22-281,2002,11.3,0,4,1,25.0,0.35,0.09,0.0,0.0,10.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,FRA-Ligue 1,2024,shooting
ENG,"DF,FW",18-267,2006,1.3,1,5,3,60.0,3.75,2.25,0.2,0.33,18.1,0,0,0,0.5,0.5,0.1,0.5,0.5,FRA-Ligue 1,2024,shooting
SWE,"FW,MF",22-330,2002,21.0,5,25,10,40.0,1.19,0.48,0.2,0.5,11.7,1,0,0,5.8,5.8,0.23,-0.8,-0.8,FRA-Ligue 1,2024,shooting
FRA,"FW,MF",22-255,2002,7.1,1,15,3,20.0,2.1,0.42,0.07,0.33,16.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1,FRA-Ligue 1,2024,shooting
FRA,DF,33-018,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
ARG,"MF,DF",20-262,2004,7.3,0,5,0,0.0,0.69,0.0,0.0,,25.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA-Ligue 1,2024,shooting
COL,MF,19-196,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
SRB,GK,25-185,1999,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
NOR,"DF,MF",26-356,1998,24.9,1,27,4,14.8,1.08,0.16,0.04,0.25,20.0,0,0,0,1.8,1.8,0.07,-0.8,-0.8,FRA-Ligue 1,2024,shooting
ENG,DF,22-237,2002,23.8,2,27,11,40.7,1.13,0.46,0.07,0.18,9.7,0,0,0,2.7,2.7,0.1,-0.7,-0.7,FRA-Ligue 1,2024,shooting
VEN,MF,25-081,2000,24.0,1,13,3,23.1,0.54,0.13,0.08,0.33,24.2,2,0,0,0.6,0.6,0.05,0.4,0.4,FRA-Ligue 1,2024,shooting
AUS,MF,25-325,1999,2.5,0,6,0,0.0,2.43,0.0,0.0,,21.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,FRA-Ligue 1,2024,shooting
FRA,DF,32-256,1992,17.6,0,4,1,25.0,0.23,0.06,0.0,0.0,12.0,1,0,0,0.3,0.3,0.09,-0.3,-0.3,FRA-Ligue 1,2024,shooting
ITA,DF,20-243,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
CMR,FW,25-219,1999,11.4,5,33,13,39.4,2.89,1.14,0.15,0.38,12.3,0,0,0,4.7,4.7,0.14,0.3,0.3,FRA-Ligue 1,2024,shooting
CHI,DF,27-245,1997,20.8,0,7,4,57.1,0.34,0.19,0.0,0.0,17.1,2,0,0,0.8,0.8,0.12,-0.8,-0.8,FRA-Ligue 1,2024,shooting
FRA,GK,20-031,2005,22.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,"DF,MF",18-256,2006,8.3,0,3,1,33.3,0.36,0.12,0.0,0.0,16.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,FRA-Ligue 1,2024,shooting
NOR,"FW,MF",33-086,1992,14.4,5,36,15,41.7,2.5,1.04,0.14,0.33,15.6,0,0,0,5.2,5.2,0.15,-0.2,-0.2,FRA-Ligue 1,2024,shooting
NOR,GK,26-303,1998,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
CPV,DF,24-010,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
USA,DF,26-045,1999,24.4,1,7,2,28.6,0.29,0.08,0.14,0.5,9.6,0,0,0,1.4,1.4,0.19,-0.4,-0.4,FRA-Ligue 1,2024,shooting
SVN,MF,30-284,1994,2.7,0,6,2,33.3,2.2,0.73,0.0,0.0,22.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,FRA-Ligue 1,2024,shooting
