nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ESP,MF,26-203,1998,9.7,260,350,74.3,4079,1019,134,164,81.7,102,130,78.5,15,27,55.6,1,1.5,0.2,-0.5,4,27,2,1,37,ESP-La Liga,2024,passing
ESP,"FW,MF",24-159,2000,7.5,102,151,67.5,1387,204,63,80,78.8,31,41,75.6,3,11,27.3,0,0.7,0.4,-0.7,3,11,0,0,14,ESP-La Liga,2024,passing
ESP,"FW,MF",31-271,1993,21.3,696,946,73.6,12178,3259,345,408,84.6,224,285,78.6,93,163,57.1,4,2.5,3.6,1.5,36,58,23,12,88,ESP-La Liga,2024,passing
ESP,"FW,DF",33-267,1991,7.4,150,256,58.6,2474,1145,78,102,76.5,58,100,58.0,12,33,36.4,0,0.5,0.7,-0.5,12,16,8,4,19,ESP-La Liga,2024,passing
ESP,GK,31-310,1993,29.0,689,987,69.8,23153,18672,73,74,98.6,311,318,97.8,305,591,51.6,0,0.0,0.1,0.0,0,25,0,0,2,ESP-La Liga,2024,passing
GHA,DF,26-309,1998,22.4,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,0.8,1,40,1,0,40,ESP-La Liga,2024,passing
ESP,"FW,MF",32-339,1992,15.3,329,513,64.1,5337,1363,186,230,80.9,92,136,67.6,38,101,37.6,1,2.7,2.4,-1.7,19,20,17,10,41,ESP-La Liga,2024,passing
URU,DF,33-096,1992,6.4,242,334,72.5,3810,1792,133,144,92.4,94,134,70.1,14,43,32.6,0,0.0,0.3,0.0,1,26,1,1,28,ESP-La Liga,2024,passing
ROU,DF,26-295,1998,27.2,1167,1430,81.6,17816,6228,651,726,89.7,447,530,84.3,50,96,52.1,3,4.9,2.8,-1.9,25,84,14,7,116,ESP-La Liga,2024,passing
ESP,DF,36-019,1989,6.4,266,307,86.6,5020,1816,108,119,90.8,129,141,91.5,26,42,61.9,0,0.0,0.0,0.0,1,12,0,0,30,ESP-La Liga,2024,passing
ARG,GK,28-346,1996,25.0,613,919,66.7,17977,13244,93,94,98.9,314,318,98.7,205,501,40.9,0,0.0,0.1,0.0,0,19,1,0,2,ESP-La Liga,2024,passing
ESP,GK,28-014,1997,5.0,74,140,52.9,2459,1922,6,6,100.0,40,41,97.6,28,92,30.4,0,0.0,0.0,0.0,0,2,0,0,0,ESP-La Liga,2024,passing
CMR,FW,22-236,2002,0.4,1,5,20.0,10,3,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
FRA,DF,33-326,1991,28.9,1343,1606,83.6,29234,12269,362,404,89.6,777,831,93.5,200,346,57.8,2,1.1,1.0,0.9,11,138,6,2,111,ESP-La Liga,2024,passing
ESP,MF,30-114,1994,6.8,221,300,73.7,3869,1240,107,123,87.0,81,102,79.4,26,60,43.3,1,1.2,0.7,-0.2,14,23,3,1,27,ESP-La Liga,2024,passing
ESP,"MF,FW",30-105,1994,17.9,560,724,77.3,9187,2708,301,339,88.8,190,230,82.6,56,112,50.0,3,2.5,2.8,0.5,29,55,11,3,87,ESP-La Liga,2024,passing
ALB,DF,33-100,1992,9.0,315,423,74.5,5249,2267,150,168,89.3,137,173,79.2,22,59,37.3,0,0.4,0.2,-0.4,5,29,3,1,34,ESP-La Liga,2024,passing
COL,"MF,FW",33-273,1991,1.6,78,98,79.6,1368,440,40,44,90.9,21,25,84.0,13,24,54.2,0,0.2,0.3,-0.2,2,12,1,0,13,ESP-La Liga,2024,passing
ESP,"FW,MF",28-050,1997,22.1,389,571,68.1,5492,1489,237,294,80.6,113,165,68.5,21,43,48.8,3,3.1,2.2,-0.1,27,18,27,13,41,ESP-La Liga,2024,passing
SEN,MF,31-026,1994,17.5,740,879,84.2,12886,3976,331,369,89.7,337,375,89.9,59,92,64.1,1,1.1,0.7,-0.1,16,87,6,0,103,ESP-La Liga,2024,passing
ESP,MF,26-310,1998,8.5,294,376,78.2,4558,1357,166,189,87.8,92,104,88.5,23,59,39.0,0,1.2,1.5,-1.2,15,27,11,2,40,ESP-La Liga,2024,passing
ESP,DF,21-347,2003,1.0,20,24,83.3,365,130,12,13,92.3,6,8,75.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,DF,27-001,1998,22.2,977,1212,80.6,15680,5447,515,573,89.9,385,461,83.5,63,121,52.1,1,1.2,1.6,-0.2,17,60,18,9,87,ESP-La Liga,2024,passing
ANG,FW,27-126,1997,10.8,126,197,64.0,1596,202,82,109,75.2,35,58,60.3,3,6,50.0,0,0.5,0.2,-0.5,9,5,1,0,6,ESP-La Liga,2024,passing
ESP,DF,30-176,1994,0.2,3,4,75.0,31,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,FW,33-317,1991,3.5,45,69,65.2,585,143,33,45,73.3,8,13,61.5,3,5,60.0,0,0.1,0.2,-0.1,5,2,2,1,2,ESP-La Liga,2024,passing
ESP,FW,24-060,2001,12.6,207,263,78.7,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,2,2.0,1.1,0.0,19,12,7,0,27,ESP-La Liga,2024,passing
ESP,MF,29-163,1995,14.6,785,935,84.0,13308,3403,375,411,91.2,334,376,88.8,65,121,53.7,1,0.6,0.9,0.4,14,79,8,1,85,ESP-La Liga,2024,passing
ESP,"FW,MF",32-166,1992,21.3,414,651,63.6,6401,2103,225,294,76.5,137,215,63.7,30,79,38.0,5,4.1,3.8,0.9,40,19,36,15,56,ESP-La Liga,2024,passing
ARG,MF,36-350,1988,5.4,244,292,83.6,3202,737,162,177,91.5,60,75,80.0,10,20,50.0,0,0.9,0.3,-0.9,7,29,5,0,35,ESP-La Liga,2024,passing
ESP,MF,30-234,1994,16.3,534,652,81.9,8420,3009,273,307,88.9,221,258,85.7,31,56,55.4,0,0.8,1.0,-0.8,10,58,6,1,70,ESP-La Liga,2024,passing
