nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
AUT,"MF,FW",22,2000,16.9,1,18,3,16.7,1.07,0.18,0.06,0.33,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5,GER-Bundesliga,2022,shooting
BEL,MF,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
CRO,MF,22,2000,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,GER-Bundesliga,2022,shooting
GER,FW,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
GER,MF,21,2000,20.4,3,37,9,24.3,1.81,0.44,0.08,0.33,17.1,0,0,0,2.7,2.7,0.07,0.3,0.3,GER-Bundesliga,2022,shooting
POL,"FW,DF",20,2002,22.9,4,39,14,35.9,1.71,0.61,0.1,0.29,15.9,0,0,0,5.0,4.8,0.12,-1.0,-0.8,GER-Bundesliga,2022,shooting
DEN,FW,23,1999,14.3,6,29,10,34.5,2.02,0.7,0.21,0.6,13.4,0,0,1,5.2,4.4,0.15,0.8,1.6,GER-Bundesliga,2022,shooting
CRO,"MF,FW",24,1998,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,GER-Bundesliga,2022,shooting
FRA,"DF,MF",31,1990,13.1,1,6,1,16.7,0.46,0.08,0.17,1.0,11.9,0,0,0,0.5,0.5,0.09,0.5,0.5,GER-Bundesliga,2022,shooting
FRA,"MF,DF",29,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
