league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
FRA-Ligue 1,2024,Montpellier,Jordan Ferri,FRA,MF,33-030,1992,14.5,0,12,3,25.0,0.83,0.21,0.0,0.0,26.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Montpellier,Joris Chotard,FRA,MF,23-199,2001,16.7,1,15,2,13.3,0.9,0.12,0.07,0.5,20.9,1,0,0,1.1,1.1,0.07,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Montpellier,Junior Ndiaye,FRA,FW,20-013,2005,1.2,0,1,0,0.0,0.8,0.0,0.0,,5.5,0,0,0,0.3,0.3,0.26,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Montpellier,Khalil Fayad,FRA,"MF,FW",20-306,2004,7.8,0,9,2,22.2,1.16,0.26,0.0,0.0,24.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8,shooting
FRA-Ligue 1,2024,Montpellier,Lucas Mincarelli,FRA,DF,21-096,2004,2.8,0,1,1,100.0,0.36,0.36,0.0,0.0,33.2,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Modibo Sagnan,MLI,DF,25-362,1999,21.7,2,10,3,30.0,0.46,0.14,0.2,0.67,11.5,0,0,0,0.7,0.7,0.07,1.3,1.3,shooting
FRA-Ligue 1,2024,Montpellier,Musa Al-Taamari,JOR,"FW,MF",27-305,1997,12.4,2,27,11,40.7,2.18,0.89,0.07,0.18,17.7,0,0,0,2.6,2.6,0.09,-0.6,-0.6,shooting
FRA-Ligue 1,2024,Montpellier,Nicolas Pays,FRA,"FW,MF",21-247,2003,3.1,0,9,1,11.1,2.88,0.32,0.0,0.0,20.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2,shooting
FRA-Ligue 1,2024,Montpellier,Nikola Maksimović,SRB,DF,33-137,1991,6.5,0,1,0,0.0,0.15,0.0,0.0,,13.3,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Othmane Maamma,MAR,"FW,MF",19-187,2005,3.0,1,7,3,42.9,2.33,1.0,0.14,0.33,14.7,0,0,0,0.7,0.7,0.1,0.3,0.3,shooting
FRA-Ligue 1,2024,Montpellier,Rabby Nzingoula,CGO,MF,19-137,2005,14.2,1,13,5,38.5,0.92,0.35,0.08,0.2,20.2,0,0,0,0.8,0.8,0.06,0.2,0.2,shooting
FRA-Ligue 1,2024,Montpellier,Simon Cara,FRA,"MF,FW",19-315,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Stefan Džodić,SRB,"DF,MF",20-027,2005,2.1,0,2,0,0.0,0.95,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Montpellier,Tanguy Coulibaly,FRA,"FW,MF",24-052,2001,9.8,2,22,10,45.5,2.25,1.02,0.09,0.2,16.4,0,0,0,2.6,2.6,0.12,-0.6,-0.6,shooting
FRA-Ligue 1,2024,Montpellier,Théo Chennahi,FRA,"MF,DF",20-064,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Théo Sainte-Luce,FRA,DF,26-173,1998,7.2,1,5,3,60.0,0.7,0.42,0.2,0.33,10.3,0,0,0,0.9,0.9,0.19,0.1,0.1,shooting
FRA-Ligue 1,2024,Montpellier,Téji Savanier,FRA,MF,33-110,1991,23.9,2,42,12,28.6,1.76,0.5,0.0,0.0,26.9,13,2,2,3.8,2.3,0.05,-1.8,-2.3,shooting
FRA-Ligue 1,2024,Montpellier,Wahbi Khazri,TUN,"FW,MF",34-062,1991,11.3,1,33,6,18.2,2.92,0.53,0.03,0.17,25.1,4,0,0,2.2,2.2,0.07,-1.2,-1.2,shooting
FRA-Ligue 1,2024,Montpellier,Wilfried Ndollo,CMR,DF,19-272,2005,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Yael Mouanga,FRA,DF,19-262,2005,5.7,0,1,0,0.0,0.17,0.0,0.0,,5.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Montpellier,Yanis Issoufou,FRA,"MF,FW",18-165,2006,0.9,0,2,0,0.0,2.34,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Nantes,Alban Lafont,FRA,GK,26-078,1999,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Nantes,Anthony Lopes,POR,GK,34-192,1990,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Nantes,Bahereba Guirassy,FRA,"FW,MF",18-225,2006,3.5,2,7,4,57.1,1.99,1.14,0.29,0.5,14.1,0,0,0,0.7,0.7,0.1,1.3,1.3,shooting
FRA-Ligue 1,2024,Nantes,Dehmaine Assoumani,FRA,"MF,FW",19-359,2005,0.9,0,3,2,66.7,3.29,2.2,0.0,0.0,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Nantes,Douglas,BRA,MF,28-088,1997,21.1,3,28,12,42.9,1.32,0.57,0.11,0.25,16.0,0,0,0,3.0,3.0,0.11,0.0,0.0,shooting
FRA-Ligue 1,2024,Nantes,Fabien Centonze,FRA,DF,29-085,1996,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Nantes,Florent Mollet,FRA,"MF,FW",33-143,1991,2.7,0,6,2,33.3,2.23,0.74,0.0,0.0,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Nantes,Francis Coquelin,FRA,"MF,FW",33-333,1991,0.7,0,2,0,0.0,2.69,0.0,0.0,,13.6,0,0,0,0.5,0.5,0.27,-0.5,-0.5,shooting
FRA-Ligue 1,2024,Nantes,Ignatius Ganago,CMR,"FW,MF",26-054,1999,2.7,0,7,0,0.0,2.61,0.0,0.0,,11.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting
FRA-Ligue 1,2024,Nantes,Jean-Charles Castelletto,CMR,"DF,MF",30-075,1995,23.1,0,11,4,36.4,0.48,0.17,0.0,0.0,13.3,0,0,0,1.2,1.2,0.15,-1.2,-1.2,shooting
FRA-Ligue 1,2024,Nantes,Jean-Kevin Duverne,HAI,DF,27-273,1997,6.0,0,4,0,0.0,0.67,0.0,0.0,,17.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Nantes,Jean-Philippe Gbamin,CIV,MF,29-198,1995,2.4,0,2,0,0.0,0.83,0.0,0.0,,8.0,0,0,0,0.5,0.5,0.26,-0.5,-0.5,shooting
FRA-Ligue 1,2024,Nantes,Johann Lepenant,FRA,MF,22-171,2002,19.6,2,16,5,31.3,0.82,0.25,0.13,0.4,16.6,0,0,0,1.2,1.2,0.08,0.8,0.8,shooting
FRA-Ligue 1,2024,Nantes,Kelvin Amian,FRA,DF,27-062,1998,19.4,1,6,3,50.0,0.31,0.15,0.17,0.33,15.6,0,0,0,0.9,0.9,0.16,0.1,0.1,shooting
FRA-Ligue 1,2024,Nantes,Louis Leroux,FRA,"MF,DF",19-078,2006,5.8,1,7,4,57.1,1.21,0.69,0.14,0.25,15.8,0,0,0,1.1,1.1,0.15,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Nantes,Marcus Coco,FRA,DF,28-291,1996,10.3,0,2,0,0.0,0.19,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Nantes,Matthis Abline,FRA,FW,22-014,2003,25.0,8,65,24,36.9,2.6,0.96,0.11,0.29,14.9,0,1,1,7.6,6.8,0.1,0.4,0.2,shooting
FRA-Ligue 1,2024,Nantes,Meschak Elia,COD,FW,27-248,1997,1.7,1,5,1,20.0,2.88,0.58,0.2,1.0,16.0,0,0,0,1.1,1.1,0.22,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Nantes,Moses Simon,NGA,"FW,MF",29-273,1995,23.3,7,37,13,35.1,1.59,0.56,0.11,0.31,19.2,2,3,3,4.9,2.6,0.07,2.1,1.4,shooting
FRA-Ligue 1,2024,Nantes,Mostafa Mohamed,EGY,FW,27-134,1997,11.1,4,36,14,38.9,3.25,1.26,0.11,0.29,13.8,1,0,0,4.2,4.2,0.12,-0.2,-0.2,shooting
FRA-Ligue 1,2024,Nantes,Nathan Zeze,FRA,DF,19-297,2005,11.6,0,4,1,25.0,0.35,0.09,0.0,0.0,10.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
FRA-Ligue 1,2024,Nantes,Nicolas Cozza,FRA,"DF,MF",26-093,1999,19.5,1,12,4,33.3,0.62,0.21,0.08,0.25,15.6,0,0,0,1.2,1.2,0.1,-0.2,-0.2,shooting
FRA-Ligue 1,2024,Nantes,Nicolas Pallois,FRA,DF,37-204,1987,19.2,0,3,1,33.3,0.16,0.05,0.0,0.0,22.0,0,0,0,0.4,0.4,0.14,-0.4,-0.4,shooting
FRA-Ligue 1,2024,Nantes,Patrik Carlgren,SWE,GK,33-093,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Nantes,Pedro Chirivella,ESP,MF,27-323,1997,21.3,0,5,1,20.0,0.23,0.05,0.0,0.0,19.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Nantes,Plamedi Nsingi,,MF,24-115,2000,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,10.9,0,0,0,0.2,0.2,0.23,-0.2,-0.2,shooting
FRA-Ligue 1,2024,Nantes,Saidou Sow,GUI,DF,22-281,2002,8.9,1,5,2,40.0,0.56,0.23,0.2,0.5,9.1,0,0,0,0.6,0.6,0.13,0.4,0.4,shooting
