league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Cagliari,Kiril Despodov,BUL,FW,23,1996,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2020,Cagliari,Kwadwo Asamoah,GHA,"DF,MF",31,1988,2.5,0,0,0,0,4,0,7,4,3,0,0,0,20,2,1,66.7,misc
ITA-Serie A,2020,Cagliari,Leonardo Pavoletti,ITA,FW,31,1988,17.6,8,0,0,44,29,9,1,4,3,1,0,0,38,113,67,62.8,misc
ITA-Serie A,2020,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,16.3,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,61.3,misc
ITA-Serie A,2020,Cagliari,Marko Rog,CRO,MF,25,1995,12.9,2,0,0,34,23,0,6,19,24,0,0,0,95,5,13,27.8,misc
ITA-Serie A,2020,Cagliari,Mattéo Tramoni,FRA,"MF,FW",20,2000,0.8,1,0,0,1,1,0,0,1,2,0,0,0,4,0,2,0.0,misc
ITA-Serie A,2020,Cagliari,Nahitan Nández,URU,"MF,DF",24,1995,30.4,8,1,0,40,59,8,95,23,28,0,0,0,181,42,59,41.6,misc
ITA-Serie A,2020,Cagliari,Paolo Faragò,ITA,DF,27,1993,4.1,2,0,0,7,1,0,11,6,9,0,0,0,19,5,1,83.3,misc
ITA-Serie A,2020,Cagliari,Radja Nainggolan,BEL,MF,32,1988,20.5,5,0,0,21,21,0,72,15,26,0,0,0,141,17,15,53.1,misc
ITA-Serie A,2020,Cagliari,Ragnar Klavan,EST,DF,34,1985,8.6,1,0,0,8,1,0,1,8,9,0,1,0,39,12,14,46.2,misc
ITA-Serie A,2020,Cagliari,Riccardo Sottil,ITA,"FW,MF",21,1999,13.2,3,0,0,17,35,1,43,5,3,0,0,0,82,3,12,20.0,misc
ITA-Serie A,2020,Cagliari,Răzvan Marin,ROU,MF,24,1996,32.9,6,0,0,49,23,2,161,29,33,0,0,0,186,10,18,35.7,misc
ITA-Serie A,2020,Cagliari,Sebastian Walukiewicz,POL,DF,20,2000,18.0,1,0,0,17,4,0,2,36,19,0,0,0,68,16,19,45.7,misc
ITA-Serie A,2020,Crotone,Adam Ounas,ALG,"FW,MF",23,1996,13.3,1,0,0,11,31,9,41,3,4,0,0,0,62,9,14,39.1,misc
ITA-Serie A,2020,Crotone,Ahmad Benali,LBY,MF,28,1992,13.5,2,0,0,12,16,1,28,6,11,0,0,0,94,10,4,71.4,misc
ITA-Serie A,2020,Crotone,Alex Cordaz,ITA,GK,37,1983,36.0,1,0,0,0,7,0,0,1,0,0,0,0,49,4,0,100.0,misc
ITA-Serie A,2020,Crotone,Andrea Rispoli,ITA,DF,31,1988,7.2,4,0,0,8,4,1,30,5,3,0,0,0,22,4,7,36.4,misc
ITA-Serie A,2020,Crotone,Antonio Mazzotta,ITA,DF,30,1989,0.6,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,,misc
