nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
PAR,"FW,MF",18,2004,9.0,396,2,22,155,228,49,396,64,32,50.0,25,39.1,241,1768,1013,39,29,17,19,20,292,74,ENG-Premier League,2022,possession
JPN,"FW,MF",25,1997,25.8,1312,18,146,466,716,177,1312,130,59,45.4,55,42.3,891,6882,3828,143,82,85,60,33,986,260,ENG-Premier League,2022,possession
BEL,"FW,MF",27,1994,14.6,697,3,62,278,368,90,697,40,14,35.0,19,47.5,429,2443,1192,40,27,24,38,26,531,118,ENG-Premier League,2022,possession
ENG,DF,19,2003,13.6,1263,144,569,646,51,11,1263,1,1,100.0,0,0.0,845,4646,2952,16,10,0,7,4,921,3,ENG-Premier League,2022,possession
ENG,DF,30,1991,36.0,3461,428,1665,1712,97,34,3461,5,4,80.0,0,0.0,2294,11410,6327,19,21,0,13,5,2586,5,ENG-Premier League,2022,possession
ECU,MF,20,2001,34.9,2603,91,555,1520,558,28,2603,54,28,51.9,21,38.9,1507,6220,2876,38,32,6,39,23,1891,61,ENG-Premier League,2022,possession
ENG,DF,19,2002,0.3,35,0,11,21,3,0,35,1,1,100.0,0,0.0,17,90,44,1,0,0,1,0,19,1,ENG-Premier League,2022,possession
GER,"MF,DF",31,1991,36.0,2602,77,466,1225,924,98,2602,33,17,51.5,13,39.4,1453,6723,3125,62,52,8,39,18,1832,209,ENG-Premier League,2022,possession
ECU,DF,24,1998,29.7,2211,82,506,1076,649,71,2211,42,19,45.2,18,42.9,1292,6134,3440,91,55,15,38,29,1434,183,ENG-Premier League,2022,possession
ESP,GK,24,1997,23.0,826,692,822,4,0,0,826,0,0,,0,,523,2418,1458,0,0,0,0,0,480,0,ENG-Premier League,2022,possession
