league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2024,Torino,Aaron Ciammaglichella,ITA,MF,20-075,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Adam Masina,MAR,DF,31-099,1994,16.6,1,6,2,33.3,0.36,0.12,0.17,0.5,12.7,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting
ITA-Serie A,2024,Torino,Adrien Tameze,CMR,"MF,DF",31-066,1994,6.7,0,7,3,42.9,1.05,0.45,0.0,0.0,15.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting
ITA-Serie A,2024,Torino,Alberto Paleari,ITA,GK,32-225,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Ali Dembélé,FRA,DF,21-096,2004,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Antonio Sanabria,PAR,FW,29-038,1996,12.9,2,15,4,26.7,1.16,0.31,0.13,0.5,14.1,0,0,1,2.7,1.9,0.13,-0.7,0.1,shooting
ITA-Serie A,2024,Torino,Borna Sosa,CRO,DF,27-080,1998,13.1,0,4,1,25.0,0.3,0.08,0.0,0.0,20.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting
ITA-Serie A,2024,Torino,Cesare Casadei,ITA,MF,22-091,2003,6.2,1,9,5,55.6,1.46,0.81,0.11,0.2,13.0,0,0,0,0.6,0.6,0.07,0.4,0.4,shooting
ITA-Serie A,2024,Torino,Che Adams,SCO,FW,28-272,1996,23.0,8,46,20,43.5,2.0,0.87,0.17,0.4,16.7,0,0,1,6.2,5.5,0.12,1.8,2.5,shooting
ITA-Serie A,2024,Torino,Cristiano Biraghi,ITA,DF,32-222,1992,6.2,0,6,1,16.7,0.96,0.16,0.0,0.0,29.5,2,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting
ITA-Serie A,2024,Torino,Duván Zapata,COL,FW,34-010,1991,6.5,3,21,8,38.1,3.22,1.23,0.14,0.38,11.6,0,0,0,3.4,3.4,0.16,-0.4,-0.4,shooting
ITA-Serie A,2024,Torino,Elif Elmas,MKD,FW,25-199,1999,5.6,4,9,5,55.6,1.6,0.89,0.44,0.8,20.9,0,0,0,0.7,0.7,0.08,3.3,3.3,shooting
ITA-Serie A,2024,Torino,Eybi Nije,SWE,"FW,MF",19-332,2005,4.4,1,9,5,55.6,2.06,1.14,0.11,0.2,18.9,0,0,0,1.5,1.5,0.17,-0.5,-0.5,shooting
ITA-Serie A,2024,Torino,Guillermo Maripán,CHI,DF,30-340,1994,19.0,1,8,4,50.0,0.42,0.21,0.13,0.25,10.3,0,0,0,0.8,0.8,0.1,0.2,0.2,shooting
ITA-Serie A,2024,Torino,Gvidas Gineitis,LTU,MF,20-361,2004,11.3,3,20,6,30.0,1.77,0.53,0.15,0.5,23.4,2,0,0,0.9,0.9,0.04,2.1,2.1,shooting
ITA-Serie A,2024,Torino,Ivan Ilić,SRB,MF,24-025,2001,8.2,1,9,4,44.4,1.09,0.49,0.11,0.25,20.1,2,0,0,0.9,0.9,0.1,0.1,0.1,shooting
ITA-Serie A,2024,Torino,Karol Linetty,POL,MF,30-068,1995,14.3,1,12,3,25.0,0.84,0.21,0.08,0.33,21.8,0,0,0,0.6,0.6,0.05,0.4,0.4,shooting
ITA-Serie A,2024,Torino,Marcus Pedersen,NOR,DF,24-269,2000,13.2,0,8,3,37.5,0.6,0.23,0.0,0.0,17.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,shooting
ITA-Serie A,2024,Torino,Mërgim Vojvoda,KVX,DF,30-069,1995,12.3,0,5,0,0.0,0.41,0.0,0.0,,20.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,shooting
ITA-Serie A,2024,Torino,Nikola Vlašić,CRO,"MF,FW",27-189,1997,19.4,4,23,9,39.1,1.19,0.46,0.13,0.33,21.5,0,1,1,2.2,1.4,0.06,1.8,1.6,shooting
ITA-Serie A,2024,Torino,Raoul Bellanova,ITA,DF,24-329,2000,1.0,0,1,0,0.0,1.03,0.0,0.0,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Saba Sazonov,GEO,DF,23-069,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Samuele Ricci,ITA,MF,23-233,2001,28.3,1,19,6,31.6,0.67,0.21,0.05,0.17,25.5,0,0,0,1.2,1.2,0.06,-0.2,-0.2,shooting
ITA-Serie A,2024,Torino,Saúl Coco,EQG,DF,26-061,1999,29.0,2,18,4,22.2,0.62,0.14,0.11,0.5,18.8,3,0,0,1.1,1.1,0.06,0.9,0.9,shooting
ITA-Serie A,2024,Torino,Sebastian Walukiewicz,POL,DF,25-006,2000,16.5,0,6,1,16.7,0.36,0.06,0.0,0.0,20.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,shooting
ITA-Serie A,2024,Torino,Valentino Lazaro,AUT,"DF,FW",29-018,1996,22.6,0,13,2,15.4,0.57,0.09,0.0,0.0,19.7,2,0,0,0.8,0.8,0.06,-0.8,-0.8,shooting
ITA-Serie A,2024,Torino,Vanja Milinković-Savić,SRB,GK,28-050,1997,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Torino,Yann Karamoh,FRA,"MF,FW",26-277,1998,10.8,0,24,6,25.0,2.22,0.56,0.0,0.0,17.2,0,0,0,1.2,1.2,0.05,-1.2,-1.2,shooting
ITA-Serie A,2024,Udinese,Alexis Sánchez,CHI,FW,36-113,1988,3.9,0,5,0,0.0,1.29,0.0,0.0,,17.9,0,0,0,0.6,0.6,0.12,-0.6,-0.6,shooting
ITA-Serie A,2024,Udinese,Arthur Atta,FRA,MF,22-087,2003,8.3,0,18,5,27.8,2.17,0.6,0.0,0.0,20.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,shooting
ITA-Serie A,2024,Udinese,Brenner,BRA,"MF,FW",25-085,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,0.4,0.4,shooting
