nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ZIM,DF,25-148,1999,14.0,433,563,76.9,6834,2540,237,260,91.2,159,210,75.7,28,63,44.4,2,0.9,1.2,1.1,9,23,14,8,40,ITA-Serie A,2024,passing
NED,MF,25-006,2000,16.7,475,591,80.4,7342,1699,249,292,85.3,186,223,83.4,24,36,66.7,2,1.1,0.9,0.9,12,34,9,2,54,ITA-Serie A,2024,passing
ENG,FW,27-057,1998,7.9,152,197,77.2,2270,344,80,101,79.2,49,57,86.0,13,14,92.9,1,2.0,0.6,-1.0,15,11,8,0,20,ITA-Serie A,2024,passing
NED,DF,29-321,1995,23.1,643,842,76.4,11041,3485,303,353,85.8,272,342,79.5,54,103,52.4,1,1.9,1.7,-0.9,18,26,19,15,45,ITA-Serie A,2024,passing
ARG,DF,31-149,1993,9.3,306,372,82.3,5620,1987,102,113,90.3,165,195,84.6,31,51,60.8,0,0.1,0.3,-0.1,2,12,2,0,18,ITA-Serie A,2024,passing
ITA,FW,24-213,2000,23.9,223,349,63.9,3530,362,104,169,61.5,82,110,74.5,19,25,76.0,1,1.5,0.7,-0.5,13,17,0,0,16,ITA-Serie A,2024,passing
NGA,GK,25-226,1999,18.0,492,637,77.2,12740,9183,115,116,99.1,246,248,99.2,129,267,48.3,0,0.0,0.0,0.0,0,12,0,0,1,ITA-Serie A,2024,passing
ARG,MF,26-212,1998,12.6,307,384,79.9,5400,1122,136,148,91.9,129,149,86.6,33,61,54.1,1,1.0,0.9,0.0,9,38,7,6,42,ITA-Serie A,2024,passing
ARG,DF,24-291,2000,2.0,49,60,81.7,1023,477,21,24,87.5,17,19,89.5,10,14,71.4,0,0.0,0.0,0.0,0,5,0,0,4,ITA-Serie A,2024,passing
ESP,MF,26-097,1999,7.1,180,219,82.2,2932,700,93,100,93.0,66,77,85.7,16,26,61.5,0,0.4,0.6,-0.4,5,16,7,5,19,ITA-Serie A,2024,passing
FRA,DF,25-063,2000,11.6,646,722,89.5,12774,3641,225,238,94.5,321,343,93.6,99,127,78.0,1,0.5,0.4,0.5,9,31,5,1,38,ITA-Serie A,2024,passing
ROU,GK,22-294,2002,12.0,277,395,70.1,7197,4630,63,63,100.0,151,153,98.7,61,173,35.3,0,0.0,0.0,0.0,0,6,0,0,0,ITA-Serie A,2024,passing
ANG,"DF,MF",25-186,1999,3.3,115,160,71.9,1697,503,71,82,86.6,34,53,64.2,7,14,50.0,0,0.1,0.1,-0.1,3,6,3,3,8,ITA-Serie A,2024,passing
SVN,MF,27-014,1998,22.0,660,833,79.2,11898,3421,273,305,89.5,287,346,82.9,79,138,57.2,3,3.1,2.2,-0.1,30,76,17,4,104,ITA-Serie A,2024,passing
ITA,"MF,FW",19-056,2006,0.7,29,43,67.4,445,65,15,18,83.3,12,14,85.7,1,9,11.1,0,0.0,0.0,0.0,1,1,0,0,0,ITA-Serie A,2024,passing
FRA,DF,22-014,2003,8.1,474,517,91.7,8403,2159,197,210,93.8,230,240,95.8,44,57,77.2,0,0.0,0.2,0.0,2,34,4,1,26,ITA-Serie A,2024,passing
DEN,DF,23-084,2002,14.7,605,741,81.6,11736,4233,207,239,86.6,311,363,85.7,76,111,68.5,0,0.3,0.5,-0.3,4,49,4,2,56,ITA-Serie A,2024,passing
ITA,DF,22-198,2002,2.1,52,72,72.2,869,397,25,31,80.6,25,31,80.6,2,8,25.0,0,0.0,0.0,0.0,0,4,0,0,3,ITA-Serie A,2024,passing
ITA,DF,26-039,1999,10.0,248,375,66.1,4116,1751,121,147,82.3,99,144,68.8,22,51,43.1,0,1.0,1.3,-1.0,14,18,13,6,38,ITA-Serie A,2024,passing
GHA,MF,32-032,1993,10.4,401,492,81.5,6751,1873,190,215,88.4,167,186,89.8,32,62,51.6,0,1.1,1.0,-1.1,11,36,19,4,52,ITA-Serie A,2024,passing
ITA,DF,24-349,2000,11.2,299,403,74.2,4708,1990,158,183,86.3,120,162,74.1,15,35,42.9,1,0.8,0.5,0.2,9,26,6,6,27,ITA-Serie A,2024,passing
ITA,"FW,DF",21-024,2004,1.0,17,26,65.4,200,48,12,17,70.6,4,7,57.1,0,0,,0,0.1,0.2,-0.1,1,0,0,0,2,ITA-Serie A,2024,passing
