nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
GER,MF,22,2001,0.6,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,100.0,GER-Bundesliga,2023,misc
ALG,DF,28,1995,11.5,4,1,1,15,29,0,21,16,21,0,0,1,84,18,13,58.1,GER-Bundesliga,2023,misc
TUR,MF,25,1998,13.2,3,0,0,22,22,2,1,17,12,0,0,0,86,16,15,51.6,GER-Bundesliga,2023,misc
GER,FW,19,2004,0.5,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
CIV,FW,29,1994,4.4,2,0,0,8,10,3,0,0,0,0,1,0,10,19,21,47.5,GER-Bundesliga,2023,misc
BEL,DF,31,1991,6.5,0,0,0,10,0,0,17,4,1,0,0,0,43,7,6,53.8,GER-Bundesliga,2023,misc
BEL,DF,30,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,GER-Bundesliga,2023,misc
GER,FW,18,2004,6.9,1,0,0,8,2,7,4,2,1,0,0,0,21,6,10,37.5,GER-Bundesliga,2023,misc
GER,"MF,DF",21,2002,23.4,7,1,1,32,24,2,46,20,26,0,3,0,92,23,43,34.8,GER-Bundesliga,2023,misc
POR,"DF,MF",26,1997,19.4,5,0,0,23,23,1,46,15,25,0,0,0,94,29,20,59.2,GER-Bundesliga,2023,misc
GER,DF,28,1994,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
NED,"MF,FW",26,1997,4.0,1,0,0,7,1,5,7,3,3,0,0,0,15,4,5,44.4,GER-Bundesliga,2023,misc
GER,"DF,MF",17,2005,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
TUN,MF,28,1995,24.1,1,0,0,14,18,3,4,39,24,0,0,0,160,31,25,55.4,GER-Bundesliga,2023,misc
ALG,"MF,FW",20,2002,21.2,2,0,0,14,11,9,176,5,17,0,0,0,66,10,56,15.2,GER-Bundesliga,2023,misc
CRO,DF,22,2000,3.9,0,0,0,3,2,0,0,6,3,0,0,0,20,14,12,53.8,GER-Bundesliga,2023,misc
FRA,FW,21,2002,8.0,3,0,0,12,12,6,9,2,7,0,0,0,21,14,27,34.1,GER-Bundesliga,2023,misc
SWE,MF,19,2004,21.0,1,0,0,16,2,1,8,29,18,0,0,0,116,9,19,32.1,GER-Bundesliga,2023,misc
