nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
GHA,FW,25-094,2000,29.4,659,905,72.8,9379,2406,406,479,84.8,203,271,74.9,28,73,38.4,4,5.2,3.9,-1.2,40,43,39,7,93,ENG-Premier League,2024,passing
ENG,"FW,MF",20-219,2004,0.3,5,7,71.4,93,44,2,3,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
BFA,FW,23-059,2002,18.7,300,504,59.5,4743,1412,173,240,72.1,102,163,62.6,20,57,35.1,4,4.8,2.9,-0.8,28,19,23,9,36,ENG-Premier League,2024,passing
ENG,FW,21-241,2003,0.8,25,30,83.3,228,36,17,19,89.5,1,1,100.0,0,1,0.0,0,0.2,0.1,-0.2,3,1,1,0,3,ENG-Premier League,2024,passing
WAL,"FW,MF",27-277,1997,8.8,228,311,73.3,3546,1098,128,152,84.2,78,103,75.7,16,33,48.5,0,1.7,1.6,-1.7,15,15,14,5,26,ENG-Premier League,2024,passing
ESP,DF,19-362,2005,20.8,1006,1203,83.6,20544,8245,318,357,89.1,537,592,90.7,141,225,62.7,1,1.9,1.5,-0.9,13,125,7,2,92,ENG-Premier League,2024,passing
TUR,"FW,MF",27-336,1997,3.8,63,99,63.6,685,192,40,52,76.9,17,28,60.7,0,1,0.0,1,0.4,0.3,0.6,4,4,4,0,12,ENG-Premier League,2024,passing
BRA,FW,25-187,1999,19.1,173,249,69.5,2106,423,114,155,73.5,36,51,70.6,8,10,80.0,0,1.5,1.5,-1.5,21,12,2,0,17,ENG-Premier League,2024,passing
UKR,DF,22-222,2002,28.1,1104,1365,80.9,23567,8867,292,325,89.8,647,714,90.6,157,299,52.5,0,0.5,0.5,-0.5,10,111,6,0,104,ENG-Premier League,2024,passing
ENG,DF,23-091,2002,5.0,159,245,64.9,3098,1094,51,67,76.1,85,110,77.3,21,58,36.2,1,0.3,0.3,0.7,3,20,6,0,16,ENG-Premier League,2024,passing
MEX,DF,23-241,2001,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,ENG-Premier League,2024,passing
NED,"MF,FW",25-341,1999,21.5,451,622,72.5,7052,2015,247,300,82.3,152,202,75.2,38,72,52.8,6,4.7,3.2,1.3,43,37,26,4,88,ENG-Premier League,2024,passing
ESP,GK,30-190,1994,24.0,567,793,71.5,15640,10793,90,92,97.8,291,297,98.0,185,397,46.6,0,0.0,0.0,0.0,1,8,0,0,0,ENG-Premier League,2024,passing
ENG,"MF,DF",28-067,1997,28.6,1071,1400,76.5,18616,6477,474,558,84.9,475,563,84.4,101,220,45.9,3,4.1,3.6,-1.1,46,144,25,10,147,ENG-Premier League,2024,passing
COL,"FW,MF",25-298,1999,2.6,73,93,78.5,1067,200,44,48,91.7,22,32,68.8,5,5,100.0,1,1.4,1.3,-0.4,9,6,2,2,6,ENG-Premier League,2024,passing
ARG,DF,27-336,1997,10.7,474,619,76.6,9852,5119,172,196,87.8,219,255,85.9,79,156,50.6,0,0.2,0.5,-0.2,3,73,12,3,50,ENG-Premier League,2024,passing
ENG,"FW,MF",26-020,1999,16.7,498,690,72.2,8483,2610,241,278,86.7,205,264,77.7,43,99,43.4,5,2.8,2.5,2.2,36,60,28,9,95,ENG-Premier League,2024,passing
IRL,GK,25-328,1999,5.0,100,142,70.4,3469,2692,6,6,100.0,51,53,96.2,43,83,51.8,0,0.0,0.0,0.0,0,3,0,0,0,ENG-Premier League,2024,passing
ENG,DF,25-097,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,ENG-Premier League,2024,passing
HUN,DF,21-155,2003,30.2,1060,1398,75.8,16755,5592,573,640,89.5,397,501,79.2,66,178,37.1,5,3.2,2.0,1.8,27,76,32,20,130,ENG-Premier League,2024,passing
BRA,GK,35-266,1989,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0,ENG-Premier League,2024,passing
DEN,MF,28-304,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,ENG-Premier League,2024,passing
ENG,FW,19-036,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
SCO,MF,30-048,1995,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,ENG-Premier League,2024,passing
