nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
URU,"MF,DF",27,1995,26.0,2,22,5,22.7,0.85,0.19,0.05,0.2,18.1,0,1,1,3.7,2.9,0.13,-1.7,-1.9,ITA-Serie A,2023,shooting
ITA,"MF,FW",33,1989,13.4,5,37,11,29.7,2.76,0.82,0.14,0.45,22.3,6,0,1,3.4,2.6,0.07,1.6,2.4,ITA-Serie A,2023,shooting
GRE,DF,26,1997,9.5,0,4,1,25.0,0.42,0.11,0.0,0.0,14.0,0,0,0,0.4,0.4,0.1,-0.4,-0.4,ITA-Serie A,2023,shooting
BRA,"DF,MF",29,1994,10.6,0,21,2,9.5,1.99,0.19,0.0,0.0,20.0,0,0,0,1.2,1.2,0.06,-1.2,-1.2,ITA-Serie A,2023,shooting
ITA,GK,37,1986,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,GK,27,1996,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,DF,28,1994,26.9,1,10,3,30.0,0.37,0.11,0.1,0.33,24.1,1,0,0,0.5,0.5,0.05,0.5,0.5,ITA-Serie A,2023,shooting
COL,DF,28,1994,13.5,2,2,1,50.0,0.15,0.07,0.5,1.0,17.2,0,1,1,1.3,0.5,0.25,0.7,0.5,ITA-Serie A,2023,shooting
ANG,"FW,MF",21,2002,21.6,4,51,16,31.4,2.36,0.74,0.08,0.25,17.3,0,0,0,4.0,4.0,0.08,0.0,0.0,ITA-Serie A,2023,shooting
ITA,FW,27,1996,6.1,1,10,3,30.0,1.65,0.5,0.1,0.33,10.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,MF,28,1995,20.1,0,23,5,21.7,1.15,0.25,0.0,0.0,20.0,1,0,0,1.1,1.1,0.05,-1.1,-1.1,ITA-Serie A,2023,shooting
ITA,MF,18,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ALB,DF,26,1996,22.7,0,5,0,0.0,0.22,0.0,0.0,,10.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,ITA-Serie A,2023,shooting
POL,DF,31,1992,19.6,0,3,1,33.3,0.15,0.05,0.0,0.0,27.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ITA-Serie A,2023,shooting
ITA,"FW,MF",21,2001,2.9,0,9,2,22.2,3.08,0.68,0.0,0.0,26.4,2,0,0,0.3,0.3,0.03,-0.3,-0.3,ITA-Serie A,2023,shooting
ITA,GK,21,2001,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
SWE,FW,21,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
GHA,"DF,FW",29,1994,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,10.5,0,0,0,3.5,3.5,0.22,-2.5,-2.5,ITA-Serie A,2023,shooting
ALB,GK,34,1989,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
