league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2024,Brentford,Bryan Mbeumo,CMR,FW,25-247,1999,30.9,2,0,0,20,35,11,157,13,20,0,0,0,126,29,64,31.2,misc
ENG-Premier League,2024,Brentford,Christian Nørgaard,DEN,MF,31-032,1994,24.3,4,1,0,35,25,1,13,38,44,0,0,0,164,33,26,55.9,misc
ENG-Premier League,2024,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",23-338,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,misc
ENG-Premier League,2024,Brentford,Ethan Pinnock,JAM,DF,31-317,1993,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4,misc
ENG-Premier League,2024,Brentford,Fabio Carvalho,POR,"FW,MF",22-224,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,misc
ENG-Premier League,2024,Brentford,Frank Onyeka,NGA,MF,27-100,1998,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,,misc
ENG-Premier League,2024,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23-180,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
ENG-Premier League,2024,Brentford,Jayden Meghoma,ENG,DF,18-287,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
ENG-Premier League,2024,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-048,2001,28.3,5,0,0,13,25,4,65,17,25,1,0,0,125,25,32,43.9,misc
ENG-Premier League,2024,Brentford,Kevin Schade,GER,FW,23-135,2001,19.5,2,0,0,18,30,12,35,4,21,0,0,0,66,71,57,55.5,misc
ENG-Premier League,2024,Brentford,Kim Jisoo,KOR,DF,20-108,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2024,Brentford,Kristoffer Ajer,NOR,DF,26-359,1998,14.4,4,0,0,10,6,1,14,11,15,0,0,0,37,27,20,57.4,misc
ENG-Premier League,2024,Brentford,Mads Roerslev,DEN,DF,25-291,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,misc
ENG-Premier League,2024,Brentford,Mark Flekken,NED,GK,31-302,1993,29.4,1,0,0,0,3,0,0,0,3,0,0,0,35,4,0,100.0,misc
ENG-Premier League,2024,Brentford,Mathias Jensen,DEN,MF,29-100,1996,8.3,1,0,0,7,10,0,30,6,8,0,0,0,42,8,5,61.5,misc
ENG-Premier League,2024,Brentford,Michael Kayode,ITA,DF,20-275,2004,0.5,0,0,0,1,0,0,5,1,2,0,0,0,2,1,0,100.0,misc
ENG-Premier League,2024,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-282,2000,25.9,2,0,0,14,22,6,112,22,40,0,0,0,142,12,23,34.3,misc
ENG-Premier League,2024,Brentford,Nathan Collins,IRL,DF,23-346,2001,31.0,4,0,0,24,24,6,7,29,20,2,0,0,141,98,54,64.5,misc
ENG-Premier League,2024,Brentford,Rico Henry,ENG,DF,27-277,1997,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0,misc
ENG-Premier League,2024,Brentford,Ryan Trevitt,ENG,MF,22-030,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,misc
ENG-Premier League,2024,Brentford,Sepp van den Berg,NED,DF,23-112,2001,21.7,2,0,0,18,5,1,7,18,18,1,0,0,75,71,62,53.4,misc
ENG-Premier League,2024,Brentford,Thiago,BRA,FW,23-289,2001,1.5,0,0,0,3,3,1,1,2,2,0,0,0,9,4,3,57.1,misc
ENG-Premier League,2024,Brentford,Vitaly Janelt,GER,MF,26-336,1998,24.2,3,0,0,24,15,1,28,27,20,0,0,2,103,19,11,63.3,misc
