league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
FRA-Ligue 1,2023,Lorient,Eli Junior Kroupi,FRA,"FW,MF",17,2006,12.0,7,4,2,2,3,1,9,11.1,8,6,0,6,10,17,5,0,defense
FRA-Ligue 1,2023,Lorient,Formose Mendy,SEN,DF,22,2001,14.0,33,19,24,8,1,20,33,60.6,13,23,12,11,20,53,59,1,defense
FRA-Ligue 1,2023,Lorient,Gedeon Kalulu,COD,DF,25,1997,10.8,23,17,13,8,2,12,22,54.5,10,18,2,16,5,28,30,0,defense
FRA-Ligue 1,2023,Lorient,Gino Caoki,FRA,MF,19,2004,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lorient,Ibrahima Koné,MLI,FW,24,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lorient,Igor Carioca,BRA,"DF,MF",26,1996,2.9,8,6,6,1,1,4,6,66.7,2,0,0,0,3,11,6,0,defense
FRA-Ligue 1,2023,Lorient,Imran Louza,MAR,MF,24,1999,9.6,13,7,2,8,3,2,8,25.0,6,8,1,7,9,22,4,0,defense
FRA-Ligue 1,2023,Lorient,Jean-Victor Makengo,FRA,"MF,FW",25,1998,5.3,5,4,3,2,0,2,6,33.3,4,12,1,11,8,13,5,0,defense
FRA-Ligue 1,2023,Lorient,Joel Mvuka,NOR,"DF,FW",20,2002,2.2,5,3,3,1,1,3,7,42.9,4,1,0,1,2,7,1,0,defense
FRA-Ligue 1,2023,Lorient,Julien Laporte,FRA,DF,29,1993,20.2,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,defense
FRA-Ligue 1,2023,Lorient,Julien Ponceau,FRA,MF,22,2000,24.9,32,15,12,14,6,9,30,30.0,21,22,1,21,19,51,20,0,defense
