nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
GRE,DF,22,2001,11.6,4,0,0,19,11,2,45,8,20,0,1,0,58,11,15,42.3,FRA-Ligue 1,2023,misc
FRA,"MF,FW",25,1998,16.1,1,0,0,5,47,1,38,7,6,0,0,0,85,3,8,27.3,FRA-Ligue 1,2023,misc
GAB,FW,21,2002,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,FRA-Ligue 1,2023,misc
MLI,FW,21,2002,4.7,2,0,0,10,6,2,1,1,6,0,0,0,8,17,24,41.5,FRA-Ligue 1,2023,misc
FRA,DF,20,2003,22.8,6,0,0,36,15,0,5,36,12,0,1,0,87,43,16,72.9,FRA-Ligue 1,2023,misc
FRA,"DF,MF",20,2002,16.8,2,0,0,7,10,0,33,12,22,0,0,0,61,7,11,38.9,FRA-Ligue 1,2023,misc
FRA,MF,28,1994,14.6,5,0,0,25,23,2,1,26,17,0,0,0,94,24,17,58.5,FRA-Ligue 1,2023,misc
BEN,"MF,FW",25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5,FRA-Ligue 1,2023,misc
FRA,"DF,MF",33,1989,6.0,1,0,0,3,5,2,18,3,0,0,0,0,35,2,2,50.0,FRA-Ligue 1,2023,misc
SUI,GK,29,1994,34.0,1,0,0,0,3,0,0,0,0,0,0,0,28,5,1,83.3,FRA-Ligue 1,2023,misc
BRA,"DF,FW",25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,FRA-Ligue 1,2023,misc
ENG,"DF,MF",25,1997,15.9,1,1,0,5,11,1,21,17,18,0,0,0,93,18,21,46.2,FRA-Ligue 1,2023,misc
FRA,FW,32,1991,25.5,3,1,0,50,36,13,10,8,12,1,0,0,60,27,40,40.3,FRA-Ligue 1,2023,misc
SWE,"FW,MF",22,2001,1.1,0,0,0,2,2,0,1,0,0,0,0,0,2,2,3,40.0,FRA-Ligue 1,2023,misc
