league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ESP-La Liga,2024,Atlético Madrid,Javi Galán,ESP,DF,30-143,1994,13.7,0,5,0,0.0,0.36,0.0,0.0,,21.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting
ESP-La Liga,2024,Atlético Madrid,José María Giménez,URU,DF,30-081,1995,18.2,0,4,1,25.0,0.22,0.05,0.0,0.0,9.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting
ESP-La Liga,2024,Atlético Madrid,Juan Musso,ARG,GK,30-340,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Julián Álvarez,ARG,"FW,MF",25-070,2000,21.5,12,56,26,46.4,2.61,1.21,0.18,0.38,18.1,3,2,2,9.8,8.2,0.15,2.2,1.8,shooting
ESP-La Liga,2024,Atlético Madrid,Koke,ESP,MF,33-093,1992,16.3,1,9,4,44.4,0.55,0.25,0.11,0.25,20.5,0,0,0,1.0,1.0,0.12,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30-071,1995,19.9,2,14,5,35.7,0.7,0.25,0.14,0.4,19.2,0,0,0,0.7,0.7,0.05,1.3,1.3,shooting
ESP-La Liga,2024,Atlético Madrid,Nahuel Molina,ARG,DF,27-005,1998,15.3,0,8,1,12.5,0.52,0.07,0.0,0.0,20.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,shooting
ESP-La Liga,2024,Atlético Madrid,Pablo Barrios,ESP,MF,21-300,2003,20.8,1,25,6,24.0,1.2,0.29,0.04,0.17,24.3,0,0,0,1.0,1.0,0.04,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Reinildo Mandava,MOZ,DF,31-080,1994,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
ESP-La Liga,2024,Atlético Madrid,Robin Le Normand,ESP,DF,28-151,1996,17.6,0,8,1,12.5,0.46,0.06,0.0,0.0,8.3,0,0,0,1.1,1.1,0.13,-1.1,-1.1,shooting
ESP-La Liga,2024,Atlético Madrid,Rodrigo De Paul,ARG,MF,30-322,1994,18.0,3,14,4,28.6,0.78,0.22,0.21,0.75,23.7,0,0,0,1.2,1.2,0.08,1.8,1.8,shooting
ESP-La Liga,2024,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",25-009,2000,5.0,0,13,4,30.8,2.59,0.8,0.0,0.0,17.6,1,0,0,0.9,0.9,0.07,-0.9,-0.9,shooting
ESP-La Liga,2024,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25-109,1999,13.9,3,35,12,34.3,2.52,0.86,0.09,0.25,15.4,0,0,0,5.5,5.5,0.16,-2.5,-2.5,shooting
ESP-La Liga,2024,Atlético Madrid,Thomas Lemar,FRA,MF,29-150,1995,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30-033,1995,7.7,3,30,12,40.0,3.89,1.56,0.1,0.25,13.6,0,0,0,4.2,4.2,0.14,-1.2,-1.2,shooting
ESP-La Liga,2024,Barcelona,Alejandro Balde,ESP,DF,21-175,2003,22.7,0,12,3,25.0,0.53,0.13,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting
ESP-La Liga,2024,Barcelona,Andreas Christensen,DEN,DF,29-001,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Barcelona,Ansu Fati,ESP,FW,22-162,2002,1.4,0,5,3,60.0,3.54,2.13,0.0,0.0,14.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6,shooting
ESP-La Liga,2024,Barcelona,Dani Olmo,ESP,"MF,FW",26-339,1998,10.1,7,31,11,35.5,3.08,1.09,0.19,0.55,18.1,0,1,1,4.2,3.4,0.11,2.8,2.6,shooting
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001,11.7,1,10,5,50.0,0.86,0.43,0.1,0.2,10.8,0,0,0,1.6,1.6,0.16,-0.6,-0.6,shooting
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003,8.8,3,23,7,30.4,2.62,0.8,0.13,0.43,18.2,0,0,0,3.5,3.5,0.15,-0.5,-0.5,shooting
ESP-La Liga,2024,Barcelona,Ferrán Torres,ESP,"FW,MF",25-041,2000,9.6,9,36,19,52.8,3.77,1.99,0.25,0.47,14.4,2,0,0,6.5,6.5,0.18,2.5,2.5,shooting
ESP-La Liga,2024,Barcelona,Frenkie de Jong,NED,MF,27-334,1997,8.0,2,4,3,75.0,0.5,0.37,0.5,0.67,18.4,0,0,0,0.6,0.6,0.16,1.4,1.4,shooting
ESP-La Liga,2024,Barcelona,Gavi,ESP,"MF,FW",20-249,2004,7.7,1,4,1,25.0,0.52,0.13,0.25,1.0,13.7,0,0,0,0.6,0.6,0.14,0.4,0.4,shooting
ESP-La Liga,2024,Barcelona,Gerard Martín,ESP,DF,23-100,2002,7.1,1,3,1,33.3,0.42,0.14,0.33,1.0,13.4,0,0,0,0.2,0.2,0.07,0.8,0.8,shooting
ESP-La Liga,2024,Barcelona,Héctor Fort,ESP,DF,18-252,2006,4.2,0,3,0,0.0,0.72,0.0,0.0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2024,Barcelona,Iñaki Peña,ESP,GK,26-040,1999,14.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Barcelona,Iñigo Martínez,ESP,DF,33-329,1991,22.7,0,9,2,22.2,0.4,0.09,0.0,0.0,15.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ESP-La Liga,2024,Barcelona,Jules Koundé,FRA,DF,26-150,1998,26.9,2,17,6,35.3,0.63,0.22,0.12,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2,shooting
ESP-La Liga,2024,Barcelona,Lamine Yamal,ESP,FW,17-272,2007,24.8,6,101,29,28.7,4.07,1.17,0.06,0.21,19.0,0,0,0,7.4,7.4,0.07,-1.4,-1.4,shooting
ESP-La Liga,2024,Barcelona,Marc Bernal,ESP,MF,17-320,2007,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2024,Barcelona,Marc Casado,ESP,MF,21-209,2003,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,shooting
ESP-La Liga,2024,Barcelona,Marc-André ter Stegen,GER,GK,32-346,1992,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Barcelona,Pablo Torre,ESP,"MF,FW",22-008,2003,3.4,3,6,4,66.7,1.74,1.16,0.5,0.75,23.5,1,0,0,0.4,0.4,0.06,2.6,2.6,shooting
ESP-La Liga,2024,Barcelona,Pau Cubarsí,ESP,DF,18-079,2007,24.9,0,7,0,0.0,0.28,0.0,0.0,,8.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7,shooting
ESP-La Liga,2024,Barcelona,Pau Victor Delgado,ESP,FW,23-136,2001,2.5,2,10,5,50.0,4.05,2.03,0.2,0.4,15.7,0,0,0,2.6,2.6,0.26,-0.6,-0.6,shooting
ESP-La Liga,2024,Barcelona,Pedri,ESP,MF,22-137,2002,25.1,4,22,11,50.0,0.88,0.44,0.18,0.36,19.2,0,0,0,2.1,2.1,0.09,1.9,1.9,shooting
ESP-La Liga,2024,Barcelona,Raphinha,BRA,"FW,MF",28-118,1996,25.0,13,86,33,38.4,3.44,1.32,0.14,0.36,19.3,14,1,1,14.5,13.7,0.16,-1.5,-1.7,shooting
ESP-La Liga,2024,Barcelona,Robert Lewandowski,POL,FW,36-233,1988,25.5,25,98,42,42.9,3.84,1.64,0.22,0.52,13.4,4,3,4,24.0,20.8,0.21,1.0,1.2,shooting
ESP-La Liga,2024,Barcelona,Ronald Araújo,URU,DF,26-035,1999,4.6,1,3,2,66.7,0.65,0.43,0.33,0.5,14.0,0,0,0,0.5,0.5,0.16,0.5,0.5,shooting
ESP-La Liga,2024,Barcelona,Sergi Dominguez,ESP,DF,20-010,2005,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Barcelona,Wojciech Szczęsny,POL,GK,34-358,1990,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Abde Ezzalzouli,MAR,"FW,MF",23-115,2001,17.9,1,50,18,36.0,2.79,1.0,0.02,0.06,15.8,1,0,1,7.2,6.4,0.13,-6.2,-5.4,shooting
ESP-La Liga,2024,Betis,Adrián,ESP,GK,38-098,1987,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Aitor Ruibal,ESP,"DF,FW",29-020,1996,9.1,0,9,2,22.2,0.99,0.22,0.0,0.0,17.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,shooting
ESP-La Liga,2024,Betis,Antony,BRA,FW,25-046,2000,8.4,2,20,6,30.0,2.38,0.72,0.1,0.33,19.0,0,0,0,1.0,1.0,0.05,1.0,1.0,shooting
ESP-La Liga,2024,Betis,Assane Diao,SEN,FW,19-216,2005,3.1,1,7,1,14.3,2.27,0.32,0.14,1.0,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2,shooting
ESP-La Liga,2024,Betis,Carlos Guirao,ESP,MF,21-349,2003,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Cucho,COL,FW,25-356,1999,6.1,2,17,3,17.6,2.78,0.49,0.12,0.67,18.5,0,0,0,2.0,2.0,0.12,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Cédric Bakambu,COD,FW,34-000,1991,6.4,2,20,9,45.0,3.11,1.4,0.1,0.22,13.1,0,0,0,2.9,2.9,0.15,-0.9,-0.9,shooting
ESP-La Liga,2024,Betis,Diego Llorente,ESP,DF,31-238,1993,27.5,2,10,3,30.0,0.36,0.11,0.2,0.67,11.5,0,0,0,1.4,1.4,0.14,0.6,0.6,shooting
ESP-La Liga,2024,Betis,Ezequiel Ávila,ARG,FW,31-064,1994,7.5,2,20,10,50.0,2.66,1.33,0.1,0.2,17.9,0,0,0,1.5,1.5,0.08,0.5,0.5,shooting
ESP-La Liga,2024,Betis,Fran Vieites,ESP,GK,25-339,1999,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Giovani Lo Celso,ARG,"MF,FW",29-002,1996,12.4,7,24,11,45.8,1.94,0.89,0.21,0.45,22.6,3,2,3,4.1,1.8,0.07,2.9,3.2,shooting
ESP-La Liga,2024,Betis,Héctor Bellerín,ESP,DF,30-023,1995,5.8,0,1,1,100.0,0.17,0.17,0.0,0.0,14.6,0,0,0,0.2,0.2,0.2,-0.2,-0.2,shooting
