nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ESP,MF,28-136,1996,10.1,632,27,154,374,108,19,632,5,4,80.0,1,20.0,385,2069,1037,11,14,0,9,7,427,13,ESP-La Liga,2024,possession
ESP,MF,21-004,2004,1.7,84,4,27,47,11,1,84,0,0,,0,,47,189,55,0,0,0,3,3,50,2,ESP-La Liga,2024,possession
FRA,MF,31-267,1993,2.0,107,0,3,52,53,6,107,5,0,0.0,4,80.0,72,479,259,9,4,2,4,6,85,18,ESP-La Liga,2024,possession
BRA,DF,24-064,2001,16.7,1075,134,574,472,37,18,1075,1,0,0.0,0,0.0,656,3446,1979,12,4,0,10,6,717,6,ESP-La Liga,2024,possession
ESP,"MF,FW",29-048,1996,14.9,902,10,112,476,319,28,902,20,6,30.0,14,70.0,511,2131,1014,22,24,5,17,11,622,68,ESP-La Liga,2024,possession
ESP,FW,18-239,2006,0.3,13,0,3,5,6,2,13,2,1,50.0,1,50.0,8,72,33,1,0,1,2,0,8,5,ESP-La Liga,2024,possession
SUI,DF,32-229,1992,10.7,676,30,193,338,149,4,676,5,3,60.0,2,40.0,332,1482,823,13,16,0,3,2,380,28,ESP-La Liga,2024,possession
ESP,FW,24-330,2000,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401,183,4,3,3,5,2,63,11,ESP-La Liga,2024,possession
FRA,DF,27-201,1997,17.7,1140,52,349,462,336,20,1140,29,10,34.5,13,44.8,584,3014,1537,42,21,9,26,13,649,87,ESP-La Liga,2024,possession
POR,GK,31-063,1994,15.0,553,412,552,1,0,0,553,0,0,,0,,334,1482,710,0,0,0,1,0,277,0,ESP-La Liga,2024,possession
