league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
ESP-La Liga,2024,Athletic Club,Maroan Sannadi,ESP,FW,24-069,2001,8,3,324,3.6,1,0,1,1,0,0,0,0,2.1,2.1,0.2,2.3,6,12,29,0.28,0.0,0.28,0.28,0.28,0.58,0.06,0.64,0.58,0.64,standard
ESP-La Liga,2024,Athletic Club,Mikel Jauregizar,ESP,MF,21-150,2003,27,20,1754,19.5,2,1,3,2,0,0,4,1,0.8,0.8,1.3,2.1,13,97,24,0.1,0.05,0.15,0.1,0.15,0.04,0.07,0.11,0.04,0.11,standard
ESP-La Liga,2024,Athletic Club,Mikel Vesga,ESP,MF,31-325,1993,20,8,774,8.6,0,0,0,0,0,1,1,0,1.2,0.4,0.6,1.1,8,55,19,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.21,0.05,0.12,standard
ESP-La Liga,2024,Athletic Club,Nico Williams,ESP,FW,22-273,2002,26,21,1873,20.8,4,5,9,4,0,0,1,0,3.8,3.8,3.5,7.3,111,66,245,0.19,0.24,0.43,0.19,0.43,0.18,0.17,0.35,0.18,0.35,standard
ESP-La Liga,2024,Athletic Club,Nicolás Serrano,ESP,FW,22-037,2003,4,1,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,4,18,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.15,0.13,0.15,standard
ESP-La Liga,2024,Athletic Club,Oihan Sancet,ESP,MF,24-351,2000,22,17,1375,15.3,13,1,14,11,2,2,2,0,8.4,6.8,1.4,8.2,42,81,104,0.85,0.07,0.92,0.72,0.79,0.55,0.09,0.64,0.44,0.53,standard
ESP-La Liga,2024,Athletic Club,Peio Canales,ESP,"MF,FW",20-084,2005,6,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,standard
ESP-La Liga,2024,Athletic Club,Unai Gómez,ESP,"MF,FW",21-321,2003,25,9,907,10.1,1,2,3,1,0,0,1,0,1.2,1.2,0.8,2.0,12,20,35,0.1,0.2,0.3,0.1,0.3,0.12,0.08,0.2,0.12,0.2,standard
ESP-La Liga,2024,Athletic Club,Unai Núñez,ESP,DF,28-071,1997,7,5,493,5.5,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,2,23,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,standard
ESP-La Liga,2024,Athletic Club,Unai Simón,ESP,GK,27-304,1997,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Athletic Club,Yeray Álvarez,ESP,DF,30-077,1995,18,17,1511,16.8,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,18,101,0,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,standard
ESP-La Liga,2024,Athletic Club,Yuri Berchiche,ESP,DF,35-060,1990,25,17,1594,17.7,0,2,2,0,0,0,3,0,0.5,0.5,2.1,2.6,39,123,58,0.0,0.11,0.11,0.0,0.11,0.03,0.12,0.15,0.03,0.15,standard
ESP-La Liga,2024,Athletic Club,Álex Berenguer,ESP,"FW,MF",29-281,1995,29,21,1783,19.8,5,7,12,5,0,1,4,0,6.0,5.2,4.5,9.6,49,63,157,0.25,0.35,0.61,0.25,0.61,0.3,0.23,0.53,0.26,0.49,standard
ESP-La Liga,2024,Athletic Club,Álvaro djaló,ESP,FW,25-238,1999,13,4,457,5.1,1,0,1,1,0,0,0,0,0.8,0.8,0.7,1.5,16,7,42,0.2,0.0,0.2,0.2,0.2,0.15,0.15,0.29,0.15,0.29,standard
ESP-La Liga,2024,Athletic Club,Óscar de Marcos,ESP,DF,35-362,1989,22,14,1291,14.3,0,4,4,0,0,0,0,0,0.8,0.8,1.9,2.7,21,84,65,0.0,0.28,0.28,0.0,0.28,0.06,0.13,0.19,0.06,0.19,standard
ESP-La Liga,2024,Atlético Madrid,Adrian Niño,ESP,FW,20-296,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44,1.44,1.44,standard
ESP-La Liga,2024,Atlético Madrid,Alexander Sørloth,NOR,FW,29-127,1995,27,10,1131,12.6,11,2,13,10,1,1,4,0,9.6,8.8,1.5,10.3,22,23,57,0.88,0.16,1.03,0.8,0.95,0.76,0.12,0.88,0.7,0.82,standard
ESP-La Liga,2024,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34-021,1991,30,26,2164,24.0,8,5,13,7,1,2,2,0,6.2,4.7,5.5,10.1,41,123,147,0.33,0.21,0.54,0.29,0.5,0.26,0.23,0.49,0.19,0.42,standard
ESP-La Liga,2024,Atlético Madrid,Axel Witsel,BEL,DF,36-089,1989,12,8,761,8.5,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.6,2,18,1,0.0,0.12,0.12,0.0,0.12,0.0,0.06,0.07,0.0,0.07,standard
ESP-La Liga,2024,Atlético Madrid,Clément Lenglet,FRA,DF,29-298,1995,18,18,1553,17.3,1,1,2,1,0,0,8,0,1.5,1.5,1.1,2.6,12,66,1,0.06,0.06,0.12,0.06,0.12,0.09,0.06,0.15,0.09,0.15,standard
ESP-La Liga,2024,Atlético Madrid,Conor Gallagher,ENG,MF,25-064,2000,24,15,1277,14.2,2,2,4,2,0,0,2,0,2.0,2.0,1.1,3.1,19,48,45,0.14,0.14,0.28,0.14,0.28,0.14,0.08,0.22,0.14,0.22,standard
ESP-La Liga,2024,Atlético Madrid,César Azpilicueta,ESP,DF,35-226,1989,10,9,704,7.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,10,52,12,0.13,0.0,0.13,0.13,0.13,0.03,0.01,0.04,0.03,0.04,standard
ESP-La Liga,2024,Atlético Madrid,Giuliano Simeone,ARG,"MF,DF",22-114,2002,25,19,1418,15.8,1,5,6,1,0,0,4,0,1.9,1.9,3.6,5.5,51,34,137,0.06,0.32,0.38,0.06,0.38,0.12,0.23,0.35,0.12,0.35,standard
ESP-La Liga,2024,Atlético Madrid,Jan Oblak,SVN,GK,32-094,1993,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Atlético Madrid,Javi Galán,ESP,DF,30-143,1994,18,14,1235,13.7,0,2,2,0,0,0,7,0,0.1,0.1,2.7,2.8,40,40,82,0.0,0.15,0.15,0.0,0.15,0.01,0.19,0.2,0.01,0.2,standard
ESP-La Liga,2024,Atlético Madrid,José María Giménez,URU,DF,30-081,1995,23,16,1639,18.2,0,1,1,0,0,0,5,0,0.3,0.3,0.2,0.5,1,48,1,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,standard
ESP-La Liga,2024,Atlético Madrid,Juan Musso,ARG,GK,30-340,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Atlético Madrid,Julián Álvarez,ARG,"FW,MF",25-070,2000,30,23,1934,21.5,12,2,14,10,2,2,4,0,9.8,8.2,3.0,11.2,63,65,129,0.56,0.09,0.65,0.47,0.56,0.46,0.14,0.6,0.38,0.52,standard
ESP-La Liga,2024,Atlético Madrid,Koke,ESP,MF,33-093,1992,24,14,1464,16.3,1,1,2,1,0,0,4,0,1.0,1.0,1.1,2.1,14,94,12,0.06,0.06,0.12,0.06,0.12,0.06,0.07,0.13,0.06,0.13,standard
ESP-La Liga,2024,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30-071,1995,25,20,1793,19.9,2,4,6,2,0,0,0,1,0.7,0.7,3.7,4.4,58,71,104,0.1,0.2,0.3,0.1,0.3,0.03,0.18,0.22,0.03,0.22,standard
ESP-La Liga,2024,Atlético Madrid,Nahuel Molina,ARG,DF,27-005,1998,23,16,1374,15.3,0,3,3,0,0,0,0,0,0.6,0.6,1.3,1.9,31,53,82,0.0,0.2,0.2,0.0,0.2,0.04,0.09,0.12,0.04,0.12,standard
ESP-La Liga,2024,Atlético Madrid,Pablo Barrios,ESP,MF,21-300,2003,24,22,1871,20.8,1,2,3,1,0,0,4,1,1.0,1.0,1.4,2.4,21,110,52,0.05,0.1,0.14,0.05,0.14,0.05,0.07,0.11,0.05,0.11,standard
ESP-La Liga,2024,Atlético Madrid,Reinildo Mandava,MOZ,DF,31-080,1994,19,10,941,10.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,34,15,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard
ESP-La Liga,2024,Atlético Madrid,Robin Le Normand,ESP,DF,28-151,1996,20,18,1580,17.6,0,0,0,0,0,0,8,0,1.1,1.1,0.5,1.6,8,43,5,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,standard
ESP-La Liga,2024,Atlético Madrid,Rodrigo De Paul,ARG,MF,30-322,1994,27,17,1619,18.0,3,3,6,3,0,0,6,0,1.2,1.2,3.9,5.1,58,177,56,0.17,0.17,0.33,0.17,0.33,0.07,0.22,0.28,0.07,0.28,standard
ESP-La Liga,2024,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",25-009,2000,14,4,452,5.0,0,1,1,0,0,0,0,0,0.9,0.9,0.7,1.6,38,21,54,0.0,0.2,0.2,0.0,0.2,0.17,0.14,0.31,0.17,0.31,standard
ESP-La Liga,2024,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25-109,1999,25,18,1251,13.9,3,2,5,3,0,0,3,0,5.5,5.5,2.2,7.7,53,60,140,0.22,0.14,0.36,0.22,0.36,0.4,0.16,0.56,0.4,0.56,standard
ESP-La Liga,2024,Atlético Madrid,Thomas Lemar,FRA,MF,29-150,1995,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,standard
ESP-La Liga,2024,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30-033,1995,25,3,694,7.7,3,1,4,3,0,0,3,1,4.2,4.2,1.2,5.4,21,21,66,0.39,0.13,0.52,0.39,0.52,0.55,0.15,0.7,0.55,0.7,standard
ESP-La Liga,2024,Barcelona,Alejandro Balde,ESP,DF,21-175,2003,27,24,2040,22.7,0,4,4,0,0,0,2,0,0.5,0.5,3.4,3.9,96,84,226,0.0,0.18,0.18,0.0,0.18,0.02,0.15,0.17,0.02,0.17,standard
ESP-La Liga,2024,Barcelona,Andreas Christensen,DEN,DF,29-001,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Barcelona,Ansu Fati,ESP,FW,22-162,2002,4,1,127,1.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,4,3,16,0.0,0.0,0.0,0.0,0.0,0.42,0.04,0.46,0.42,0.46,standard
ESP-La Liga,2024,Barcelona,Dani Olmo,ESP,"MF,FW",26-339,1998,18,10,905,10.1,7,2,9,6,1,1,0,0,4.2,3.4,2.6,6.0,26,62,67,0.7,0.2,0.9,0.6,0.8,0.41,0.26,0.67,0.34,0.59,standard
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001,21,8,1051,11.7,1,1,2,1,0,0,3,0,1.6,1.6,0.4,2.1,12,75,7,0.09,0.09,0.17,0.09,0.17,0.14,0.04,0.18,0.14,0.18,standard
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003,20,7,789,8.8,3,4,7,3,0,0,3,1,3.5,3.5,2.2,5.6,21,47,65,0.34,0.46,0.8,0.34,0.8,0.4,0.25,0.64,0.4,0.64,standard
ESP-La Liga,2024,Barcelona,Ferrán Torres,ESP,"FW,MF",25-041,2000,23,9,860,9.6,9,3,12,9,0,0,1,1,6.5,6.5,1.8,8.3,17,28,83,0.94,0.31,1.26,0.94,1.26,0.68,0.19,0.87,0.68,0.87,standard
ESP-La Liga,2024,Barcelona,Frenkie de Jong,NED,MF,27-334,1997,18,6,723,8.0,2,2,4,2,0,0,2,0,0.6,0.6,1.8,2.4,21,67,14,0.25,0.25,0.5,0.25,0.5,0.08,0.23,0.3,0.08,0.3,standard
ESP-La Liga,2024,Barcelona,Gavi,ESP,"MF,FW",20-249,2004,18,10,690,7.7,1,1,2,1,0,0,4,0,0.6,0.6,1.2,1.8,5,40,32,0.13,0.13,0.26,0.13,0.26,0.07,0.16,0.23,0.07,0.23,standard
ESP-La Liga,2024,Barcelona,Gerard Martín,ESP,DF,23-100,2002,20,6,641,7.1,1,2,3,1,0,0,2,0,0.2,0.2,0.7,0.9,7,26,54,0.14,0.28,0.42,0.14,0.42,0.03,0.09,0.12,0.03,0.12,standard
