league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
FRA-Ligue 1,2024,Monaco,Jordan Teze,NED,DF,25-193,1999.0,4.2,276,8,59,135,87,13,276,9,4,44.4,4,44.4,127,594,338,6,9,2,6,3,153,34,possession
FRA-Ligue 1,2024,Monaco,Kassoum Ouattara,FRA,"DF,FW",20-179,2004.0,4.3,274,4,56,131,88,9,274,15,5,33.3,9,60.0,137,734,399,15,3,4,12,7,151,35,possession
FRA-Ligue 1,2024,Monaco,Krépin Diatta,SEN,DF,26-045,1999.0,4.4,303,12,64,147,96,7,303,6,5,83.3,1,16.7,163,930,493,12,10,0,8,2,171,34,possession
FRA-Ligue 1,2024,Monaco,Lamine Camara,SEN,MF,21-100,2004.0,18.6,1420,28,214,870,349,15,1420,23,12,52.2,6,26.1,782,3667,1546,22,23,3,36,18,935,39,possession
FRA-Ligue 1,2024,Monaco,Lucas Michal,FRA,"FW,MF",19-294,2005.0,1.1,57,2,7,22,30,6,57,4,1,25.0,2,50.0,35,221,114,3,5,1,1,1,39,11,possession
FRA-Ligue 1,2024,Monaco,Maghnes Akliouche,FRA,"FW,MF",23-045,2002.0,21.7,1308,21,128,538,661,132,1307,81,38,46.9,41,50.6,845,5362,2940,103,85,38,68,39,957,188,possession
FRA-Ligue 1,2024,Monaco,Mamadou Coulibaly,FRA,MF,20-355,2004.0,0.1,9,0,1,5,3,0,9,2,1,50.0,0,0.0,4,24,10,0,0,0,1,0,6,1,possession
FRA-Ligue 1,2024,Monaco,Mika Biereth,DEN,FW,22-062,2003.0,9.9,292,3,11,98,183,76,290,9,1,11.1,8,88.9,163,639,263,10,7,4,30,13,220,87,possession
FRA-Ligue 1,2024,Monaco,Mohammed Salisu,GHA,DF,25-359,1999.0,11.3,904,106,371,510,25,14,904,1,0,0.0,1,100.0,545,2800,1519,8,2,0,6,1,596,3,possession
FRA-Ligue 1,2024,Monaco,Philipp Köhn,SUI,GK,27-009,1998.0,13.0,400,336,399,1,0,0,400,0,0,,0,,246,1255,666,0,0,0,0,0,185,0,possession
FRA-Ligue 1,2024,Monaco,Radosław Majecki,POL,GK,25-146,1999.0,15.0,434,363,425,9,0,0,434,0,0,,0,,233,1219,725,0,0,0,0,0,181,0,possession
FRA-Ligue 1,2024,Monaco,Saïmon Bouabré,FRA,"MF,FW",18-314,2006.0,0.8,26,2,4,15,7,1,26,2,0,0.0,1,50.0,22,136,62,3,2,1,2,1,23,3,possession
FRA-Ligue 1,2024,Monaco,Soungoutou Magassa,FRA,MF,21-185,2003.0,9.8,663,28,146,436,89,6,663,18,11,61.1,5,27.8,341,1474,651,6,9,1,11,10,422,10,possession
FRA-Ligue 1,2024,Monaco,Takumi Minamino,JPN,"MF,FW",30-085,1995.0,19.9,822,18,79,364,386,110,822,31,10,32.3,19,61.3,467,2444,1185,38,22,21,47,17,567,152,possession
FRA-Ligue 1,2024,Monaco,Thilo Kehrer,GER,DF,28-202,1996.0,23.5,1865,169,780,1038,53,15,1865,3,1,33.3,1,33.3,1085,5366,3166,13,7,0,6,2,1279,2,possession
FRA-Ligue 1,2024,Monaco,Vanderson,BRA,DF,23-294,2001.0,19.1,1417,57,332,709,387,54,1417,39,21,53.8,14,35.9,739,3582,1869,48,28,11,31,13,815,121,possession
FRA-Ligue 1,2024,Monaco,Wilfried Singo,CIV,DF,24-107,2000.0,17.3,1303,102,482,731,108,24,1303,10,6,60.0,4,40.0,749,4270,2540,29,18,4,11,5,837,27,possession
