league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ESP-La Liga,2022,Betis,Felix Garreta,ESP,DF,18,2004,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0,defense
ESP-La Liga,2022,Betis,Fran Delgado,ESP,DF,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2022,Betis,Germán Pezzella,ARG,DF,31,1991,27.9,41,28,32,9,0,26,38,68.4,12,32,15,17,50,91,129,1,defense
ESP-La Liga,2022,Betis,Guido Rodríguez,ARG,MF,28,1994,31.9,115,75,59,50,6,54,101,53.5,47,58,14,44,42,157,76,1,defense
ESP-La Liga,2022,Betis,Joaquín,ESP,"MF,FW",41,1981,5.5,3,3,2,1,0,1,3,33.3,2,7,2,5,4,7,5,0,defense
ESP-La Liga,2022,Betis,Juan Cruz,ESP,FW,22,2000,2.0,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,defense
ESP-La Liga,2022,Betis,Juan Miranda,ESP,DF,22,2000,16.4,23,16,16,6,1,14,29,48.3,15,20,7,13,20,43,63,0,defense
ESP-La Liga,2022,Betis,Juanmi,ESP,FW,29,1993,10.3,14,10,4,7,3,7,31,22.6,24,10,0,10,4,18,4,0,defense
ESP-La Liga,2022,Betis,Loren Morón,ESP,FW,28,1993,0.2,2,2,0,1,1,0,0,,0,0,0,0,0,2,1,0,defense
ESP-La Liga,2022,Betis,Luiz Felipe,ITA,DF,25,1997,19.6,34,23,23,11,0,18,34,52.9,16,43,24,19,28,62,106,0,defense
ESP-La Liga,2022,Betis,Luiz Henrique,BRA,FW,21,2001,20.1,48,34,27,15,6,20,44,45.5,24,22,0,22,14,62,17,0,defense
ESP-La Liga,2022,Betis,Martín Montoya,ESP,DF,31,1991,5.0,13,8,9,4,0,10,12,83.3,2,6,1,5,9,22,14,1,defense
ESP-La Liga,2022,Betis,Nabil Fekir,FRA,MF,29,1993,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,defense
