league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Cremonese,Ionuț Radu,ROU,GK,25,1997,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,3,defense
ITA-Serie A,2022,Cremonese,Jack Hendry,SCO,DF,27,1995,2.4,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,7,0,defense
ITA-Serie A,2022,Cremonese,Jaime Báez,URU,DF,27,1995,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1,defense
ITA-Serie A,2022,Cremonese,Johan Vásquez,MEX,DF,23,1998,20.1,41,26,34,7,0,18,39,46.2,21,27,20,7,45,86,93,1,defense
ITA-Serie A,2022,Cremonese,Leonardo Sernicola,ITA,DF,25,1997,25.7,45,33,25,13,7,29,43,67.4,14,23,6,17,38,83,55,0,defense
ITA-Serie A,2022,Cremonese,Luca Zanimacchia,ITA,"MF,FW",24,1998,8.3,21,13,11,6,4,8,21,38.1,13,9,0,9,9,30,5,0,defense
ITA-Serie A,2022,Cremonese,Luka Lochoshvili,GEO,DF,24,1998,20.4,45,19,30,11,4,22,31,71.0,9,31,10,21,22,67,89,0,defense
ITA-Serie A,2022,Cremonese,Marco Benassi,ITA,MF,27,1994,11.1,26,15,9,11,6,15,24,62.5,9,13,1,12,12,38,19,0,defense
ITA-Serie A,2022,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,defense
ITA-Serie A,2022,Cremonese,Matteo Bianchetti,ITA,DF,29,1993,23.7,32,19,21,9,2,20,32,62.5,12,31,17,14,20,52,111,0,defense
ITA-Serie A,2022,Cremonese,Michele Castagnetti,ITA,MF,32,1989,15.7,46,21,20,24,2,18,54,33.3,36,14,4,10,15,61,22,0,defense
ITA-Serie A,2022,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ITA-Serie A,2022,Cremonese,Pablo Galdames Millán,CHI,MF,25,1996,8.2,14,10,8,3,3,5,33,15.2,28,13,2,11,10,24,13,0,defense
ITA-Serie A,2022,Cremonese,Paolo Ghiglione,ITA,DF,25,1997,7.9,16,11,10,3,3,10,23,43.5,13,9,4,5,4,20,12,0,defense
ITA-Serie A,2022,Cremonese,Samuel Di Carmine,ITA,"FW,MF",33,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Cremonese,Santiago Ascacíbar,ARG,MF,25,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0,defense
