league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2024,Bayern Munich,Mathys Tel,FRA,"FW,MF",19-349,2005.0,2.8,0,10,3,30.0,3.52,1.05,0.0,0.0,18.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,shooting
GER-Bundesliga,2024,Bayern Munich,Michael Olise,FRA,"FW,MF",23-120,2001.0,20.1,8,64,27,42.2,3.18,1.34,0.13,0.3,17.1,5,0,0,7.1,7.1,0.11,0.9,0.9,shooting
GER-Bundesliga,2024,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",31-110,1993.0,14.5,3,16,7,43.8,1.11,0.48,0.19,0.43,16.0,0,0,0,2.2,2.2,0.14,0.8,0.8,shooting
GER-Bundesliga,2024,Bayern Munich,Sacha Boey,FRA,DF,24-210,2000.0,4.7,0,2,1,50.0,0.43,0.21,0.0,0.0,15.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bayern Munich,Serge Gnabry,GER,"FW,MF",29-271,1995.0,9.7,5,37,14,37.8,3.83,1.45,0.14,0.36,14.8,0,0,1,6.3,5.5,0.15,-1.3,-0.5,shooting
GER-Bundesliga,2024,Bayern Munich,Sven Ulreich,GER,GK,36-251,1988.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Thomas Müller,GER,"MF,FW",35-210,1989.0,10.1,1,20,9,45.0,1.98,0.89,0.05,0.11,15.0,0,0,0,3.0,3.0,0.15,-2.0,-2.0,shooting
GER-Bundesliga,2024,Bochum,Aliou Badara Baldé,GUI,"MF,FW",22-120,2002.0,1.0,0,4,1,25.0,3.96,0.99,0.0,0.0,26.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
GER-Bundesliga,2024,Bochum,Anthony Losilla,FRA,MF,39-032,1986.0,12.0,0,3,0,0.0,0.25,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2024,Bochum,Bernardo,BRA,DF,29-332,1995.0,13.8,0,6,2,33.3,0.43,0.14,0.0,0.0,8.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,shooting
