league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
GER-Bundesliga,2023,Bochum,Lukas Daschner,GER,"MF,FW",24,1998,6.0,2,0,0,4,9,0,20,2,4,0,0,0,24,5,12,29.4,misc
GER-Bundesliga,2023,Bochum,Manuel Riemann,GER,GK,34,1988,33.0,5,0,0,2,4,0,4,1,1,0,2,0,81,14,3,82.4,misc
GER-Bundesliga,2023,Bochum,Matúš Bero,SVK,"MF,FW",27,1995,18.5,6,0,0,38,20,5,16,12,22,1,0,0,97,12,37,24.5,misc
GER-Bundesliga,2023,Bochum,Maximilian Wittek,GER,"DF,FW",27,1995,11.9,4,0,0,20,26,2,51,18,17,0,0,0,69,15,26,36.6,misc
GER-Bundesliga,2023,Bochum,Moritz Broschinski,GER,FW,22,2000,13.9,4,0,0,32,13,11,12,0,7,0,0,0,40,34,102,25.0,misc
GER-Bundesliga,2023,Bochum,Moritz-Broni Kwarteng,GHA,FW,25,1998,3.1,1,1,0,5,5,2,5,2,0,0,0,0,18,0,8,0.0,misc
GER-Bundesliga,2023,Bochum,Noah Loosli,SUI,DF,26,1997,3.8,1,0,0,4,0,0,2,7,7,0,0,0,27,5,7,41.7,misc
GER-Bundesliga,2023,Bochum,Patrick Osterhage,GER,MF,23,2000,20.7,5,0,0,21,24,3,20,27,26,0,0,0,142,26,30,46.4,misc
GER-Bundesliga,2023,Bochum,Philipp Förster,GER,"MF,FW",28,1995,4.3,1,0,0,6,9,0,28,7,5,0,0,0,27,2,7,22.2,misc
GER-Bundesliga,2023,Bochum,Philipp Hofmann,GER,FW,30,1993,17.5,1,0,0,20,26,4,3,4,5,0,0,0,44,111,94,54.1,misc
GER-Bundesliga,2023,Bochum,Simon Zoller,GER,"FW,MF",32,1991,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
GER-Bundesliga,2023,Bochum,Takuma Asano,JPN,"FW,MF",28,1994,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4,misc
