league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2024,Cagliari,Michel Ndary Adopo,FRA,MF,24-266,2000,20.3,4,1,1,24,12,0,7,20,27,0,0,0,100,24,18,57.1,misc
ITA-Serie A,2024,Cagliari,Nadir Zortea,ITA,"DF,FW",25-296,1999,24.0,2,0,0,25,18,1,98,14,11,0,1,0,70,16,22,42.1,misc
ITA-Serie A,2024,Cagliari,Nicolas Viola,ITA,"MF,FW",35-181,1989,12.1,2,0,0,18,28,7,68,2,7,0,0,0,47,21,21,50.0,misc
ITA-Serie A,2024,Cagliari,Paulo Azzi,BRA,DF,30-270,1994,4.7,2,0,0,5,3,0,22,5,9,0,0,0,24,6,5,54.5,misc
ITA-Serie A,2024,Cagliari,Roberto Piccoli,ITA,FW,24-074,2001,28.8,4,0,0,49,48,19,5,2,9,2,0,0,44,91,125,42.1,misc
ITA-Serie A,2024,Cagliari,Răzvan Marin,ROU,MF,28-323,1996,12.7,4,0,0,23,10,0,61,2,12,0,0,0,61,9,15,37.5,misc
ITA-Serie A,2024,Cagliari,Sebastiano Luperto,ITA,DF,28-217,1996,31.0,4,0,0,21,15,1,7,27,22,0,1,0,118,52,49,51.5,misc
ITA-Serie A,2024,Cagliari,Simone Scuffet,ITA,GK,28-315,1996,13.0,0,0,0,0,1,0,0,0,0,0,0,0,17,3,1,75.0,misc
ITA-Serie A,2024,Cagliari,Tommaso Augello,ITA,"DF,FW",30-224,1994,23.5,3,0,0,12,9,2,174,15,25,0,0,0,109,39,20,66.1,misc
ITA-Serie A,2024,Cagliari,Yerry Mina,COL,DF,30-200,1994,25.1,6,1,1,36,46,2,1,30,25,0,0,0,139,92,43,68.1,misc
ITA-Serie A,2024,Cagliari,Zito Luvumbo,ANG,"FW,MF",23-033,2002,13.3,2,0,0,37,36,7,49,2,4,0,0,0,34,6,11,35.3,misc
ITA-Serie A,2024,Como,Alberto Cerri,ITA,FW,28-360,1996,1.0,0,0,0,3,1,2,0,0,0,0,0,0,3,4,4,50.0,misc
ITA-Serie A,2024,Como,Alberto Dossena,ITA,DF,26-180,1998,20.3,1,1,0,22,16,0,1,22,20,0,2,0,68,59,24,71.1,misc
ITA-Serie A,2024,Como,Alberto Moreno,ESP,DF,32-280,1992,15.7,4,0,0,14,12,1,43,12,10,0,0,0,58,8,18,30.8,misc
ITA-Serie A,2024,Como,Alessandro Gabrielloni,ITA,"FW,MF",30-275,1994,1.2,1,0,0,3,3,1,1,0,0,0,0,0,9,1,8,11.1,misc
ITA-Serie A,2024,Como,Alessio Iovine,ITA,"DF,FW",34-069,1991,4.2,2,0,0,5,6,0,15,3,2,0,0,0,16,2,7,22.2,misc
ITA-Serie A,2024,Como,Ali Jasim,IRQ,"FW,DF",21-081,2004,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,100.0,misc
ITA-Serie A,2024,Como,Alieu Fadera,GAM,"FW,DF",23-159,2001,17.7,2,1,0,38,47,14,39,10,45,0,0,0,92,11,14,44.0,misc
ITA-Serie A,2024,Como,Anastasios Douvikas,GRE,FW,25-252,1999,2.2,1,0,0,5,6,0,0,1,0,0,0,0,8,4,8,33.3,misc
ITA-Serie A,2024,Como,Andrea Belotti,ITA,FW,31-112,1993,6.6,1,0,0,9,19,5,5,1,5,0,0,0,17,18,26,40.9,misc
ITA-Serie A,2024,Como,Assane Diao,SEN,"FW,MF",19-216,2005,12.0,2,0,0,17,42,5,11,3,13,0,0,0,36,15,27,35.7,misc
ITA-Serie A,2024,Como,Ben Lhassine Kone,CIV,MF,25-028,2000,0.6,1,0,0,1,1,0,0,1,2,0,0,0,7,0,1,0.0,misc
ITA-Serie A,2024,Como,Daniele Baselli,ITA,MF,33-030,1992,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2024,Como,Dele Alli,ENG,MF,29-000,1996,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2024,Como,Edoardo Goldaniga,ITA,DF,31-160,1993,22.1,10,1,1,35,21,2,6,23,16,0,0,0,60,35,26,57.4,misc
ITA-Serie A,2024,Como,Emil Audero,IDN,GK,28-083,1997,8.0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,1,66.7,misc
ITA-Serie A,2024,Como,Federico Barba,ITA,DF,31-222,1993,4.8,0,0,0,3,1,0,3,4,2,0,0,0,19,5,8,38.5,misc
