league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Napoli,Walid Cheddira,MAR,FW,27-079,1998,0.1,3,0,0,1,2,0,3,0,0,,0,,1,3,0,0,0,0,0,0,2,1,possession
ITA-Serie A,2024,Parma,Adrian Benedyczak,POL,"FW,MF",24-138,2000,2.2,74,7,16,33,25,4,74,1,0,0.0,1,100.0,40,167,80,3,2,0,5,3,55,11,possession
ITA-Serie A,2024,Parma,Adrian Bernabe,ESP,MF,23-320,2001,14.2,1003,37,229,571,218,5,1003,30,14,46.7,11,36.7,658,3317,2072,32,35,2,10,10,720,16,possession
ITA-Serie A,2024,Parma,Alessandro Circati,AUS,DF,21-183,2003,4.0,219,57,135,83,1,0,219,0,0,,0,,98,406,210,1,0,0,3,2,125,0,possession
ITA-Serie A,2024,Parma,Alessandro Vogliacco,ITA,DF,26-209,1998,7.5,490,53,251,232,11,3,490,1,1,100.0,0,0.0,328,1403,757,1,1,0,4,0,353,0,possession
ITA-Serie A,2024,Parma,Ange-Yoan Bonny,FRA,FW,21-168,2003,21.9,721,9,47,319,370,97,718,54,28,51.9,22,40.7,439,2245,903,33,29,14,68,61,530,142,possession
ITA-Serie A,2024,Parma,Antoine Hainaut,FRA,"DF,MF",23-052,2002,9.1,492,31,137,227,134,8,492,19,10,52.6,7,36.8,245,1302,691,20,11,2,15,6,273,27,possession
ITA-Serie A,2024,Parma,Botond Balogh,HUN,DF,22-309,2002,20.1,1125,237,683,425,21,7,1125,0,0,,0,,593,2629,1364,7,3,0,9,1,678,1,possession
ITA-Serie A,2024,Parma,Dennis Man,ROU,"FW,MF",26-228,1998,21.6,999,8,95,415,504,81,999,74,25,33.8,44,59.5,643,4304,1856,66,38,30,43,28,718,138,possession
ITA-Serie A,2024,Parma,Drissa Camara,CIV,"MF,FW",23-052,2002,4.4,228,1,25,108,106,23,228,26,16,61.5,10,38.5,161,1151,627,17,10,9,12,2,157,31,possession
ITA-Serie A,2024,Parma,Emanuele Valeri,ITA,DF,26-125,1998,25.5,1274,91,386,485,415,24,1273,44,10,22.7,30,68.2,632,3350,1931,65,39,5,32,4,635,83,possession
ITA-Serie A,2024,Parma,Enrico Del Prato,ITA,DF,25-152,1999,25.7,1531,195,699,659,179,26,1531,3,2,66.7,0,0.0,866,3426,1735,8,9,3,9,2,922,23,possession
ITA-Serie A,2024,Parma,Gabriel Charpentier,CGO,FW,25-329,1999,3.0,111,7,22,35,58,12,111,6,2,33.3,3,50.0,55,337,138,6,4,2,16,4,64,16,possession
