nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
GER,DF,18,2004,0.5,66,11,38,28,0,0,66,0,0,,0,,49,201,80,0,0,0,0,1,56,0,GER-Bundesliga,2023,possession
NED,DF,21,2002,14.0,1216,40,320,645,268,23,1216,23,13,56.5,10,43.5,738,4424,2362,41,23,8,23,9,849,49,GER-Bundesliga,2023,possession
ENG,"FW,MF",23,2000,10.5,622,11,72,215,344,56,622,70,36,51.4,30,42.9,445,3182,1821,61,37,29,21,9,484,114,GER-Bundesliga,2023,possession
ENG,"FW,MF",18,2004,11.8,574,10,68,213,308,67,574,99,42,42.4,42,42.4,399,3408,1669,64,50,40,35,31,434,105,GER-Bundesliga,2023,possession
GER,"MF,FW",27,1996,24.7,1547,28,196,682,679,57,1547,67,27,40.3,38,56.7,883,5427,2220,74,58,17,44,42,1109,158,GER-Bundesliga,2023,possession
NOR,DF,25,1997,19.6,1346,60,430,588,343,32,1346,40,16,40.0,18,45.0,813,4244,2096,41,41,6,29,26,867,118,GER-Bundesliga,2023,possession
BEL,"FW,MF",17,2006,0.1,14,0,1,6,7,1,14,5,3,60.0,2,40.0,12,57,26,2,1,1,3,4,13,1,GER-Bundesliga,2023,possession
GER,"FW,MF",21,2002,10.1,458,10,69,170,227,63,458,60,18,30.0,32,53.3,310,2413,1171,52,22,27,29,25,318,96,GER-Bundesliga,2023,possession
GER,"MF,FW",17,2006,1.2,63,9,26,32,8,0,63,4,2,50.0,1,25.0,45,290,167,3,2,0,1,0,45,1,GER-Bundesliga,2023,possession
AUT,MF,29,1994,21.8,1305,69,271,694,346,56,1304,30,11,36.7,15,50.0,711,3258,1767,39,21,7,23,14,883,69,GER-Bundesliga,2023,possession
GER,"MF,FW",34,1989,17.8,906,31,149,404,363,77,906,21,8,38.1,10,47.6,496,2576,1275,31,33,7,42,15,632,89,GER-Bundesliga,2023,possession
GER,DF,28,1995,13.0,1013,25,282,469,266,22,1013,23,11,47.8,11,47.8,535,2426,1513,36,34,3,19,5,673,79,GER-Bundesliga,2023,possession
ESP,DF,23,2000,1.2,100,5,46,41,13,2,100,1,1,100.0,0,0.0,67,315,172,3,2,0,2,1,68,4,GER-Bundesliga,2023,possession
GER,DF,34,1988,17.6,1649,167,698,888,76,20,1649,7,2,28.6,4,57.1,1095,5594,3224,11,13,1,7,6,1183,1,GER-Bundesliga,2023,possession
GER,FW,30,1993,24.6,782,31,71,353,360,105,779,20,5,25.0,10,50.0,409,1511,560,17,16,11,50,23,620,119,GER-Bundesliga,2023,possession
GER,DF,23,1999,31.8,3024,330,1351,1543,155,39,3024,17,8,47.1,7,41.2,1883,9985,6376,55,42,2,19,3,2160,11,GER-Bundesliga,2023,possession
GER,DF,27,1995,16.8,1656,179,749,851,63,11,1656,4,3,75.0,1,25.0,1062,5019,2689,19,13,0,3,6,1266,9,GER-Bundesliga,2023,possession
GER,MF,22,2001,0.6,31,1,3,13,15,2,31,2,1,50.0,1,50.0,19,127,32,0,1,1,3,1,20,4,GER-Bundesliga,2023,possession
ALG,DF,28,1995,11.5,1000,58,288,522,202,19,1000,17,16,94.1,0,0.0,575,2507,1200,17,22,1,19,3,653,63,GER-Bundesliga,2023,possession
TUR,MF,25,1998,13.2,933,34,212,613,111,3,933,11,6,54.5,4,36.4,486,2247,1091,16,15,0,13,7,617,24,GER-Bundesliga,2023,possession
GER,FW,19,2004,0.5,30,1,4,5,22,8,30,1,1,100.0,0,0.0,15,146,103,5,3,1,5,0,22,7,GER-Bundesliga,2023,possession
CIV,FW,29,1994,4.4,161,9,18,78,68,24,161,5,4,80.0,1,20.0,77,353,175,11,4,2,10,4,116,34,GER-Bundesliga,2023,possession
BEL,DF,31,1991,6.5,560,30,214,246,106,11,560,8,2,25.0,5,62.5,305,1788,925,21,13,2,6,4,356,25,GER-Bundesliga,2023,possession
BEL,DF,30,1993,0.1,9,0,1,6,2,0,9,0,0,,0,,4,9,3,0,0,0,0,0,5,1,GER-Bundesliga,2023,possession
GER,FW,18,2004,6.9,199,5,20,86,99,24,199,24,11,45.8,10,41.7,126,685,291,16,8,10,21,10,131,27,GER-Bundesliga,2023,possession
GER,"MF,DF",21,2002,23.4,1039,20,180,453,424,101,1039,64,25,39.1,33,51.6,540,3559,1891,77,34,38,44,26,611,164,GER-Bundesliga,2023,possession
POR,"DF,MF",26,1997,19.4,1300,54,334,620,355,47,1300,32,11,34.4,19,59.4,644,3001,1452,51,29,17,22,20,772,104,GER-Bundesliga,2023,possession
GER,DF,28,1994,0.1,13,2,4,8,1,0,13,0,0,,0,,5,22,18,0,1,0,1,1,6,0,GER-Bundesliga,2023,possession
NED,"MF,FW",26,1997,4.0,173,2,30,94,50,12,173,6,3,50.0,3,50.0,95,445,112,2,2,0,6,3,113,12,GER-Bundesliga,2023,possession
GER,"DF,MF",17,2005,0.3,26,2,7,18,1,0,26,2,0,0.0,2,100.0,13,52,21,0,0,0,2,1,15,2,GER-Bundesliga,2023,possession
TUN,MF,28,1995,24.1,1556,87,452,906,206,30,1556,17,12,70.6,5,29.4,773,3297,1338,10,18,1,28,25,1002,28,GER-Bundesliga,2023,possession
ALG,"MF,FW",20,2002,21.2,1127,20,112,481,549,71,1127,20,7,35.0,13,65.0,536,2859,1441,53,39,12,42,16,710,143,GER-Bundesliga,2023,possession
CRO,DF,22,2000,3.9,369,56,212,152,6,2,369,2,2,100.0,0,0.0,213,1062,557,0,1,0,1,2,259,0,GER-Bundesliga,2023,possession
FRA,FW,21,2002,8.0,311,2,20,137,159,56,311,39,18,46.2,19,48.7,190,1040,500,16,9,9,26,13,225,60,GER-Bundesliga,2023,possession
SWE,MF,19,2004,21.0,1175,52,339,641,206,16,1175,19,7,36.8,11,57.9,654,2937,1185,26,19,4,25,7,770,42,GER-Bundesliga,2023,possession
