nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ESP,MF,21-209,2003,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8,ESP-La Liga,2024,misc
GER,GK,32-346,1992,5.5,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0,ESP-La Liga,2024,misc
ESP,"MF,FW",22-008,2003,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3,ESP-La Liga,2024,misc
ESP,DF,18-079,2007,24.9,3,0,0,16,8,0,2,12,17,0,1,0,85,57,34,62.6,ESP-La Liga,2024,misc
ESP,FW,23-136,2001,2.5,2,0,0,5,3,0,2,2,1,0,0,0,14,2,1,66.7,ESP-La Liga,2024,misc
ESP,MF,22-137,2002,25.1,2,0,0,9,39,2,50,23,26,0,0,0,186,5,5,50.0,ESP-La Liga,2024,misc
BRA,"FW,MF",28-118,1996,25.0,3,0,0,7,29,7,174,7,20,2,0,0,78,6,5,54.5,ESP-La Liga,2024,misc
POL,FW,36-233,1988,25.5,1,0,0,26,32,16,5,3,3,0,0,0,43,31,39,44.3,ESP-La Liga,2024,misc
URU,DF,26-035,1999,4.6,1,0,0,6,2,0,0,3,6,0,0,0,16,18,12,60.0,ESP-La Liga,2024,misc
ESP,DF,20-010,2005,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,ESP-La Liga,2024,misc
POL,GK,34-358,1990,10.0,0,0,0,0,1,0,0,0,1,0,0,0,29,0,0,,ESP-La Liga,2024,misc
MAR,"FW,MF",23-115,2001,17.9,2,0,0,18,32,3,42,5,22,1,0,0,84,19,31,38.0,ESP-La Liga,2024,misc
ESP,GK,38-098,1987,11.0,3,0,0,0,3,0,0,0,0,0,0,0,8,1,1,50.0,ESP-La Liga,2024,misc
ESP,"DF,FW",29-020,1996,9.1,3,0,0,6,14,2,18,9,13,0,0,0,46,4,12,25.0,ESP-La Liga,2024,misc
BRA,FW,25-046,2000,8.4,1,1,0,5,14,0,16,6,6,1,0,0,41,3,10,23.1,ESP-La Liga,2024,misc
SEN,FW,19-216,2005,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1,ESP-La Liga,2024,misc
ESP,MF,21-349,2003,1.2,0,0,0,4,0,0,0,3,3,0,0,0,6,2,1,66.7,ESP-La Liga,2024,misc
COL,FW,25-356,1999,6.1,0,0,0,6,6,3,5,5,4,1,0,0,16,14,22,38.9,ESP-La Liga,2024,misc
COD,FW,34-000,1991,6.4,4,0,0,20,6,10,2,0,3,1,0,0,18,11,25,30.6,ESP-La Liga,2024,misc
ESP,DF,31-238,1993,27.5,4,0,0,20,23,0,1,43,20,0,1,1,93,76,44,63.3,ESP-La Liga,2024,misc
ARG,FW,31-064,1994,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9,ESP-La Liga,2024,misc
ESP,GK,25-339,1999,4.0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,100.0,ESP-La Liga,2024,misc
ARG,"MF,FW",29-002,1996,12.4,4,0,0,13,50,0,79,5,19,0,0,0,58,4,9,30.8,ESP-La Liga,2024,misc
ESP,DF,30-023,1995,5.8,1,0,0,6,0,0,10,6,7,0,0,0,11,6,7,46.2,ESP-La Liga,2024,misc
ESP,"MF,FW",23-253,2001,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9,ESP-La Liga,2024,misc
ESP,MF,32-355,1992,11.7,5,0,0,17,32,3,59,7,8,0,0,0,56,10,14,41.7,ESP-La Liga,2024,misc
ESP,FW,19-141,2005,8.7,0,0,0,10,32,2,13,6,13,1,0,0,43,3,6,33.3,ESP-La Liga,2024,misc
USA,MF,23-203,2001,18.9,4,0,0,31,26,0,2,43,24,0,0,0,106,23,15,60.5,ESP-La Liga,2024,misc
ESP,"FW,MF",31-326,1993,2.7,2,0,0,6,7,1,1,1,4,0,0,0,14,6,1,85.7,ESP-La Liga,2024,misc
ESP,DF,34-086,1991,16.5,1,0,0,10,11,1,0,27,14,0,1,0,68,34,34,50.0,ESP-La Liga,2024,misc
ESP,MF,28-136,1996,10.1,4,0,0,16,5,0,10,14,14,0,0,0,51,5,13,27.8,ESP-La Liga,2024,misc
