nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
POL,GK,22,1997,35.0,0,1,0,1,6,0,0,1,0,0,1,0,43,6,1,85.7,ITA-Serie A,2020,misc
ESP,"MF,FW",35,1985,5.5,3,0,0,10,15,1,2,6,9,0,0,0,41,1,5,16.7,ITA-Serie A,2020,misc
CIV,FW,22,1997,11.1,4,0,0,25,32,5,6,5,4,0,0,0,31,38,56,40.4,ITA-Serie A,2020,misc
ITA,DF,27,1992,31.1,8,0,0,27,23,4,286,27,23,0,0,0,136,9,19,32.1,ITA-Serie A,2020,misc
ESP,"MF,FW",20,2000,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,ITA-Serie A,2020,misc
SRB,FW,20,2000,32.5,1,0,0,53,70,26,21,4,4,2,0,0,79,114,144,44.2,ITA-Serie A,2020,misc
CHI,MF,26,1994,22.2,8,0,0,23,22,0,80,41,18,0,1,0,140,28,12,70.0,ITA-Serie A,2020,misc
ITA,DF,28,1992,3.0,2,0,0,5,3,0,0,7,1,0,1,1,12,4,4,50.0,ITA-Serie A,2020,misc
ITA,DF,22,1997,2.7,0,0,0,2,3,2,11,1,2,0,0,0,10,1,1,50.0,ITA-Serie A,2020,misc
FRA,FW,37,1983,23.9,6,1,0,36,73,7,18,3,11,1,0,0,72,6,20,23.1,ITA-Serie A,2020,misc
ITA,MF,23,1997,25.9,8,1,0,41,63,1,36,34,19,0,1,0,136,13,39,25.0,ITA-Serie A,2020,misc
ARG,DF,29,1991,30.5,5,0,0,33,17,4,2,36,20,0,2,0,130,66,45,59.5,ITA-Serie A,2020,misc
ITA,MF,30,1989,25.1,5,0,0,39,41,7,38,39,19,1,0,0,139,29,31,48.3,ITA-Serie A,2020,misc
BRA,DF,22,1998,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5,ITA-Serie A,2020,misc
ESP,"FW,MF",33,1987,7.4,0,0,0,6,12,0,28,4,7,0,0,0,33,9,8,52.9,ITA-Serie A,2020,misc
MAR,DF,29,1991,2.3,0,0,0,4,1,0,10,3,3,0,0,0,7,2,1,66.7,ITA-Serie A,2020,misc
ITA,DF,25,1995,19.5,3,0,0,10,26,1,56,17,11,0,0,1,77,8,12,40.0,ITA-Serie A,2020,misc
ARG,DF,24,1996,16.5,4,1,0,23,10,0,5,39,20,0,1,0,107,28,22,56.0,ITA-Serie A,2020,misc
URU,DF,33,1987,24.9,4,0,0,19,18,0,45,14,12,0,1,0,126,25,24,51.0,ITA-Serie A,2020,misc
URU,DF,28,1992,1.0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,33.3,ITA-Serie A,2020,misc
SRB,DF,22,1997,33.7,7,1,0,56,16,0,6,44,29,0,1,0,148,101,30,77.1,ITA-Serie A,2020,misc
ITA,FW,22,1998,2.2,0,0,0,8,3,0,3,1,3,0,0,0,5,3,7,30.0,ITA-Serie A,2020,misc
ITA,GK,30,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,ITA-Serie A,2020,misc
ESP,"DF,FW",22,1997,5.5,3,0,0,4,3,1,22,6,8,0,0,0,30,3,4,42.9,ITA-Serie A,2020,misc
ITA,MF,28,1991,0.6,0,0,0,1,1,0,0,1,1,0,0,0,4,0,2,0.0,ITA-Serie A,2020,misc
MAR,MF,23,1996,27.1,7,0,0,59,44,0,16,23,22,0,0,0,188,18,26,40.9,ITA-Serie A,2020,misc
FRA,"MF,FW",28,1992,8.1,2,0,0,12,11,0,33,7,8,0,0,0,40,10,9,52.6,ITA-Serie A,2020,misc
ITA,GK,27,1992,2.3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0,ITA-Serie A,2020,misc
ITA,DF,34,1986,28.5,6,0,0,15,12,1,8,53,22,0,1,0,156,40,34,54.1,ITA-Serie A,2020,misc
COL,DF,33,1986,10.8,2,0,0,6,5,0,0,15,12,0,1,0,45,27,13,67.5,ITA-Serie A,2020,misc
ITA,DF,26,1994,10.2,2,0,0,16,7,0,13,21,9,0,0,0,61,9,14,39.1,ITA-Serie A,2020,misc
ITA,DF,28,1992,22.7,3,0,0,23,19,8,83,18,16,0,0,0,119,14,11,56.0,ITA-Serie A,2020,misc
ITA,DF,33,1986,19.2,6,0,0,23,26,0,27,44,22,0,1,0,110,20,26,43.5,ITA-Serie A,2020,misc
ITA,DF,26,1993,20.6,8,0,0,30,24,1,33,38,18,0,0,0,75,25,36,41.0,ITA-Serie A,2020,misc
UZB,FW,25,1995,18.6,1,0,0,39,21,11,15,6,14,0,0,0,59,46,79,36.8,ITA-Serie A,2020,misc
ITA,GK,37,1983,3.7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0.0,ITA-Serie A,2020,misc
ITA,"MF,DF",21,1999,4.3,1,0,0,3,5,0,14,5,6,0,0,0,14,2,2,50.0,ITA-Serie A,2020,misc
ITA,"DF,FW",23,1997,2.5,2,0,0,10,8,0,6,3,6,0,0,0,16,3,4,42.9,ITA-Serie A,2020,misc
ITA,FW,21,1999,15.0,1,0,0,32,17,10,10,9,10,0,0,1,54,41,39,51.3,ITA-Serie A,2020,misc
ITA,"DF,FW",21,1998,0.6,0,0,0,2,2,0,2,0,0,0,0,0,7,0,1,0.0,ITA-Serie A,2020,misc
MKD,"FW,MF",37,1983,15.6,5,0,0,12,36,7,10,2,5,0,0,0,78,16,27,37.2,ITA-Serie A,2020,misc
