nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ESP,DF,31,1989,24.0,11,7,7,4,0,4,13,30.8,9,17,13,4,44,55,85,0,ESP-La Liga,2021,defense
POR,MF,28,1992,13.6,19,12,7,11,1,5,21,23.8,16,11,3,8,11,30,14,1,ESP-La Liga,2021,defense
ESP,DF,27,1993,19.8,42,26,25,12,5,20,43,46.5,23,18,4,14,35,77,48,0,ESP-La Liga,2021,defense
ESP,DF,23,1997,17.1,34,20,15,16,3,10,33,30.3,23,15,4,11,13,47,37,0,ESP-La Liga,2021,defense
ESP,MF,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ARG,MF,28,1992,5.4,18,13,9,8,1,6,26,23.1,20,13,1,12,6,24,5,0,ESP-La Liga,2021,defense
ESP,"MF,FW",23,1997,29.7,59,31,23,27,9,16,65,24.6,49,27,2,25,32,91,34,0,ESP-La Liga,2021,defense
ESP,DF,19,2001,4.0,5,4,4,1,0,3,6,50.0,3,5,3,2,6,11,24,0,ESP-La Liga,2021,defense
ESP,MF,26,1994,31.7,64,32,22,30,12,21,94,22.3,73,30,2,28,22,86,15,2,ESP-La Liga,2021,defense
TUR,"FW,MF",23,1997,5.6,8,4,1,3,4,0,3,0.0,3,5,0,5,5,13,0,0,ESP-La Liga,2021,defense
ARG,FW,29,1991,3.3,4,3,1,2,1,0,2,0.0,2,5,0,5,2,6,2,0,ESP-La Liga,2021,defense
ESP,"MF,FW",21,1999,15.5,30,22,15,12,3,8,24,33.3,16,14,1,13,16,46,24,0,ESP-La Liga,2021,defense
ESP,"MF,DF",18,2002,1.3,3,0,3,0,0,1,4,25.0,3,3,0,3,3,6,0,0,ESP-La Liga,2021,defense
ESP,DF,29,1991,28.9,58,40,34,23,1,24,52,46.2,28,42,11,31,37,95,77,0,ESP-La Liga,2021,defense
ESP,MF,16,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ESP,FW,32,1987,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0,ESP-La Liga,2021,defense
ESP,GK,23,1997,19.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,18,0,ESP-La Liga,2021,defense
COL,DF,28,1992,30.0,45,21,35,9,1,24,44,54.5,20,29,17,12,36,81,100,2,ESP-La Liga,2021,defense
SCO,MF,20,1999,1.6,6,4,4,1,1,5,8,62.5,3,2,0,2,2,8,1,0,ESP-La Liga,2021,defense
GHA,DF,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,ESP-La Liga,2021,defense
ESP,DF,20,2000,7.2,12,9,8,4,0,5,11,45.5,6,4,3,1,13,25,27,0,ESP-La Liga,2021,defense
ESP,DF,27,1993,6.2,11,5,9,2,0,3,9,33.3,6,8,0,8,9,20,18,0,ESP-La Liga,2021,defense
URU,MF,19,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ESP-La Liga,2021,defense
URU,DF,26,1994,17.9,25,16,12,12,1,10,18,55.6,8,15,1,14,24,49,34,0,ESP-La Liga,2021,defense
ESP,"MF,FW",20,2000,6.0,7,6,5,2,0,5,13,38.5,8,3,0,3,3,10,2,0,ESP-La Liga,2021,defense
ESP,"FW,DF",17,2003,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,ESP-La Liga,2021,defense
ESP,"MF,FW",33,1986,28.9,70,36,30,30,10,32,92,34.8,60,46,2,44,22,92,19,0,ESP-La Liga,2021,defense
MEX,DF,28,1991,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2,ESP-La Liga,2021,defense
TUR,MF,26,1994,5.1,14,8,8,4,2,5,9,55.6,4,5,2,3,10,24,9,0,ESP-La Liga,2021,defense
PER,MF,25,1995,30.0,93,44,50,34,9,32,83,38.6,51,56,13,43,53,146,75,2,ESP-La Liga,2021,defense
ESP,GK,25,1995,18.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,3,ESP-La Liga,2021,defense
ESP,FW,24,1995,26.8,31,13,9,12,10,6,37,16.2,31,15,3,12,6,37,17,0,ESP-La Liga,2021,defense
ESP,DF,19,2000,2.9,3,0,2,1,0,1,1,100.0,0,2,0,2,1,4,7,0,ESP-La Liga,2021,defense
ESP,GK,41,1979,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2021,defense
ESP,MF,29,1990,17.2,28,17,12,10,6,9,35,25.7,26,26,1,25,21,49,9,0,ESP-La Liga,2021,defense
URU,DF,28,1992,28.9,92,48,63,28,1,43,85,50.6,42,30,5,25,41,133,74,0,ESP-La Liga,2021,defense
HON,FW,27,1993,16.9,12,4,1,5,6,2,13,15.4,11,3,1,2,3,15,8,0,ESP-La Liga,2021,defense
ARG,MF,34,1986,4.1,11,3,5,6,0,2,13,15.4,11,5,1,4,9,20,5,0,ESP-La Liga,2021,defense
NED,"FW,MF",21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,ESP-La Liga,2021,defense
ESP,DF,30,1989,25.2,21,12,15,6,0,11,21,52.4,10,18,8,10,35,56,91,0,ESP-La Liga,2021,defense
EQG,DF,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0,ESP-La Liga,2021,defense
ESP,GK,26,1994,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,ESP-La Liga,2021,defense
ESP,"DF,MF",26,1993,29.3,42,25,24,15,3,16,37,43.2,21,28,15,13,32,74,119,0,ESP-La Liga,2021,defense
SRB,"FW,MF",27,1992,9.6,12,7,4,5,3,6,18,33.3,12,10,0,10,4,16,2,0,ESP-La Liga,2021,defense
ESP,DF,27,1993,28.7,68,43,36,25,7,33,60,55.0,27,37,12,25,49,117,89,0,ESP-La Liga,2021,defense
SRB,FW,22,1997,4.3,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,4,0,ESP-La Liga,2021,defense
ESP,"MF,FW",25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0,ESP-La Liga,2021,defense
ESP,"MF,DF",26,1993,14.2,21,13,13,8,0,12,31,38.7,19,7,1,6,14,35,12,0,ESP-La Liga,2021,defense
DEN,MF,27,1993,29.1,55,29,25,25,5,22,52,42.3,30,39,7,32,51,106,45,0,ESP-La Liga,2021,defense
