league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ESP-La Liga,2024,Betis,Iker Losada,ESP,"MF,FW",23-253,2001,3.7,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0,defense
ESP-La Liga,2024,Betis,Isco,ESP,MF,32-355,1992,11.7,14,8,1,9,4,7,24,29.2,17,9,0,9,7,21,3,0,defense
ESP-La Liga,2024,Betis,Jesus Rodríguez,ESP,FW,19-141,2005,8.7,15,13,6,5,4,5,11,45.5,6,12,0,12,6,21,2,0,defense
ESP-La Liga,2024,Betis,Johnny Cardoso,USA,MF,23-203,2001,18.9,44,24,12,24,8,17,45,37.8,28,23,10,13,43,87,52,1,defense
ESP-La Liga,2024,Betis,Juanmi,ESP,"FW,MF",31-326,1993,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0,defense
ESP-La Liga,2024,Betis,Marc Bartra,ESP,DF,34-086,1991,16.5,22,14,16,6,0,10,17,58.8,7,26,17,9,27,49,118,0,defense
ESP-La Liga,2024,Betis,Marc Roca,ESP,MF,28-136,1996,10.1,20,14,10,9,1,9,17,52.9,8,17,5,12,14,34,14,2,defense
ESP-La Liga,2024,Betis,Mateo Flores,ESP,MF,21-004,2004,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0,defense
ESP-La Liga,2024,Betis,Nabil Fekir,FRA,MF,31-267,1993,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0,defense
ESP-La Liga,2024,Betis,Natan,BRA,DF,24-064,2001,16.7,27,18,19,6,2,19,21,90.5,2,18,10,8,18,45,84,1,defense
ESP-La Liga,2024,Betis,Pablo Fornals,ESP,"MF,FW",29-048,1996,14.9,16,10,9,6,1,6,21,28.6,15,19,1,18,17,33,12,1,defense
ESP-La Liga,2024,Betis,Pablo Garcia,ESP,FW,18-239,2006,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
ESP-La Liga,2024,Betis,Ricardo Rodríguez,SUI,DF,32-229,1992,10.7,24,12,13,4,7,16,24,66.7,8,8,1,7,6,30,36,0,defense
ESP-La Liga,2024,Betis,Rodri,ESP,FW,24-330,2000,1.3,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1,defense
ESP-La Liga,2024,Betis,Romain Perraud,FRA,DF,27-201,1997,17.7,29,19,12,13,4,18,41,43.9,23,14,3,11,19,48,59,1,defense
ESP-La Liga,2024,Betis,Rui Silva,POR,GK,31-063,1994,15.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0,defense
ESP-La Liga,2024,Betis,Sergi Altimira,ESP,MF,23-229,2001,18.3,53,32,14,33,6,31,52,59.6,21,26,1,25,17,70,34,1,defense
ESP-La Liga,2024,Betis,Sergio Arribas,ESP,DF,22-060,2003,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,defense
ESP-La Liga,2024,Betis,Vitor Roque,BRA,FW,20-042,2005,13.7,11,6,1,6,4,1,5,20.0,4,5,0,5,7,18,4,0,defense
ESP-La Liga,2024,Betis,William Carvalho,POR,MF,33-004,1992,3.2,4,3,1,3,0,3,5,60.0,2,4,1,3,3,7,4,0,defense
ESP-La Liga,2024,Betis,Youssouf Sabaly,SEN,DF,32-037,1993,15.8,34,24,18,13,3,21,28,75.0,7,16,2,14,13,47,38,0,defense
ESP-La Liga,2024,Betis,Ángel Ortíz,ESP,DF,20-260,2004,3.8,10,7,7,3,0,6,15,40.0,9,6,0,6,5,15,7,0,defense
ESP-La Liga,2024,Celta Vigo,Alfon,ESP,"FW,MF",25-342,1999,10.4,5,2,1,2,2,2,8,25.0,6,6,0,6,4,9,5,1,defense
ESP-La Liga,2024,Celta Vigo,Anastasios Douvikas,GRE,FW,25-252,1999,7.8,9,4,2,6,1,3,6,50.0,3,5,2,3,3,12,6,0,defense
ESP-La Liga,2024,Celta Vigo,Borja Iglesias,ESP,FW,32-084,1993,17.6,8,7,1,4,3,2,11,18.2,9,8,2,6,4,12,6,0,defense
