league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ITA-Serie A,2021,Crotone,Salvatore Molina,ITA,"MF,DF",28,1992,25.7,39,22,18,14,7,29,45,64.4,16,30,8,22,17,56,41,0,defense
ITA-Serie A,2021,Crotone,Samuel Di Carmine,ITA,FW,31,1988,5.3,2,2,1,0,1,1,3,33.3,2,2,0,2,0,2,5,0,defense
ITA-Serie A,2021,Crotone,Sebastiano Luperto,ITA,DF,23,1996,20.9,38,20,28,8,2,16,27,59.3,11,17,7,10,27,65,74,1,defense
ITA-Serie A,2021,Crotone,Simeon Nwankwo,NGA,FW,28,1992,32.7,9,2,2,6,1,3,22,13.6,19,21,5,16,6,15,51,0,defense
ITA-Serie A,2021,Crotone,Tomislav Gomelt,CRO,MF,25,1995,0.2,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,defense
ITA-Serie A,2021,Crotone,Vladimir Golemić,SVN,DF,29,1991,26.0,33,16,17,13,3,14,19,73.7,5,38,26,12,40,73,97,2,defense
ITA-Serie A,2021,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",29,1991,1.0,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,defense
ITA-Serie A,2021,Fiorentina,Alfred Duncan,GHA,MF,27,1993,1.8,3,0,1,1,1,0,2,0.0,2,2,0,2,2,5,0,0,defense
ITA-Serie A,2021,Fiorentina,Antonio Barreca,ITA,DF,25,1995,0.9,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,defense
ITA-Serie A,2021,Fiorentina,Bartłomiej Drągowski,POL,GK,22,1997,35.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,13,1,defense
