league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Bochum,Felix Passlack,GER,DF,25,1998,10.7,21,14,9,10,2,14,24,58.3,10,13,2,11,10,31,21,0,defense
GER-Bundesliga,2023,Bochum,Gonçalo Paciência,POR,"FW,MF",28,1994,7.2,8,4,2,2,4,3,6,50.0,3,5,0,5,0,8,7,0,defense
GER-Bundesliga,2023,Bochum,Ivan Ordets,UKR,DF,31,1992,20.9,19,14,11,6,2,10,17,58.8,7,41,29,12,31,50,130,0,defense
GER-Bundesliga,2023,Bochum,Keven Schlotterbeck,GER,DF,26,1997,24.3,42,22,26,14,2,25,30,83.3,5,33,23,10,33,75,104,2,defense
GER-Bundesliga,2023,Bochum,Kevin Stöger,AUT,MF,29,1993,29.6,49,30,21,21,7,25,63,39.7,38,46,4,42,19,68,18,0,defense
GER-Bundesliga,2023,Bochum,Lukas Daschner,GER,"MF,FW",24,1998,6.0,9,4,2,3,4,4,9,44.4,5,7,0,7,2,11,2,0,defense
GER-Bundesliga,2023,Bochum,Manuel Riemann,GER,GK,34,1988,33.0,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,25,1,defense
GER-Bundesliga,2023,Bochum,Matúš Bero,SVK,"MF,FW",27,1995,18.5,32,22,13,12,7,13,32,40.6,19,24,3,21,12,44,26,0,defense
GER-Bundesliga,2023,Bochum,Maximilian Wittek,GER,"DF,FW",27,1995,11.9,23,17,9,11,3,13,21,61.9,8,12,1,11,18,41,23,0,defense
GER-Bundesliga,2023,Bochum,Moritz Broschinski,GER,FW,22,2000,13.9,11,7,2,5,4,2,8,25.0,6,11,2,9,0,11,6,0,defense
GER-Bundesliga,2023,Bochum,Moritz-Broni Kwarteng,GHA,FW,25,1998,3.1,3,0,0,3,0,1,7,14.3,6,4,0,4,2,5,0,0,defense
