nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ITA,MF,28,1991,22.3,57,30,22,31,4,31,76,40.8,45,33,5,28,40,97,21,3,ENG-Premier League,2021,defense
GER,"MF,FW",21,1999,16.9,18,9,6,10,2,6,27,22.2,21,25,0,25,4,22,22,1,ENG-Premier League,2021,defense
ESP,GK,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3,ENG-Premier League,2021,defense
FRA,DF,25,1994,22.5,16,10,8,6,2,4,8,50.0,4,13,9,4,28,44,93,0,ENG-Premier League,2021,defense
ESP,DF,29,1990,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0,ENG-Premier League,2021,defense
ENG,MF,21,1999,32.1,75,35,22,38,15,25,69,36.2,44,40,2,38,31,106,14,0,ENG-Premier League,2021,defense
CRO,MF,26,1994,20.2,46,28,19,24,3,17,32,53.1,15,18,1,17,15,61,11,2,ENG-Premier League,2021,defense
FRA,MF,29,1991,23.8,79,42,39,35,5,27,56,48.2,29,42,4,38,59,138,34,0,ENG-Premier League,2021,defense
FRA,FW,33,1986,8.3,4,2,0,1,3,1,7,14.3,6,4,1,3,5,9,10,0,ENG-Premier League,2021,defense
ENG,DF,20,1999,26.4,55,35,24,22,9,21,44,47.7,23,36,7,29,17,72,52,0,ENG-Premier League,2021,defense
ENG,"FW,MF",26,1993,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,FW,24,1996,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,FW,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,ENG-Premier League,2021,defense
BRA,DF,35,1984,21.5,20,12,11,8,1,14,21,66.7,7,21,13,8,33,53,86,1,ENG-Premier League,2021,defense
GER,"FW,MF",24,1996,28.9,20,9,6,11,3,7,43,16.3,36,23,1,22,8,28,8,0,ENG-Premier League,2021,defense
ARG,GK,38,1981,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,"MF,FW",29,1991,25.1,78,41,45,20,13,30,79,38.0,49,48,2,46,41,119,19,0,ENG-Premier League,2021,defense
SEN,DF,30,1989,34.7,58,37,44,12,2,25,43,58.1,18,42,26,16,32,90,125,2,ENG-Premier League,2021,defense
BEL,FW,29,1990,20.2,15,7,1,7,7,2,9,22.2,7,17,6,11,4,19,39,0,ENG-Premier League,2021,defense
ENG,MF,22,1998,28.4,27,14,11,13,3,16,35,45.7,19,19,3,16,24,51,9,1,ENG-Premier League,2021,defense
ENG,DF,34,1985,20.0,13,9,10,3,0,7,11,63.6,4,27,22,5,13,26,88,0,ENG-Premier League,2021,defense
ENG,GK,27,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
SCO,MF,32,1987,16.3,57,32,25,27,5,15,39,38.5,24,28,3,25,23,80,31,0,ENG-Premier League,2021,defense
IRL,MF,29,1990,9.1,16,12,9,7,0,8,21,38.1,13,15,7,8,8,24,12,0,ENG-Premier League,2021,defense
ENG,DF,31,1989,6.1,4,2,4,0,0,3,4,75.0,1,4,3,1,4,8,45,0,ENG-Premier League,2021,defense
NED,MF,23,1996,20.2,34,15,13,17,4,16,36,44.4,20,39,7,32,29,63,25,0,ENG-Premier League,2021,defense
FRA,FW,23,1997,2.5,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,2,0,ENG-Premier League,2021,defense
GHA,MF,27,1992,15.9,29,16,14,12,3,6,23,26.1,17,24,8,16,22,51,16,0,ENG-Premier League,2021,defense
ENG,DF,30,1989,25.1,43,25,29,14,0,24,42,57.1,18,27,8,19,41,84,87,2,ENG-Premier League,2021,defense
GHA,"FW,MF",28,1991,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0,ENG-Premier League,2021,defense
SRB,MF,29,1991,26.2,65,34,25,31,9,42,77,54.5,35,29,6,23,35,100,47,2,ENG-Premier League,2021,defense
FRA,DF,30,1990,3.1,3,2,1,2,0,3,3,100.0,0,3,2,1,3,6,11,0,ENG-Premier League,2021,defense
ENG,DF,30,1990,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,ENG-Premier League,2021,defense
BEL,FW,26,1993,8.1,5,3,1,2,2,1,9,11.1,8,5,1,4,4,9,5,0,ENG-Premier League,2021,defense
ENG,DF,29,1991,12.7,17,10,8,8,1,9,16,56.3,7,7,2,5,18,35,25,1,ENG-Premier League,2021,defense
NED,DF,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,ENG-Premier League,2021,defense
ENG,DF,33,1987,15.0,6,4,5,1,0,4,11,36.4,7,16,14,2,18,24,59,1,ENG-Premier League,2021,defense
ENG,DF,20,1999,19.0,64,35,48,9,7,23,40,57.5,17,29,10,19,21,85,62,1,ENG-Premier League,2021,defense
ESP,GK,33,1987,37.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,11,1,ENG-Premier League,2021,defense
CIV,FW,27,1992,29.0,26,18,8,15,3,11,30,36.7,19,21,0,21,9,35,4,0,ENG-Premier League,2021,defense
MLI,MF,27,1993,27.1,52,32,25,19,8,14,43,32.6,29,24,7,17,39,91,31,1,ENG-Premier League,2021,defense
NGA,"FW,MF",24,1996,17.1,27,10,10,14,3,13,25,52.0,12,20,1,19,16,43,14,0,ENG-Premier League,2021,defense
BRA,MF,29,1991,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,ENG-Premier League,2021,defense
POR,MF,27,1993,17.4,35,23,16,16,3,17,58,29.3,41,19,1,18,10,45,12,1,ENG-Premier League,2021,defense
ENG,"FW,MF",19,2001,1.0,3,3,3,0,0,0,2,0.0,2,1,0,1,1,4,3,0,ENG-Premier League,2021,defense
ENG,DF,22,1998,29.8,55,33,37,15,3,27,41,65.9,14,56,37,19,33,88,120,0,ENG-Premier League,2021,defense
BRA,"MF,FW",27,1992,5.1,8,3,3,3,2,7,15,46.7,8,5,0,5,8,16,6,0,ENG-Premier League,2021,defense
TUR,FW,29,1991,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,FW,23,1997,31.9,17,8,1,8,8,6,12,50.0,6,22,6,16,6,23,33,0,ENG-Premier League,2021,defense
ENG,"MF,DF",30,1989,3.0,5,2,3,2,0,1,3,33.3,2,2,0,2,4,9,8,1,ENG-Premier League,2021,defense
ISL,"MF,FW",30,1989,25.0,30,20,9,14,7,13,44,29.5,31,31,2,29,34,64,21,1,ENG-Premier League,2021,defense
COL,"FW,MF",29,1991,19.6,28,17,8,15,5,11,46,23.9,35,17,0,17,15,43,3,0,ENG-Premier League,2021,defense
CIV,MF,24,1995,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,ENG-Premier League,2021,defense
ENG,DF,23,1997,0.9,2,1,1,0,1,2,2,100.0,0,0,0,0,1,3,3,0,ENG-Premier League,2021,defense
ENG,GK,26,1994,30.5,0,0,0,0,0,0,2,0.0,2,2,0,2,3,3,16,4,ENG-Premier League,2021,defense
NOR,"MF,FW",28,1992,1.6,4,1,2,1,1,0,0,,0,3,0,3,1,5,1,0,ENG-Premier League,2021,defense
POR,GK,20,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
FRA,"DF,MF",27,1993,29.8,63,38,40,16,7,29,54,53.7,25,42,4,38,31,94,87,0,ENG-Premier League,2021,defense
ENG,DF,23,1996,25.4,56,36,31,18,7,20,50,40.0,30,37,13,24,35,91,90,3,ENG-Premier League,2021,defense
ENG,DF,27,1993,33.2,28,15,20,8,0,14,31,45.2,17,46,33,13,51,79,161,0,ENG-Premier League,2021,defense
ITA,"FW,MF",20,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
WAL,FW,22,1998,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,ENG-Premier League,2021,defense
FRA,"DF,FW",19,2000,0.9,4,3,1,2,1,3,8,37.5,5,4,0,4,0,4,4,0,ENG-Premier League,2021,defense
BRA,FW,23,1997,31.8,50,32,21,22,7,16,51,31.4,35,28,3,25,14,64,36,1,ENG-Premier League,2021,defense
SWE,GK,30,1990,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,ENG-Premier League,2021,defense
IRL,"DF,MF",31,1988,17.9,39,26,21,14,4,21,30,70.0,9,22,6,16,13,52,37,2,ENG-Premier League,2021,defense
ENG,FW,31,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,MF,22,1998,15.8,31,18,17,12,2,16,39,41.0,23,15,9,6,34,65,21,2,ENG-Premier League,2021,defense
COL,DF,25,1994,21.5,21,14,17,4,0,8,12,66.7,4,30,23,7,24,45,110,1,ENG-Premier League,2021,defense
MTN,"FW,MF",25,1995,3.5,2,2,1,1,0,0,5,0.0,5,6,0,6,1,3,0,0,ENG-Premier League,2021,defense
NGA,"FW,MF",22,1997,30.5,35,11,18,9,8,13,44,29.5,31,31,1,30,20,55,9,0,ENG-Premier League,2021,defense
SRB,FW,25,1994,15.6,7,4,0,3,4,2,8,25.0,6,12,3,9,3,10,8,0,ENG-Premier League,2021,defense
FRA,GK,27,1993,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3,ENG-Premier League,2021,defense
CMR,MF,24,1995,28.7,78,37,27,38,13,27,68,39.7,41,35,6,29,56,134,17,2,ENG-Premier League,2021,defense
USA,DF,22,1997,24.0,45,28,24,16,5,27,44,61.4,17,21,4,17,37,82,68,0,ENG-Premier League,2021,defense
JAM,"MF,FW",27,1993,26.4,31,15,17,10,4,18,39,46.2,21,19,5,14,21,52,39,0,ENG-Premier League,2021,defense
GHA,DF,32,1988,3.0,3,3,2,1,0,1,4,25.0,3,3,1,2,5,8,5,0,ENG-Premier League,2021,defense
POR,"MF,FW",17,2002,2.8,9,6,4,4,1,5,9,55.6,4,2,0,2,1,10,1,1,ENG-Premier League,2021,defense
ENG,MF,25,1995,25.0,63,38,28,28,7,29,73,39.7,44,34,11,23,50,113,31,1,ENG-Premier League,2021,defense
POR,FW,26,1993,27.5,23,14,9,11,3,12,34,35.3,22,25,1,24,19,42,14,0,ENG-Premier League,2021,defense
DEN,DF,24,1996,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1,ENG-Premier League,2021,defense
ENG,"DF,MF",26,1993,7.4,15,8,7,5,3,7,12,58.3,5,8,2,6,14,29,16,0,ENG-Premier League,2021,defense
NGA,FW,21,1998,9.0,7,4,0,3,4,4,10,40.0,6,3,1,2,4,11,1,0,ENG-Premier League,2021,defense
ENG,MF,23,1997,4.2,11,8,1,6,4,0,5,0.0,5,4,2,2,2,13,1,0,ENG-Premier League,2021,defense
NED,"DF,MF",24,1995,16.5,48,30,27,16,5,10,18,55.6,8,14,5,9,27,75,49,0,ENG-Premier League,2021,defense
SVK,GK,23,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
GAB,MF,26,1993,18.9,62,35,25,30,7,23,44,52.3,21,26,5,21,30,92,21,0,ENG-Premier League,2021,defense
