nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
BRA,"DF,MF",25-046,2000,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,ENG-Premier League,2024,shooting
ENG,DF,18-201,2006,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
POR,MF,30-215,1994,28.4,8,76,23,30.3,2.68,0.81,0.07,0.22,21.7,11,3,3,8.8,6.5,0.09,-0.8,-1.5,ENG-Premier League,2024,shooting
BRA,MF,33-047,1992,14.1,1,27,8,29.6,1.91,0.57,0.04,0.13,19.3,0,0,0,1.5,1.5,0.05,-0.5,-0.5,ENG-Premier League,2024,shooting
DEN,FW,17-133,2007,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
DEN,MF,33-056,1992,9.0,0,6,0,0.0,0.66,0.0,0.0,,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ENG-Premier League,2024,shooting
POR,DF,26-024,1999,29.6,0,23,5,21.7,0.78,0.17,0.0,0.0,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,ENG-Premier League,2024,shooting
ENG,DF,18-026,2007,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,DF,32-037,1993,15.8,1,11,4,36.4,0.7,0.25,0.09,0.25,8.1,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ENG-Premier League,2024,shooting
NIR,DF,37-098,1988,3.2,0,1,0,0.0,0.31,0.0,0.0,,8.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,ENG-Premier League,2024,shooting
NED,"FW,MF",23-324,2001,15.0,3,27,10,37.0,1.8,0.67,0.11,0.3,12.9,0,0,0,4.7,4.7,0.17,-1.7,-1.7,ENG-Premier League,2024,shooting
ENG,MF,19-357,2005,14.3,0,10,1,10.0,0.7,0.07,0.0,0.0,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,ENG-Premier League,2024,shooting
FRA,DF,19-149,2005,9.7,0,5,1,20.0,0.51,0.1,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,ENG-Premier League,2024,shooting
ARG,DF,27-083,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7,ENG-Premier League,2024,shooting
ENG,DF,29-273,1995,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
URU,MF,24-000,2001,16.0,1,14,2,14.3,0.87,0.12,0.07,0.5,20.6,0,0,0,0.8,0.8,0.05,0.2,0.2,ENG-Premier League,2024,shooting
ENG,"FW,MF",27-162,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3,ENG-Premier League,2024,shooting
ENG,"MF,FW",26-091,1999,3.1,0,5,2,40.0,1.61,0.64,0.0,0.0,17.2,0,0,0,0.7,0.7,0.14,-0.7,-0.7,ENG-Premier League,2024,shooting
NED,DF,25-242,1999,23.2,2,18,9,50.0,0.78,0.39,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5,ENG-Premier League,2024,shooting
MAR,DF,27-148,1997,26.6,0,12,3,25.0,0.45,0.11,0.0,0.0,20.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,ENG-Premier League,2024,shooting
DEN,DF,20-167,2004,4.5,0,8,2,25.0,1.79,0.45,0.0,0.0,15.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ENG-Premier League,2024,shooting
DEN,FW,22-066,2003,17.2,3,21,9,42.9,1.22,0.52,0.14,0.33,13.8,0,0,0,3.0,3.0,0.14,0.0,0.0,ENG-Premier League,2024,shooting
SCO,MF,28-124,1996,0.2,0,1,0,0.0,4.74,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ENG-Premier League,2024,shooting
ENG,MF,21-098,2004,2.0,0,1,0,0.0,0.5,0.0,0.0,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,ENG-Premier League,2024,shooting
NED,DF,25-237,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
SWE,DF,30-268,1994,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
SWE,FW,25-202,1999,24.3,20,73,32,43.8,3.0,1.32,0.25,0.56,14.5,3,2,2,16.3,14.7,0.2,3.7,3.3,ENG-Premier League,2024,shooting
ENG,FW,24-046,2001,23.4,6,52,15,28.8,2.22,0.64,0.1,0.33,16.2,1,1,2,7.8,6.3,0.12,-1.8,-1.3,ENG-Premier League,2024,shooting
BRA,MF,27-146,1997,28.6,3,31,7,22.6,1.08,0.24,0.1,0.43,17.1,0,0,0,2.8,2.8,0.09,0.2,0.2,ENG-Premier League,2024,shooting
ENG,FW,33-043,1992,2.3,0,5,0,0.0,2.17,0.0,0.0,,15.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,ENG-Premier League,2024,shooting
ENG,DF,32-337,1992,29.0,0,15,4,26.7,0.52,0.14,0.0,0.0,10.4,0,0,0,1.1,1.1,0.07,-1.1,-1.1,ENG-Premier League,2024,shooting
SWE,DF,30-252,1994,2.8,0,1,0,0.0,0.36,0.0,0.0,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,ENG-Premier League,2024,shooting
