nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ARG,MF,22,2001,31.2,65,42,28,29,8,28,70,40.0,42,47,12,35,27,92,61,2,ITA-Serie A,2023,defense
FRA,"FW,MF",20,2002,2.0,2,0,1,0,1,0,2,0.0,2,2,0,2,1,3,2,0,ITA-Serie A,2023,defense
ITA,"MF,DF",26,1996,17.3,19,13,8,4,7,10,24,41.7,14,19,3,16,11,30,27,1,ITA-Serie A,2023,defense
ITA,FW,23,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
GEO,"FW,DF",20,2003,0.7,3,0,2,0,1,2,2,100.0,0,1,0,1,1,4,0,0,ITA-Serie A,2023,defense
ITA,"FW,MF",24,1998,4.6,4,3,2,0,2,2,3,66.7,1,0,0,0,0,4,0,0,ITA-Serie A,2023,defense
ITA,DF,21,2001,16.3,23,13,14,7,2,12,26,46.2,14,22,18,4,8,31,63,0,ITA-Serie A,2023,defense
URU,"FW,MF",28,1995,5.6,4,1,0,2,2,0,7,0.0,7,5,0,5,4,8,1,0,ITA-Serie A,2023,defense
BRA,FW,21,2002,9.0,6,4,0,1,5,3,4,75.0,1,6,0,6,1,7,0,0,ITA-Serie A,2023,defense
CRO,MF,27,1996,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,ITA-Serie A,2023,defense
ITA,DF,27,1996,3.4,5,3,2,3,0,2,3,66.7,1,1,0,1,3,8,9,0,ITA-Serie A,2023,defense
ITA,"MF,DF",29,1994,5.4,10,5,7,2,1,5,15,33.3,10,13,0,13,4,14,8,1,ITA-Serie A,2023,defense
ITA,MF,27,1995,24.6,45,23,15,24,6,26,49,53.1,23,23,7,16,19,64,62,0,ITA-Serie A,2023,defense
ITA,FW,29,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,MF,23,2000,25.8,28,13,13,12,3,9,25,36.0,16,22,5,17,10,38,37,0,ITA-Serie A,2023,defense
ALB,FW,22,2001,5.9,8,3,1,3,4,3,4,75.0,1,10,1,9,1,9,0,0,ITA-Serie A,2023,defense
