league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
FRA-Ligue 1,2024,Le Havre,Daler Kuzyaev,RUS,MF,32-086,1993,6.3,211,260,81.2,3222,949,116,133,87.2,74,94,78.7,12,21,57.1,0,0.6,0.7,-0.6,2,12,3,0,32,passing
FRA-Ligue 1,2024,Le Havre,Elysée Logbo,FRA,FW,20-340,2004,0.3,3,4,75.0,36,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Emmanuel Sabbi,USA,"FW,MF",27-108,1997,7.3,91,128,71.1,1424,409,44,61,72.1,33,43,76.7,8,13,61.5,0,0.6,0.3,-0.6,4,5,5,1,15,passing
FRA-Ligue 1,2024,Le Havre,Etienne Youte Kinkoue,FRA,DF,23-087,2002,20.9,929,1037,89.6,19130,6155,219,234,93.6,612,637,96.1,93,152,61.2,0,0.2,0.3,-0.2,3,52,3,1,54,passing
FRA-Ligue 1,2024,Le Havre,Fodé Ballo-Touré,SEN,DF,28-098,1997,2.3,96,115,83.5,1606,380,42,44,95.5,44,50,88.0,7,12,58.3,0,0.0,0.1,0.0,0,8,1,1,5,passing
FRA-Ligue 1,2024,Le Havre,Gautier Lloris,FRA,DF,29-267,1995,27.0,1154,1326,87.0,22406,8221,366,399,91.7,671,708,94.8,105,183,57.4,1,0.9,0.5,0.1,5,77,4,0,92,passing
FRA-Ligue 1,2024,Le Havre,Ilyes Housni,FRA,"FW,MF",19-332,2005,2.5,34,59,57.6,449,84,21,30,70.0,10,16,62.5,0,1,0.0,0,0.2,0.3,-0.2,2,1,0,0,4,passing
FRA-Ligue 1,2024,Le Havre,Issa Soumaré,SEN,"MF,FW",24-183,2000,15.3,238,390,61.0,3402,812,132,190,69.5,71,110,64.5,16,38,42.1,3,2.3,1.4,0.7,20,13,9,1,31,passing
FRA-Ligue 1,2024,Le Havre,Josué Casimir,FRA,"FW,MF",23-199,2001,16.2,281,413,68.0,4473,1095,152,181,84.0,102,147,69.4,23,52,44.2,3,2.7,1.6,0.3,21,15,9,4,32,passing
FRA-Ligue 1,2024,Le Havre,Junior Mwanga,FRA,MF,21-335,2003,5.6,170,206,82.5,3210,1052,67,79,84.8,80,87,92.0,21,35,60.0,0,0.1,0.5,-0.1,4,19,0,0,19,passing
FRA-Ligue 1,2024,Le Havre,Kandet Diawara,GUI,FW,25-060,2000,0.0,1,2,50.0,6,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Koka,EGY,FW,32-037,1993,7.0,92,117,78.6,1422,200,51,59,86.4,30,38,78.9,7,11,63.6,0,0.6,0.5,-0.6,4,6,1,0,9,passing
FRA-Ligue 1,2024,Le Havre,Loïc Nego,HUN,"DF,FW",34-086,1991,21.3,707,936,75.5,11815,4605,363,410,88.5,277,352,78.7,58,131,44.3,0,0.4,1.4,-0.4,11,61,21,12,74,passing
FRA-Ligue 1,2024,Le Havre,Mahamadou Diawara,FRA,MF,20-053,2005,5.2,154,183,84.2,2715,513,62,70,88.6,76,82,92.7,11,14,78.6,1,0.4,0.2,0.6,6,12,1,0,15,passing
FRA-Ligue 1,2024,Le Havre,Mathieu Gorgelin,FRA,GK,34-249,1990,10.0,274,349,78.5,7265,4644,55,55,100.0,133,135,98.5,86,157,54.8,0,0.0,0.0,0.0,0,2,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Mathéo Bodmer,FRA,MF,20-340,2004,0.1,2,2,100.0,40,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Oussama Targhalline,MAR,MF,22-326,2002,11.0,348,437,79.6,5782,1714,175,199,87.9,130,152,85.5,30,50,60.0,0,0.7,1.2,-0.7,6,50,13,2,66,passing
FRA-Ligue 1,2024,Le Havre,Rassoul Ndiaye,SEN,MF,23-121,2001,11.4,307,417,73.6,4845,1353,157,184,85.3,117,153,76.5,20,42,47.6,0,0.5,0.7,-0.5,7,25,8,2,43,passing
FRA-Ligue 1,2024,Le Havre,Samuel Grandsir,FRA,"MF,FW",28-240,1996,0.9,20,32,62.5,357,133,10,14,71.4,8,12,66.7,2,5,40.0,0,0.6,0.3,-0.6,3,8,2,1,6,passing
FRA-Ligue 1,2024,Le Havre,Steve Ngoura,FRA,FW,20-048,2005,3.2,37,57,64.9,556,181,18,28,64.3,13,15,86.7,3,3,100.0,0,0.4,0.1,-0.4,2,2,2,0,8,passing
FRA-Ligue 1,2024,Le Havre,Timothee Pembele,FRA,DF,22-214,2002,10.7,356,445,80.0,5502,1959,184,204,90.2,149,181,82.3,15,29,51.7,0,0.1,0.3,-0.1,3,16,5,3,32,passing
FRA-Ligue 1,2024,Le Havre,Yanis Zouaoui,ALG,"DF,FW",30-275,1994,10.3,377,551,68.4,6955,2556,181,204,88.7,137,191,71.7,54,126,42.9,2,2.7,2.8,-0.7,26,19,13,9,29,passing
FRA-Ligue 1,2024,Le Havre,Yassine Kechta,MAR,"MF,FW",23-045,2002,18.3,473,594,79.6,8039,2356,233,267,87.3,185,222,83.3,44,65,67.7,0,1.2,1.2,-1.2,14,46,15,5,71,passing
FRA-Ligue 1,2024,Le Havre,Yoann Salmier,GUF,DF,32-141,1992,8.9,283,346,81.8,5596,1997,92,104,88.5,158,175,90.3,33,58,56.9,0,0.2,0.2,-0.2,2,20,1,0,24,passing
FRA-Ligue 1,2024,Lens,Abdukodir Khusanov,UZB,DF,21-041,2004,10.8,483,548,88.1,8942,3769,174,188,92.6,255,276,92.4,43,64,67.2,0,0.3,0.2,-0.3,2,39,4,1,43,passing
FRA-Ligue 1,2024,Lens,Adrien Thomasson,FRA,MF,31-122,1993,23.2,1050,1294,81.1,16449,4172,554,630,87.9,377,451,83.6,80,121,66.1,3,4.6,4.0,-1.6,39,80,25,5,121,passing
FRA-Ligue 1,2024,Lens,Anass Zaroury,MAR,"FW,MF",24-155,2000,11.2,328,495,66.3,5300,1679,178,227,78.4,114,157,72.6,26,70,37.1,1,2.1,2.2,-1.1,25,29,24,8,42,passing
