league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
ESP-La Liga,2020,Betis,Cristian Tello,ESP,"FW,MF",28,1991,14.3,5,35,14,40.0,2.46,0.98,0.14,0.36,20.5,1,0,0,2.7,2.7,0.08,2.3,2.3,shooting
ESP-La Liga,2020,Betis,Diego Lainez,MEX,"FW,MF",20,2000,9.6,0,13,4,30.8,1.36,0.42,0.0,0.0,18.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,shooting
ESP-La Liga,2020,Betis,Emerson,BRA,DF,21,1999,33.2,1,11,3,27.3,0.33,0.09,0.09,0.33,16.6,0,0,0,1.5,1.5,0.14,-0.5,-0.5,shooting
ESP-La Liga,2020,Betis,Guido Rodríguez,ARG,MF,26,1994,31.8,1,30,9,30.0,0.94,0.28,0.03,0.11,19.8,0,0,0,2.3,2.3,0.08,-1.3,-1.3,shooting
ESP-La Liga,2020,Betis,Joaquín,ESP,"FW,MF",39,1981,14.3,2,10,5,50.0,0.7,0.35,0.2,0.4,15.9,0,0,0,0.6,0.6,0.06,1.4,1.4,shooting
ESP-La Liga,2020,Betis,Joel Robles,ESP,GK,30,1990,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Betis,Juan Miranda,ESP,DF,20,2000,18.4,1,10,3,30.0,0.54,0.16,0.1,0.33,25.3,1,0,0,0.7,0.7,0.07,0.3,0.3,shooting
ESP-La Liga,2020,Betis,Juanmi,ESP,"FW,MF",27,1993,6.7,2,14,5,35.7,2.09,0.75,0.14,0.4,11.3,0,0,0,2.4,2.4,0.17,-0.4,-0.4,shooting
ESP-La Liga,2020,Betis,Loren Morón,ESP,FW,26,1993,11.0,1,24,3,12.5,2.18,0.27,0.04,0.33,18.1,0,0,0,2.8,2.8,0.12,-1.8,-1.8,shooting
ESP-La Liga,2020,Betis,Marc Bartra,ESP,DF,29,1991,18.8,0,10,4,40.0,0.53,0.21,0.0,0.0,18.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting
