nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
CIV,DF,21,2001,21.7,1711,120,693,902,120,14,1711,20,10,50.0,5,25.0,1241,6376,3326,10,20,0,20,5,1147,8,FRA-Ligue 1,2022,possession
BRA,"FW,MF",22,2000,12.3,649,3,58,252,351,60,649,54,21,38.9,28,51.9,506,3173,1322,49,28,27,31,15,482,130,FRA-Ligue 1,2022,possession
BRA,"MF,DF",30,1992,22.9,1913,112,502,1225,188,9,1913,11,6,54.5,5,45.5,1500,7166,3378,10,22,2,25,16,1383,20,FRA-Ligue 1,2022,possession
CHI,"FW,MF",33,1988,29.8,1234,7,69,513,663,145,1231,82,43,52.4,32,39.0,950,4916,1398,42,24,20,85,62,961,232,FRA-Ligue 1,2022,possession
MAR,"MF,FW",25,1997,5.7,341,10,33,139,176,30,341,36,13,36.1,18,50.0,284,1842,791,19,13,9,18,17,273,54,FRA-Ligue 1,2022,possession
POL,FW,28,1994,1.4,47,3,5,27,15,1,47,1,0,0.0,1,100.0,33,171,53,1,3,0,1,1,36,9,FRA-Ligue 1,2022,possession
MAR,"MF,FW",22,2000,1.3,110,0,8,59,45,3,110,8,6,75.0,1,12.5,99,650,256,6,5,1,2,5,92,8,FRA-Ligue 1,2022,possession
SEN,"FW,MF",22,2000,2.2,76,1,4,39,34,15,76,3,2,66.7,1,33.3,54,303,112,5,1,2,7,4,58,23,FRA-Ligue 1,2022,possession
TUR,"MF,DF",25,1997,27.7,1440,18,139,528,792,130,1439,96,39,40.6,50,52.1,1070,6465,2493,69,47,30,60,31,985,262,FRA-Ligue 1,2022,possession
COD,DF,27,1994,31.7,2042,171,669,1043,339,45,2042,24,14,58.3,5,20.8,1496,8249,4441,47,66,10,24,10,1374,49,FRA-Ligue 1,2022,possession
