nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
FRA,"MF,FW",22-030,2003,10.3,16,11,10,4,2,9,15,60.0,6,15,3,12,8,24,19,0,FRA-Ligue 1,2024,defense
SEN,DF,22-364,2002,10.4,18,13,10,8,0,9,13,69.2,4,10,5,5,18,36,48,1,FRA-Ligue 1,2024,defense
FRA,GK,31-004,1994,18.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,FRA-Ligue 1,2024,defense
CIV,"DF,FW",27-347,1997,13.0,13,9,6,2,5,7,12,58.3,5,20,6,14,14,27,30,0,FRA-Ligue 1,2024,defense
RUS,MF,32-086,1993,6.3,13,8,7,4,2,2,9,22.2,7,7,4,3,9,22,8,0,FRA-Ligue 1,2024,defense
FRA,FW,20-340,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
USA,"FW,MF",27-108,1997,7.3,14,7,7,4,3,5,8,62.5,3,2,0,2,3,17,4,0,FRA-Ligue 1,2024,defense
FRA,DF,23-087,2002,20.9,18,9,10,7,1,12,17,70.6,5,31,19,12,23,41,132,2,FRA-Ligue 1,2024,defense
SEN,DF,28-098,1997,2.3,2,2,0,2,0,2,4,50.0,2,2,0,2,1,3,10,0,FRA-Ligue 1,2024,defense
FRA,DF,29-267,1995,27.0,58,37,43,15,0,34,49,69.4,15,32,20,12,22,80,173,0,FRA-Ligue 1,2024,defense
FRA,"FW,MF",19-332,2005,2.5,7,5,2,3,2,2,4,50.0,2,2,0,2,1,8,2,0,FRA-Ligue 1,2024,defense
SEN,"MF,FW",24-183,2000,15.3,15,9,4,8,3,8,30,26.7,22,13,4,9,8,23,22,0,FRA-Ligue 1,2024,defense
FRA,"FW,MF",23-199,2001,16.2,30,20,14,12,4,9,17,52.9,8,9,0,9,4,34,30,1,FRA-Ligue 1,2024,defense
FRA,MF,21-335,2003,5.6,17,9,5,11,1,9,13,69.2,4,8,2,6,5,22,9,1,FRA-Ligue 1,2024,defense
GUI,FW,25-060,2000,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,FRA-Ligue 1,2024,defense
EGY,FW,32-037,1993,7.0,4,1,1,3,0,0,4,0.0,4,1,0,1,2,6,6,1,FRA-Ligue 1,2024,defense
HUN,"DF,FW",34-086,1991,21.3,43,27,27,12,4,31,46,67.4,15,14,2,12,23,66,67,0,FRA-Ligue 1,2024,defense
FRA,MF,20-053,2005,5.2,17,10,9,7,1,7,11,63.6,4,12,5,7,10,27,10,1,FRA-Ligue 1,2024,defense
FRA,GK,34-249,1990,10.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,4,0,FRA-Ligue 1,2024,defense
FRA,MF,20-340,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,FRA-Ligue 1,2024,defense
MAR,MF,22-326,2002,11.0,19,14,12,3,4,5,12,41.7,7,14,7,7,19,38,14,2,FRA-Ligue 1,2024,defense
SEN,MF,23-121,2001,11.4,28,19,17,9,2,8,20,40.0,12,15,4,11,11,39,24,0,FRA-Ligue 1,2024,defense
FRA,"MF,FW",28-240,1996,0.9,5,5,0,3,2,2,3,66.7,1,2,0,2,0,5,0,0,FRA-Ligue 1,2024,defense
FRA,FW,20-048,2005,3.2,4,2,1,1,2,3,3,100.0,0,2,1,1,0,4,2,0,FRA-Ligue 1,2024,defense
FRA,DF,22-214,2002,10.7,28,22,17,9,2,14,22,63.6,8,15,5,10,9,37,39,0,FRA-Ligue 1,2024,defense
ALG,"DF,FW",30-275,1994,10.3,17,8,9,6,2,10,14,71.4,4,14,2,12,8,25,43,0,FRA-Ligue 1,2024,defense
MAR,"MF,FW",23-045,2002,18.3,47,27,24,17,6,26,61,42.6,35,22,2,20,20,67,24,1,FRA-Ligue 1,2024,defense
GUF,DF,32-141,1992,8.9,14,7,9,4,1,10,13,76.9,3,12,8,4,10,24,59,0,FRA-Ligue 1,2024,defense
UZB,DF,21-041,2004,10.8,15,11,9,5,1,7,11,63.6,4,17,11,6,26,41,57,0,FRA-Ligue 1,2024,defense
FRA,MF,31-122,1993,23.2,76,42,36,23,17,47,82,57.3,35,35,3,32,17,93,24,1,FRA-Ligue 1,2024,defense
MAR,"FW,MF",24-155,2000,11.2,16,14,4,9,3,7,19,36.8,12,7,0,7,4,20,10,0,FRA-Ligue 1,2024,defense
FRA,MF,21-329,2003,19.7,34,23,9,20,5,13,32,40.6,19,21,1,20,11,45,15,2,FRA-Ligue 1,2024,defense
FRA,"MF,FW",28-234,1996,10.3,13,9,6,4,3,6,16,37.5,10,11,1,10,2,15,3,0,FRA-Ligue 1,2024,defense
FRA,GK,30-351,1994,15.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,2,FRA-Ligue 1,2024,defense
POR,"MF,FW",24-096,2001,3.9,2,0,1,1,0,1,4,25.0,3,5,1,4,1,3,0,0,FRA-Ligue 1,2024,defense
COL,"DF,MF",31-221,1993,17.1,32,23,13,13,6,16,26,61.5,10,18,3,15,15,47,24,1,FRA-Ligue 1,2024,defense
