league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ITA-Serie A,2023,Monza,Mirko Marić,CRO,FW,28,1995,3.2,135,4,9,59,69,20,135,4,1,25.0,3,75.0,71,232,91,2,3,1,10,5,106,30,possession
ITA-Serie A,2023,Monza,Pablo Marí,ESP,DF,29,1993,29.1,2007,307,1087,880,44,17,2007,8,5,62.5,2,25.0,1224,5474,2795,2,8,0,8,3,1420,1,possession
ITA-Serie A,2023,Monza,Papu Gómez,ARG,"MF,FW",35,1988,0.5,21,0,1,5,15,1,21,0,0,,0,,13,121,77,2,2,1,0,0,11,1,possession
ITA-Serie A,2023,Monza,Patrick Ciurria,ITA,"DF,MF",28,1995,17.8,1021,39,269,411,350,31,1021,24,9,37.5,11,45.8,597,2981,1581,41,41,9,19,6,711,94,possession
ITA-Serie A,2023,Monza,Pedro Pereira,POR,DF,25,1998,9.3,600,22,164,261,179,15,600,11,5,45.5,4,36.4,361,1501,886,20,18,3,6,8,401,69,possession
ITA-Serie A,2023,Monza,Pepín,EQG,"MF,FW",26,1996,2.7,177,7,28,87,62,2,177,4,1,25.0,1,25.0,109,423,162,1,3,0,6,1,123,12,possession
ITA-Serie A,2023,Monza,Roberto Gagliardini,ITA,"MF,DF",29,1994,26.2,1761,94,439,1034,310,42,1761,17,8,47.1,7,41.2,1045,5931,2950,38,36,2,28,14,1222,36,possession
ITA-Serie A,2023,Monza,Samuele Birindelli,ITA,DF,24,1999,22.4,1320,63,412,557,364,43,1320,30,12,40.0,15,50.0,766,4352,2314,63,40,11,35,9,885,122,possession
ITA-Serie A,2023,Monza,Samuele Vignato,ITA,"MF,FW",19,2004,3.8,168,0,23,83,67,12,168,9,5,55.6,4,44.4,109,671,348,13,8,6,11,6,124,20,possession
ITA-Serie A,2023,Monza,Valentin Carboni,ARG,"MF,FW",18,2005,13.0,676,5,83,329,281,41,676,49,24,49.0,18,36.7,465,3385,1577,52,33,18,30,15,500,75,possession
ITA-Serie A,2023,Monza,Warren Bondo,FRA,MF,19,2003,16.4,750,28,174,458,125,13,750,18,13,72.2,4,22.2,492,2905,1435,31,20,5,16,19,541,13,possession
ITA-Serie A,2023,Napoli,Alessandro Zanoli,ITA,"DF,FW",22,2000,0.6,47,2,10,21,16,0,47,2,0,0.0,2,100.0,26,153,94,2,1,0,2,0,29,3,possession
ITA-Serie A,2023,Napoli,Alessio Zerbin,ITA,"FW,DF",24,1999,1.7,92,0,10,32,54,8,92,4,2,50.0,1,25.0,45,311,147,6,4,2,5,3,65,18,possession
ITA-Serie A,2023,Napoli,Alex Meret,ITA,GK,26,1997,30.8,959,793,956,3,0,0,959,1,1,100.0,0,0.0,564,2467,1302,0,0,0,0,0,554,0,possession
ITA-Serie A,2023,Napoli,Amir Rrahmani,KVX,DF,29,1994,28.9,2477,209,973,1399,116,40,2477,15,10,66.7,3,20.0,1557,7914,4596,19,15,1,7,6,1792,4,possession
ITA-Serie A,2023,Napoli,Andre-Frank Zambo Anguissa,CMR,MF,27,1995,31.0,2148,43,286,1263,627,59,2148,61,25,41.0,31,50.8,1227,6026,2376,43,65,10,56,31,1675,139,possession
ITA-Serie A,2023,Napoli,Cyril Ngonge,BEL,FW,23,2000,3.5,198,4,14,74,113,16,198,16,8,50.0,7,43.8,129,931,482,18,9,6,11,3,161,43,possession
ITA-Serie A,2023,Napoli,Diego Demme,GER,MF,31,1991,0.8,81,2,14,45,22,4,81,2,0,0.0,2,100.0,50,289,169,3,4,0,0,0,65,0,possession
ITA-Serie A,2023,Napoli,Elif Elmas,MKD,"FW,MF",23,1999,3.8,240,7,27,107,111,12,240,13,6,46.2,7,53.8,140,1045,623,14,13,4,9,7,181,26,possession
ITA-Serie A,2023,Napoli,Giacomo Raspadori,ITA,"FW,MF",23,2000,17.6,886,5,69,373,449,90,885,30,14,46.7,14,46.7,541,2860,899,29,18,12,33,18,689,139,possession
ITA-Serie A,2023,Napoli,Gianluca Gaetano,ITA,MF,23,2000,1.8,118,4,12,68,41,5,118,5,1,20.0,4,80.0,58,295,155,6,1,1,5,3,76,5,possession
ITA-Serie A,2023,Napoli,Giovanni Di Lorenzo,ITA,DF,29,1993,35.9,3054,90,711,1445,921,129,3054,59,18,30.5,35,59.3,1815,8286,4442,95,63,16,28,23,2213,250,possession
ITA-Serie A,2023,Napoli,Giovanni Simeone,ARG,FW,28,1995,8.9,301,7,19,128,159,56,301,10,5,50.0,5,50.0,168,875,281,11,9,4,25,13,233,76,possession
ITA-Serie A,2023,Napoli,Hamed Junior Traorè,CIV,MF,23,2000,4.2,243,7,33,131,85,12,243,10,5,50.0,5,50.0,147,889,448,12,8,2,7,7,193,19,possession
ITA-Serie A,2023,Napoli,Jens Cajuste,SWE,MF,23,1999,11.3,577,22,83,323,180,23,577,28,17,60.7,10,35.7,282,1504,728,19,18,2,19,10,391,53,possession
ITA-Serie A,2023,Napoli,Jesper Lindstrøm,DEN,"FW,MF",23,2000,4.8,306,2,27,129,154,20,306,25,11,44.0,14,56.0,184,1091,512,16,10,5,18,8,233,34,possession
ITA-Serie A,2023,Napoli,Juan Jesus,BRA,DF,32,1991,23.5,1897,144,808,1059,39,15,1897,1,1,100.0,0,0.0,1151,5769,2890,6,5,0,6,2,1351,2,possession
