league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Real Madrid,Marco Asensio,ESP,"FW,MF",26,1996,16.0,951,11,66,375,517,71,950,33,23,69.7,7,21.2,609,3688,1856,56,39,11,19,13,725,108,possession
ESP-La Liga,2022,Real Madrid,Mariano,DOM,FW,28,1993,1.7,52,0,3,21,29,8,52,1,0,0.0,1,100.0,31,186,94,3,2,0,2,3,42,12,possession
ESP-La Liga,2022,Real Madrid,Nacho,ESP,DF,32,1990,18.2,1327,95,503,629,205,19,1327,17,11,64.7,4,23.5,762,3224,1899,18,10,4,15,9,937,34,possession
ESP-La Liga,2022,Real Madrid,Rodrygo,BRA,"FW,MF",21,2001,26.4,1399,3,56,537,822,204,1398,169,81,47.9,68,40.2,1035,6613,3658,146,81,79,64,30,1198,268,possession
ESP-La Liga,2022,Real Madrid,Sergio Arribas,ESP,"MF,FW",20,2001,0.2,13,1,1,6,6,1,13,0,0,,0,,4,26,17,0,0,0,0,0,8,0,possession
ESP-La Liga,2022,Real Madrid,Thibaut Courtois,BEL,GK,30,1992,31.0,1209,1020,1205,5,0,0,1209,2,2,100.0,0,0.0,824,4223,2619,0,0,0,2,0,704,0,possession
ESP-La Liga,2022,Real Madrid,Toni Kroos,GER,MF,32,1990,23.9,2633,58,531,1618,506,18,2633,26,9,34.6,10,38.5,1796,8015,4384,51,41,3,10,12,2106,38,possession
ESP-La Liga,2022,Real Madrid,Vinicius Júnior,BRA,FW,22,2000,31.4,1708,3,95,444,1190,260,1708,306,112,36.6,153,50.0,1357,10776,5663,221,98,140,103,61,1460,495,possession
ESP-La Liga,2022,Real Madrid,Álvaro Odriozola,ESP,DF,26,1995,0.4,32,0,7,15,10,2,32,2,0,0.0,0,0.0,20,142,74,4,0,0,0,0,25,5,possession
ESP-La Liga,2022,Real Madrid,Álvaro Rodríguez,URU,FW,18,2004,0.9,23,1,2,9,12,4,23,0,0,,0,,17,47,6,0,0,0,5,3,17,3,possession
ESP-La Liga,2022,Real Madrid,Éder Militão,BRA,DF,24,1998,30.0,2216,314,1088,984,157,31,2216,19,11,57.9,6,31.6,1378,7011,3877,28,20,1,16,6,1505,16,possession
