league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
GER-Bundesliga,2022,Bayern Munich,Yann Sommer,SUI,GK,33,1988,19.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,defense
GER-Bundesliga,2022,Bochum,Anthony Losilla,FRA,MF,36,1986,30.2,76,49,32,34,10,38,77,49.4,39,39,12,27,37,113,67,0,defense
GER-Bundesliga,2022,Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0,defense
GER-Bundesliga,2022,Bochum,Cristian Gamboa,CRC,DF,32,1989,16.4,42,24,27,14,1,21,31,67.7,10,20,7,13,16,58,34,1,defense
GER-Bundesliga,2022,Bochum,Danilo Soares,BRA,DF,30,1991,19.6,72,46,42,23,7,43,72,59.7,29,29,6,23,30,102,56,1,defense
GER-Bundesliga,2022,Bochum,Dominique Heintz,GER,DF,28,1993,8.8,13,9,5,7,1,6,17,35.3,11,11,7,4,12,25,34,0,defense
GER-Bundesliga,2022,Bochum,Erhan Mašović,SRB,"DF,MF",23,1998,24.2,50,31,28,21,1,30,51,58.8,21,30,14,16,27,77,79,0,defense
GER-Bundesliga,2022,Bochum,Gerrit Holtmann,PHI,"FW,MF",27,1995,10.5,14,7,6,7,1,12,21,57.1,9,15,1,14,2,16,4,0,defense
GER-Bundesliga,2022,Bochum,Ivan Ordets,UKR,DF,30,1992,27.2,31,19,21,9,1,16,28,57.1,12,34,17,17,57,88,139,0,defense
GER-Bundesliga,2022,Bochum,Jacek Góralski,POL,MF,29,1992,1.6,6,3,3,3,0,4,6,66.7,2,4,0,4,3,9,5,0,defense
GER-Bundesliga,2022,Bochum,Jannes Horn,GER,"DF,FW",25,1997,0.7,2,1,1,1,0,1,1,100.0,0,1,0,1,3,5,2,0,defense
GER-Bundesliga,2022,Bochum,Jordi Osei-Tutu,ENG,"DF,FW",23,1998,8.3,23,18,13,5,5,12,23,52.2,11,12,5,7,10,33,8,0,defense
GER-Bundesliga,2022,Bochum,Keven Schlotterbeck,GER,DF,25,1997,8.2,17,9,12,5,0,9,11,81.8,2,11,5,6,14,31,49,0,defense
GER-Bundesliga,2022,Bochum,Kevin Stöger,AUT,MF,28,1993,28.9,84,45,38,32,14,31,94,33.0,63,27,4,23,26,110,21,1,defense
GER-Bundesliga,2022,Bochum,Kostas Stafylidis,GRE,"DF,MF",28,1993,11.6,27,16,13,8,6,10,24,41.7,14,21,8,13,20,47,31,1,defense
GER-Bundesliga,2022,Bochum,Manuel Riemann,GER,GK,33,1988,34.0,3,2,3,0,0,3,5,60.0,2,1,0,1,5,8,23,7,defense
GER-Bundesliga,2022,Bochum,Moritz Broschinski,GER,"FW,MF",21,2000,2.4,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,6,0,defense
GER-Bundesliga,2022,Bochum,Patrick Osterhage,GER,MF,22,2000,11.4,20,17,8,10,2,11,16,68.8,5,17,6,11,12,32,25,0,defense
GER-Bundesliga,2022,Bochum,Philipp Förster,GER,MF,27,1995,14.5,31,19,11,15,5,12,40,30.0,28,22,0,22,6,37,6,0,defense
GER-Bundesliga,2022,Bochum,Philipp Hofmann,GER,FW,29,1993,29.2,18,11,0,13,5,5,12,41.7,7,20,8,12,6,24,48,0,defense
