league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2021,Dijon,Muzinga Ngonda,COD,DF,25,1994,25.6,59,40,37,21,1,30,50,60.0,20,28,3,25,72,131,58,0,defense
FRA-Ligue 1,2021,Dijon,Pape Cheikh Diop,SEN,MF,22,1997,12.1,24,14,15,6,3,13,33,39.4,20,14,2,12,6,30,6,0,defense
FRA-Ligue 1,2021,Dijon,Rayan Philippe,FRA,FW,19,2000,1.0,3,1,1,1,1,2,2,100.0,0,0,0,0,0,3,0,0,defense
FRA-Ligue 1,2021,Dijon,Roger Assalé,CIV,"FW,MF",26,1993,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0,defense
FRA-Ligue 1,2021,Dijon,Romain Amalfitano,FRA,"FW,DF",30,1989,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0,defense
FRA-Ligue 1,2021,Dijon,Sacha Boey,FRA,DF,19,2000,20.7,54,40,30,23,1,27,55,49.1,28,25,5,20,41,95,62,0,defense
FRA-Ligue 1,2021,Dijon,Saturnin Allagbé,BEN,GK,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3,defense
FRA-Ligue 1,2021,Dijon,Senou Coulibaly,MLI,DF,25,1994,21.5,33,21,23,10,0,12,24,50.0,12,18,12,6,30,63,89,0,defense
FRA-Ligue 1,2021,Dijon,Wesley Lautoa,NCL,"MF,DF",32,1987,17.9,36,20,20,13,3,11,37,29.7,26,17,8,9,29,65,33,1,defense
FRA-Ligue 1,2021,Dijon,Wilitty Younoussa,CMR,MF,18,2001,0.9,6,3,3,3,0,3,7,42.9,4,3,0,3,2,8,0,0,defense
FRA-Ligue 1,2021,Dijon,Yassine Benzia,ALG,"MF,FW",25,1994,4.5,10,5,5,3,2,2,10,20.0,8,3,0,3,6,16,2,0,defense
FRA-Ligue 1,2021,Lens,Adrien Louveau,FRA,MF,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2021,Lens,Aleksandar Radovanović,SRB,DF,26,1993,1.0,1,1,0,1,0,0,0,,0,2,1,1,0,1,2,0,defense
FRA-Ligue 1,2021,Lens,Ansou Sow,SEN,MF,20,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
FRA-Ligue 1,2021,Lens,Arnaud Kalimuendo,FRA,"FW,MF",18,2002,13.5,8,2,2,2,4,1,7,14.3,6,11,0,11,2,10,2,0,defense
FRA-Ligue 1,2021,Lens,Cheick Doucouré,MLI,MF,20,2000,29.2,87,47,40,42,5,32,65,49.2,33,20,4,16,52,139,26,1,defense
FRA-Ligue 1,2021,Lens,Cheick Traoré,MLI,DF,25,1995,0.4,2,2,1,1,0,2,4,50.0,2,1,0,1,2,4,1,0,defense
FRA-Ligue 1,2021,Lens,Clément Michelin,FRA,DF,23,1997,12.8,25,19,13,9,3,9,16,56.3,7,13,4,9,25,50,32,0,defense
FRA-Ligue 1,2021,Lens,Corentin Jean,FRA,"FW,MF",25,1995,6.4,4,3,1,1,2,0,5,0.0,5,4,0,4,2,6,2,0,defense
FRA-Ligue 1,2021,Lens,David Costa,POR,"MF,FW",19,2001,1.7,4,4,1,2,1,2,3,66.7,1,2,0,2,0,4,4,0,defense
FRA-Ligue 1,2021,Lens,Facundo Medina,ARG,DF,21,1999,22.3,39,22,22,15,2,24,38,63.2,14,25,9,16,39,78,51,3,defense
FRA-Ligue 1,2021,Lens,Florian Sotoca,FRA,FW,29,1990,26.8,31,20,3,20,8,6,22,27.3,16,27,0,27,9,40,24,0,defense
FRA-Ligue 1,2021,Lens,Gaël Kakuta,COD,"MF,FW",29,1991,26.6,38,23,10,18,10,8,44,18.2,36,24,3,21,17,55,4,0,defense
FRA-Ligue 1,2021,Lens,Ignatius Ganago,CMR,FW,21,1999,14.5,4,3,0,2,2,3,12,25.0,9,7,1,6,6,10,3,0,defense
FRA-Ligue 1,2021,Lens,Ismaël Boura,COM,DF,19,2000,9.2,11,7,8,2,1,3,9,33.3,6,7,2,5,21,32,12,0,defense
FRA-Ligue 1,2021,Lens,Issiaga Sylla,GUI,"DF,MF",26,1994,12.4,28,20,11,17,0,11,21,52.4,10,13,3,10,16,44,21,0,defense
FRA-Ligue 1,2021,Lens,Jean-Louis Leca,FRA,GK,34,1985,36.8,3,2,3,0,0,3,5,60.0,2,0,0,0,1,4,14,4,defense
FRA-Ligue 1,2021,Lens,Jonathan Clauss,FRA,DF,27,1992,28.0,43,20,12,20,11,17,38,44.7,21,24,1,23,45,88,46,0,defense
FRA-Ligue 1,2021,Lens,Jonathan Gradit,FRA,DF,27,1992,31.4,60,39,26,28,6,22,38,57.9,16,37,19,18,56,116,81,1,defense
FRA-Ligue 1,2021,Lens,Loïc Bade,FRA,DF,20,2000,29.0,57,34,47,10,0,30,55,54.5,25,43,17,26,74,131,135,2,defense
FRA-Ligue 1,2021,Lens,Manuel Perez,FRA,"MF,FW",29,1991,1.4,1,0,1,0,0,0,8,0.0,8,2,0,2,2,3,2,0,defense
FRA-Ligue 1,2021,Lens,Massadio Haïdara,MLI,DF,27,1992,23.7,48,32,21,21,6,23,37,62.2,14,29,6,23,35,83,60,0,defense
FRA-Ligue 1,2021,Lens,Seko Fofana,CIV,MF,25,1995,25.7,16,8,3,10,3,4,26,15.4,22,16,5,11,34,50,23,1,defense
FRA-Ligue 1,2021,Lens,Simon Banza,COD,FW,23,1996,15.2,13,6,0,4,9,1,14,7.1,13,16,1,15,7,20,15,0,defense
FRA-Ligue 1,2021,Lens,Steven Fortes,CPV,DF,28,1992,15.9,33,20,20,10,3,16,22,72.7,6,25,10,15,27,60,52,0,defense
FRA-Ligue 1,2021,Lens,Tony Mauricio,FRA,MF,26,1994,5.6,19,12,7,8,4,11,17,64.7,6,8,1,7,3,22,4,0,defense
FRA-Ligue 1,2021,Lens,Wuilker Faríñez,VEN,GK,22,1998,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2021,Lens,Yannick Cahuzac,FRA,MF,35,1985,25.0,26,12,12,10,4,9,27,33.3,18,18,5,13,33,59,72,0,defense
FRA-Ligue 1,2021,Lille,Adama Soumaoro,FRA,DF,28,1992,1.6,1,0,0,0,1,0,0,,0,1,1,0,2,3,2,0,defense
FRA-Ligue 1,2021,Lille,Benjamin André,FRA,MF,29,1990,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0,defense
FRA-Ligue 1,2021,Lille,Boubakary Soumaré,FRA,MF,21,1999,21.3,44,29,16,25,3,14,29,48.3,15,14,6,8,39,83,21,0,defense
FRA-Ligue 1,2021,Lille,Burak Yılmaz,TUR,FW,35,1985,22.8,13,6,3,7,3,4,30,13.3,26,7,0,7,5,18,22,0,defense
FRA-Ligue 1,2021,Lille,Domagoj Bradarić,CRO,DF,20,1999,14.0,28,18,11,13,4,12,27,44.4,15,14,4,10,26,54,21,0,defense
FRA-Ligue 1,2021,Lille,Isaac Lihadji,FRA,"MF,FW",18,2002,2.2,11,4,2,6,3,4,5,80.0,1,5,1,4,1,12,0,1,defense
FRA-Ligue 1,2021,Lille,Jonathan Bamba,CIV,MF,24,1996,33.2,45,23,15,19,11,24,84,28.6,60,24,2,22,24,69,15,0,defense
FRA-Ligue 1,2021,Lille,Jonathan David,CAN,FW,20,2000,26.2,17,10,5,5,7,9,24,37.5,15,19,1,18,3,20,9,0,defense
FRA-Ligue 1,2021,Lille,Jonathan Ikone,FRA,"MF,FW",22,1998,24.2,18,12,3,8,7,9,22,40.9,13,16,1,15,7,25,9,0,defense
FRA-Ligue 1,2021,Lille,José Fonte,POR,DF,36,1983,35.4,40,29,28,10,2,27,33,81.8,6,36,23,13,36,76,137,1,defense
FRA-Ligue 1,2021,Lille,Jérémy Pied,FRA,DF,31,1989,3.5,7,0,3,3,1,4,9,44.4,5,3,1,2,6,13,8,0,defense
FRA-Ligue 1,2021,Lille,Luiz Araújo,BRA,MF,24,1996,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0,defense
FRA-Ligue 1,2021,Lille,Mike Maignan,FRA,GK,25,1995,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,defense
FRA-Ligue 1,2021,Lille,Reinildo Mandava,MOZ,DF,26,1994,24.2,79,43,39,32,8,35,58,60.3,23,26,3,23,45,124,53,0,defense
FRA-Ligue 1,2021,Lille,Renato Sanches,POR,MF,22,1997,14.1,13,7,4,8,1,5,25,20.0,20,13,2,11,13,26,8,0,defense
FRA-Ligue 1,2021,Lille,Sven Botman,NED,DF,20,2000,36.8,31,21,18,12,1,14,26,53.8,12,31,21,10,57,88,126,2,defense
FRA-Ligue 1,2021,Lille,Tiago Djaló,POR,DF,20,2000,9.7,22,13,14,5,3,15,23,65.2,8,10,4,6,9,31,23,0,defense
FRA-Ligue 1,2021,Lille,Timothy Weah,USA,"FW,MF",20,2000,9.8,15,7,3,9,3,7,14,50.0,7,7,0,7,4,19,5,0,defense
