league,season,team,player,nation,pos,age,born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type
FRA-Ligue 1,2021,Dijon,Junior Dina Ebimbe,FRA,"FW,MF",19,2000,23.8,634,800,79.3,9806,2134,349,403,86.6,223,263,84.8,43,74,58.1,1,2.4,1.5,-1.4,25,54,17,4,67,passing
FRA-Ligue 1,2021,Dijon,Mama Samba Baldé,GNB,FW,24,1995,24.0,326,476,68.5,4346,785,198,259,76.4,87,118,73.7,16,27,59.3,0,0.6,0.8,-0.6,10,12,6,0,24,passing
FRA-Ligue 1,2021,Dijon,Mihai Dobre,ROU,FW,21,1998,5.9,123,171,71.9,1528,352,75,93,80.6,34,44,77.3,2,7,28.6,0,0.3,0.3,-0.3,4,7,0,0,7,passing
FRA-Ligue 1,2021,Dijon,Mounir Chouiar,FRA,"FW,MF",21,1999,14.3,393,524,75.0,6200,1717,231,270,85.6,111,136,81.6,40,76,52.6,2,2.4,1.5,-0.4,24,25,9,0,42,passing
FRA-Ligue 1,2021,Dijon,Moussa Konaté,SEN,FW,27,1993,13.3,198,272,72.8,2788,368,108,137,78.8,67,95,70.5,9,12,75.0,1,0.4,0.2,0.6,7,12,8,0,19,passing
FRA-Ligue 1,2021,Dijon,Muzinga Ngonda,COD,DF,25,1994,25.6,1195,1693,70.6,20020,8500,616,715,86.2,461,627,73.5,106,247,42.9,0,1.1,1.3,-1.1,18,101,30,13,135,passing
FRA-Ligue 1,2021,Dijon,Pape Cheikh Diop,SEN,MF,22,1997,12.1,514,604,85.1,8659,2213,228,253,90.1,238,261,91.2,35,55,63.6,0,0.6,0.5,-0.6,8,43,4,0,51,passing
FRA-Ligue 1,2021,Dijon,Rayan Philippe,FRA,FW,19,2000,1.0,6,14,42.9,89,11,4,5,80.0,2,6,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2021,Dijon,Roger Assalé,CIV,"FW,MF",26,1993,9.2,118,181,65.2,1837,381,68,100,68.0,36,54,66.7,11,14,78.6,1,0.2,0.3,0.8,3,8,5,0,14,passing
FRA-Ligue 1,2021,Dijon,Romain Amalfitano,FRA,"FW,DF",30,1989,1.3,44,57,77.2,877,276,16,16,100.0,21,29,72.4,7,10,70.0,0,0.0,0.0,0.0,1,6,0,0,8,passing
FRA-Ligue 1,2021,Dijon,Sacha Boey,FRA,DF,19,2000,20.7,801,1054,76.0,13195,5417,408,463,88.1,306,400,76.5,67,144,46.5,1,1.5,1.3,-0.5,18,48,17,12,65,passing
FRA-Ligue 1,2021,Dijon,Saturnin Allagbé,BEN,GK,26,1993,12.0,269,403,66.7,7971,6167,48,48,100.0,115,116,99.1,106,237,44.7,0,0.0,0.0,0.0,0,2,0,0,0,passing
FRA-Ligue 1,2021,Dijon,Senou Coulibaly,MLI,DF,25,1994,21.5,815,1025,79.5,16826,6947,234,263,89.0,466,530,87.9,110,201,54.7,0,0.2,0.1,-0.2,1,37,0,0,47,passing
FRA-Ligue 1,2021,Dijon,Wesley Lautoa,NCL,"MF,DF",32,1987,17.9,684,812,84.2,12453,4258,288,328,87.8,312,355,87.9,73,96,76.0,0,0.2,0.4,-0.2,4,44,6,0,66,passing
FRA-Ligue 1,2021,Dijon,Wilitty Younoussa,CMR,MF,18,2001,0.9,15,21,71.4,176,61,11,14,78.6,4,5,80.0,0,0,,0,0.4,0.1,-0.4,2,3,1,1,1,passing
FRA-Ligue 1,2021,Dijon,Yassine Benzia,ALG,"MF,FW",25,1994,4.5,155,201,77.1,2618,724,78,93,83.9,55,66,83.3,15,32,46.9,1,0.5,0.3,0.5,9,16,1,1,19,passing
