league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ENG-Premier League,2021,Brighton,Leandro Trossard,BEL,"MF,FW",25,1994,29.0,2,0,0,27,32,5,83,26,14,0,0,0,146,4,22,15.4,misc
ENG-Premier League,2021,Brighton,Lewis Dunk,ENG,DF,28,1991,32.6,5,2,0,22,20,2,1,32,15,0,0,1,223,78,37,67.8,misc
ENG-Premier League,2021,Brighton,Mathew Ryan,AUS,GK,28,1992,11.0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,0,100.0,misc
ENG-Premier League,2021,Brighton,Neal Maupay,FRA,"FW,MF",23,1996,27.9,1,1,0,27,44,12,11,13,8,1,1,0,84,20,60,25.0,misc
ENG-Premier League,2021,Brighton,Pascal Groß,GER,"MF,DF",29,1991,27.6,3,0,0,19,16,5,219,23,24,1,0,0,149,22,43,33.8,misc
ENG-Premier League,2021,Brighton,Percy Tau,RSA,FW,26,1994,1.1,0,0,0,0,1,0,2,0,1,0,0,0,3,0,5,0.0,misc
ENG-Premier League,2021,Brighton,Reda Khadra,GER,MF,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
ENG-Premier League,2021,Brighton,Robert Sánchez,ESP,GK,22,1997,27.0,2,0,0,2,5,0,0,1,0,0,1,0,40,10,2,83.3,misc
ENG-Premier League,2021,Brighton,Solly March,ENG,"DF,MF",26,1994,18.6,0,0,0,26,26,2,120,22,23,0,1,0,117,14,22,38.9,misc
ENG-Premier League,2021,Brighton,Steven Alzate,COL,MF,21,1998,10.0,2,0,0,20,6,1,3,8,8,0,0,0,46,7,12,36.8,misc
ENG-Premier League,2021,Brighton,Tariq Lamptey,GHA,"DF,MF",19,2000,9.8,4,1,1,21,28,1,34,19,9,2,1,0,59,5,11,31.3,misc
ENG-Premier League,2021,Brighton,Yves Bissouma,MLI,MF,23,1996,34.6,8,1,0,55,32,0,7,64,68,0,0,0,271,38,22,63.3,misc
ENG-Premier League,2021,Burnley,Ashley Barnes,ENG,FW,30,1989,14.8,4,0,0,46,49,17,8,5,6,1,0,0,41,60,82,42.3,misc
ENG-Premier League,2021,Burnley,Ashley Westwood,ENG,MF,30,1990,37.9,7,0,0,35,42,0,182,44,15,0,0,0,244,14,22,38.9,misc
ENG-Premier League,2021,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc
ENG-Premier League,2021,Burnley,Ben Mee,ENG,DF,30,1989,29.9,3,0,0,15,19,1,0,43,15,0,0,0,170,108,65,62.4,misc
ENG-Premier League,2021,Burnley,Charlie Taylor,ENG,DF,26,1993,27.0,1,0,0,9,34,1,105,29,28,0,0,0,140,39,30,56.5,misc
ENG-Premier League,2021,Burnley,Chris Wood,NZL,FW,28,1991,30.5,0,0,0,38,22,24,7,1,7,1,0,0,55,153,193,44.2,misc
ENG-Premier League,2021,Burnley,Dale Stephens,ENG,MF,31,1989,2.9,1,0,0,8,2,0,0,8,6,0,0,0,21,5,2,71.4,misc
